position,horizon,career_stage,n,route,median_active_probability,median_anchor_active_probability,median_conditional_points,median_anchor_conditional_points,median_player_specific_conditional_adjustment,median_conditional_retention,response_p10_source,response_p90_source,response_conditional_low,response_conditional_high,response_slope_points_per_source_point,response_elite_low,response_elite_high,elite_response_slope_points_per_source_point
QB,2,developmental,24,D1,0.5814266183,0.2488242307,113.9663552,125.808961,-4.6885479,3.2428399101,3.51,300.312,53.6939791,127.6701947,0.24924433,219.0619286,275.7136267,0.1908737073
QB,2,established,23,D1,0.9257709422,0.6451732299,207.2578711,192.4163813,9.2473507,0.8464739308,3.89,314.066,156.7194172,266.26417,0.3531696611,233.1792478,290.8945306,0.1860726903
QB,2,veteran,14,D1,0.6762957421,0.5195927489,85.2804549,102.400136,-0.7557176,0.8567936136,4.157,293.328,73.5402677,158.4505775,0.293633559,212.7901547,262.2821822,0.1711514207
QB,3,developmental,24,D1,0.662609759,0.2369441092,125.8432232,133.3023385,4.7078946,4.5095573793,3.51,300.312,65.1969676,136.5484342,0.2404008956,227.9954036,271.5078109,0.146604158
QB,3,established,23,D1,0.8587218464,0.4841980372,172.5947199,150.6167422,17.6511847,0.794841414,3.89,314.066,147.6495559,244.5051357,0.3122600711,243.2185994,286.4531707,0.1393872229
QB,3,veteran,14,D1,0.4997731776,0.3824882587,98.9004226,101.7326248,9.8260991,0.844502986,4.157,293.328,66.5257646,137.0691373,0.2439503708,217.8735911,259.4381407,0.1437369223
RB,2,developmental,57,D1,0.80665683,0.2985937395,87.3059632,77.126418,10.5777855,1.1484039773,18.1,196.1,79.5020759,118.2744181,0.217822147,157.1132794,188.8465525,0.1782768155
RB,2,established,26,D1,0.8893251991,0.5410419122,117.5001809,104.3872241,12.8767642,0.7472627489,59.7,221.1,116.2563661,145.3307914,0.1801389425,172.5862942,191.279633,0.1158199432
RB,2,veteran,6,D1,0.4914951156,0.2985937395,71.3608068,64.352254,7.0085529,0.7928240535,39.15,264.375,52.3656155,73.8242473,0.0952764203,162.8196522,189.9772101,0.1205796775
RB,3,developmental,57,D1,0.6593035908,0.0964042935,71.1041258,64.7014465,7.1801459,1.1552735248,18.1,196.1,59.2555839,87.0869693,0.1563560982,161.4101659,190.0769308,0.1610492415
RB,3,established,26,D1,0.7157086902,0.2038679367,98.5829895,86.5119485,11.0303065,0.6384859659,59.7,221.1,96.3973363,122.1256796,0.1594073316,172.6528418,188.9778932,0.1011465394
RB,3,veteran,6,D0,0.214321214,0.0964042935,37.966517,55.1964666,-12.6825953,0.4291767303,39.15,264.375,2.5234102,87.7816454,0.3785469426,2.5234102,87.7816454,0.3785469426
WR,2,developmental,70,D1,0.7715665063,0.2645433866,66.8739962,66.7183077,2.1300512,1.0219327118,23.08,130.81,35.3518546,61.0978252,0.2389860825,110.5831527,145.8863412,0.3277006267
WR,2,established,42,D1,0.8337063116,0.4990137313,89.6803395,82.8875428,7.6369203,0.824545197,36.255,162.94,91.3079725,141.6159904,0.3971110854,124.7148037,159.2982844,0.2729879682
WR,2,veteran,9,D1,0.4586605602,0.2645433866,47.8366395,51.9030942,-2.3038477,0.7362389748,31.1,127.64,32.7532776,54.1178875,0.2213031893,108.9715631,140.1591209,0.3230532191
WR,3,developmental,70,D1,0.6420672141,0.0990913251,66.4025793,61.6474254,4.8760871,1.0442599769,23.08,130.81,40.253891,61.5838427,0.1979945389,121.5223529,146.8475944,0.2350806779
WR,3,established,42,D1,0.6728572179,0.2088579194,79.1916584,71.4089984,6.7169729,0.7184292283,36.255,162.94,81.518522,123.376976,0.3304136557,131.9696266,155.1557072,0.1830215153
WR,3,veteran,9,D0,0.2017213988,0.0990913251,39.7399116,58.5163362,-9.6817162,0.5708138528,31.1,127.64,7.3792277,61.0186534,0.5556186627,7.3792277,61.0186534,0.5556186627
TE,2,developmental,27,D1,0.8997781006,0.3507151525,57.4217977,57.4948377,2.3780368,1.0555268492,13.43,111.78,37.3639713,57.8178718,0.2079705186,77.6046418,109.6046014,0.325368171
TE,2,established,28,D1,0.8110299832,0.3507151525,47.9353048,48.1586616,2.3656228,0.9052666216,21.335,96.67,36.705786,51.9720937,0.2026456187,77.6897615,101.0933855,0.3106607019
TE,2,veteran,9,D1,0.6824434653,0.5993227527,58.6810279,54.975674,3.7053538,0.8150142757,34.29,101.03,62.2336987,84.6491512,0.3358623395,88.6902724,106.2017352,0.2623833213
TE,3,developmental,27,D1,0.8378617169,0.1500667017,56.6458721,51.5437636,5.0706229,1.1329298598,13.43,111.78,41.4300929,56.2809689,0.1510002645,92.6020847,108.9564864,0.1662877646
TE,3,established,28,D1,0.6289338323,0.1500667017,49.5501525,46.1311749,3.895512,0.9272215501,21.335,96.67,42.8894601,51.5961752,0.1155733072,95.9039716,106.938346,0.1464707566
TE,3,veteran,9,D0,0.3847411636,0.2976446029,52.8920766,56.1640451,-3.2719684,0.6546111063,34.29,101.03,32.4071752,62.978962,0.458072921,32.4071752,62.978962,0.458072921
