player,frozen_connected_y1,current_fftoday_half_ppr,current_two_source_display,frozen_vs_fftoday_ratio,current_display_vs_frozen_ratio
Josh Allen,389.0705,366.18,532.13,1.0625,1.3677
Dak Prescott,313.043,293.66,428.86,1.066,1.37
Deshaun Watson,176.2855,132.7,302.48,1.3285,1.7159
Jahmyr Gibbs,328.023,331.4,460.45,0.9898,1.4037
Tony Pollard,183.598,181.2,265.4,1.0132,1.4455
Tyjae Spears,108.023,96.9,162.7,1.1148,1.5062
Puka Nacua,276.308,275.8,399.35,1.0018,1.4453
CeeDee Lamb,214.5355,209.2,298.85,1.0255,1.393
Matthew Golden,118.4205,127.2,194.75,0.931,1.6446
Brock Bowers,188.323,202.3,222.65,0.9309,1.1823
Kyle Pitts,146.703,147.6,196.1,0.9939,1.3367
Dallas Goedert,125.0455,127.5,192.05,0.9807,1.5358
