player,position,razzball_listed_half_ppr,razzball_recomputed_half_ppr,fftoday_recomputed_half_ppr,razzball_vs_fftoday_ratio,displayed_two_source_forecast,display_vs_fftoday_ratio
Josh Allen,QB,689.9,698.08,366.18,1.9064,532.13,1.4532
Dak Prescott,QB,552.7,564.06,293.66,1.9208,428.86,1.4604
Deshaun Watson,QB,460.1,472.26,132.7,3.5589,302.48,2.2794
Jahmyr Gibbs,RB,586.1,589.5,331.4,1.7788,460.45,1.3894
Tony Pollard,RB,346.4,349.6,181.2,1.9294,265.4,1.4647
Tyjae Spears,RB,226.6,228.5,96.9,2.3581,162.7,1.6791
Puka Nacua,WR,521.5,522.9,275.8,1.8959,399.35,1.448
CeeDee Lamb,WR,387.0,388.5,209.2,1.8571,298.85,1.4285
Matthew Golden,WR,261.2,262.3,127.2,2.0621,194.75,1.5311
Brock Bowers,TE,242.3,243.0,202.3,1.2012,222.65,1.1006
Kyle Pitts,TE,243.5,244.6,147.6,1.6572,196.1,1.3286
Dallas Goedert,TE,255.4,256.6,127.5,2.0125,192.05,1.5063
