player,position,metric,source_record,current_snapshot,normalized_forecast_observation,fftoday,razzball_vs_fftoday_ratio,ensemble_raw_stat
Josh Allen,QB,pass_int,22.8,22.8,22.8,9.0,2.5333,15.9
Josh Allen,QB,pass_td,47.9,47.9,47.9,26.0,1.8423,36.95
Josh Allen,QB,pass_yd,7682.0,7682.0,7682.0,3787.0,2.0285,5734.5
Josh Allen,QB,rush_td,21.9,21.9,21.9,12.0,1.825,16.95
Josh Allen,QB,rush_yd,1134.0,1134.0,1134.0,567.0,2.0,850.5
Dak Prescott,QB,pass_int,16.2,16.2,16.2,10.0,1.62,13.1
Dak Prescott,QB,pass_td,49.3,49.3,49.3,30.0,1.6433,39.65
Dak Prescott,QB,pass_yd,7934.0,7934.0,7934.0,4289.0,1.8498,6111.5
Dak Prescott,QB,rush_td,6.0,6.0,6.0,1.0,6.0,3.5
Dak Prescott,QB,rush_yd,459.0,459.0,459.0,161.0,2.8509,310.0
Deshaun Watson,QB,pass_int,23.6,23.6,23.6,7.0,3.3714,15.3
Deshaun Watson,QB,pass_td,41.5,41.5,41.5,10.0,4.15,25.75
Deshaun Watson,QB,pass_yd,7314.0,7314.0,7314.0,2045.0,3.5765,4679.5
Deshaun Watson,QB,rush_td,2.4,2.4,2.4,1.0,2.4,1.7
Deshaun Watson,QB,rush_yd,465.0,465.0,465.0,189.0,2.4603,327.0
Jahmyr Gibbs,RB,rec,119.0,119.0,119.0,72.0,1.6528,95.5
Jahmyr Gibbs,RB,rec_td,4.7,4.7,4.7,4.0,1.175,4.35
Jahmyr Gibbs,RB,rec_yd,991.0,991.0,991.0,572.0,1.7325,781.5
Jahmyr Gibbs,RB,rush_td,22.7,22.7,22.7,12.0,1.8917,17.35
Jahmyr Gibbs,RB,rush_yd,2665.0,2665.0,2665.0,1422.0,1.8741,2043.5
Tony Pollard,RB,rec,51.0,51.0,51.0,32.0,1.5938,41.5
Tony Pollard,RB,rec_td,1.0,1.0,1.0,1.0,1.0,1.0
Tony Pollard,RB,rec_yd,347.0,347.0,347.0,227.0,1.5286,287.0
Tony Pollard,RB,rush_td,10.0,10.0,10.0,5.0,2.0,7.5
Tony Pollard,RB,rush_yd,2234.0,2234.0,2234.0,1065.0,2.0977,1649.5
Tyjae Spears,RB,rec,67.0,67.0,67.0,38.0,1.7632,52.5
Tyjae Spears,RB,rec_td,3.0,3.0,3.0,1.0,3.0,2.0
Tyjae Spears,RB,rec_yd,544.0,544.0,544.0,255.0,2.1333,399.5
Tyjae Spears,RB,rush_td,8.0,8.0,8.0,2.0,4.0,5.0
Tyjae Spears,RB,rush_yd,746.0,746.0,746.0,344.0,2.1686,545.0
Puka Nacua,WR,rec,223.0,223.0,223.0,113.0,1.9735,168.0
Puka Nacua,WR,rec_td,17.0,17.0,17.0,9.0,1.8889,13.0
Puka Nacua,WR,rec_yd,2926.0,2926.0,2926.0,1521.0,1.9237,2223.5
Puka Nacua,WR,rush_td,0.9,0.9,0.9,1.0,0.9,0.95
Puka Nacua,WR,rush_yd,114.0,114.0,114.0,72.0,1.5833,93.0
CeeDee Lamb,WR,rec,171.0,171.0,171.0,87.0,1.9655,129.0
CeeDee Lamb,WR,rec_td,12.0,12.0,12.0,8.0,1.5,10.0
CeeDee Lamb,WR,rec_yd,2276.0,2276.0,2276.0,1177.0,1.9337,1726.5
CeeDee Lamb,WR,rush_td,0.2,0.2,0.2,0.0,,0.1
CeeDee Lamb,WR,rush_yd,22.0,22.0,22.0,0.0,,11.0
Matthew Golden,WR,rec,111.0,111.0,111.0,54.0,2.0556,82.5
Matthew Golden,WR,rec_td,6.5,6.5,6.5,5.0,1.3,5.75
Matthew Golden,WR,rec_yd,1427.0,1427.0,1427.0,702.0,2.0328,1064.5
Matthew Golden,WR,rush_td,1.3,1.3,1.3,0.0,,0.65
Matthew Golden,WR,rush_yd,173.0,173.0,173.0,0.0,,86.5
Brock Bowers,TE,rec,124.0,124.0,124.0,103.0,1.2039,113.5
Brock Bowers,TE,rec_td,8.5,8.5,8.5,7.0,1.2143,7.75
Brock Bowers,TE,rec_yd,1279.0,1279.0,1279.0,1088.0,1.1756,1183.5
Kyle Pitts,TE,rec,138.0,138.0,138.0,76.0,1.8158,107.0
Kyle Pitts,TE,rec_td,6.5,6.5,6.5,4.0,1.625,5.25
Kyle Pitts,TE,rec_yd,1366.0,1366.0,1366.0,856.0,1.5958,1111.0
Dallas Goedert,TE,rec,122.0,122.0,122.0,58.0,2.1034,90.0
Dallas Goedert,TE,rec_td,12.0,12.0,12.0,6.0,2.0,9.0
Dallas Goedert,TE,rec_yd,1236.0,1236.0,1236.0,625.0,1.9776,930.5
