player,pos,razzball_half_ppr_listed,razzball_half_ppr_recomputed,fftoday_half_ppr_recomputed,cbs_half_ppr_recomputed,nfl_fantasy_half_ppr_recomputed,razzball_vs_fftoday_fp_ratio,displayed_ensemble_forecast
Josh Allen,QB,689.9,698.0799999999999,366.18,,,1.9063848380577855,532.13
Dak Prescott,QB,552.7,564.06,293.66,,,1.9207927535244838,428.86
Deshaun Watson,QB,460.1,472.26,132.7,,,3.558854559155991,302.47999999999996
Jahmyr Gibbs,RB,586.1,589.5,331.40000000000003,,,1.7788171394085694,460.45000000000005
Tony Pollard,RB,346.4,349.59999999999997,181.2,,,1.9293598233995584,265.40000000000003
Tyjae Spears,RB,226.6,228.50000000000003,96.9,,,2.3581011351909185,162.7
Puka Nacua,WR,521.5,522.9000000000001,275.8,,,1.8959390862944165,399.35
CeeDee Lamb,WR,387.0,388.5,209.2,,,1.8570745697896751,298.85
Matthew Golden,WR,261.2,262.3,127.2,,,2.0621069182389937,194.75
Brock Bowers,TE,242.3,243.0,202.3,,,1.2011863568956993,222.65
Kyle Pitts,TE,243.5,244.6,147.60000000000002,,,1.657181571815718,196.10000000000002
Dallas Goedert,TE,255.4,256.6,127.5,,,2.0125490196078433,192.05
