<PARSED TEXT FOR SHEET: 1 / 1 TABS
TAB NAME: PLAYER_TRAJECTORY_BOARD.csv>index,player_name,position,age,career_stage,source_percentile,y1_standard,y1_connected,y2_route,y2_active,y2_cond,y2_ret,y2_exp,y2_exp_ret,y3_route,y3_active,y3_cond,y3_ret,y3_exp,y3_exp_ret,historical_support_strength,support_route_cell_eligible,support_active_top10_n,support_source_p90,support_source_max,support_stage_realized_y3_ret_median,support_early_n,support_mid_n,support_validation_n
0,Josh Allen,QB,29.28191543974209,established,0.9918032786885246,376.13,389.0705,D1,0.9482273376858116,292.3793236544874,0.7773358244609241,277.2420676632728,0.7370910793163874,D1,0.8912304783495868,282.6803333215533,0.7515495528714895,251.93332868618864,0.6698038675090757,limited,True,12,370.706,402.08,0.7657953327546397,57,44,47
1,Jalen Hurts,QB,27.06968657809537,established,0.9754098360655736,323.3,332.603,D1,0.959074061961191,273.6650218391289,0.8464739308355362,262.4650241119514,0.811831191190694,D1,0.922217300540236,256.9722291532836,0.7948414140219102,236.98423548354808,0.73301650319687,well supported,True,12,370.706,402.08,0.7657953327546397,57,44,47
2,Jayden Daniels,QB,24.704134924057303,developmental,0.9590163934426228,322.28,333.7555,D1,0.920710036587603,262.75893885557883,0.8153125817785121,241.9247922074397,0.7506664769996269,D0,0.8961904593861268,239.50425595719088,0.7431558146865797,214.6414291712074,0.6660091509594371,well supported,True,17,417.508,431.08,0.7225180292511963,86,53,63
3,Lamar Jackson,QB,28.649458921127746,established,0.9426229508196722,318.16,329.248,D1,0.9475974510654468,274.6592165091181,0.86327387638018,260.26637347567294,0.818036124829246,D1,0.8983187418499471,239.40963405249127,0.7524818772079811,215.0661612487902,0.6759685731983599,well supported,True,12,370.706,402.08,0.7657953327546397,57,44,47
4,Drake Maye,QB,23.006632579724428,developmental,0.9262295081967212,317.08,328.3805,D1,0.9594525829217428,275.1256933364727,0.86768542114442,263.9700570998141,0.8325030184805541,D0,0.9469544098163036,256.8907630700039,0.8101764951116561,243.26384093021545,0.7672002047754997,well supported,True,17,417.508,431.08,0.7225180292511963,86,53,63
5,Dak Prescott,QB,32.09374593591929,veteran,0.9098360655737704,302.05,313.043,D1,0.92604537796814,257.81319012048954,0.8535447446465471,238.7467130903007,0.7904211656689313,D1,0.8482766822004939,246.7219182503312,0.8168247583192556,209.2884502395324,0.6928933959262784,well supported,True,13,369.104,390.02,0.806615776081425,63,36,35
6,Jahmyr Gibbs,RB,23.45291142186356,developmental,0.99438202247191,292.3,328.023,D1,0.9562612782128316,180.61426034241745,0.6179071513596218,172.71442345850522,0.5908806823760014,D1,0.90609149153729,165.9421120785889,0.5677116389961988,150.35873584213678,0.5143986857411453,well supported,True,72,295.27,357.2,0.6441050743380667,329,219,225
7,Bijan Robinson,RB,23.587068865206,developmental,0.9831460674157304,289.4,329.2355,D1,0.9533976524434852,178.3509865898798,0.6162784609187277,170.0394119257709,0.5875584378913992,D1,0.8996606651354514,162.64380979839933,0.5620034892826515,146.3242381033918,0.5056124329764747,well supported,True,72,295.27,357.2,0.6441050743380667,329,219,225
8,Christian McCaffrey,RB,29.235371020623283,veteran,0.9719101123595506,276.7,315.358,D1,0.836703147380181,167.92520075383158,0.6068854382140643,140.50354399517963,0.5077829562529079,D0,0.6019355734942642,125.5895021406734,0.4538832748126975,75.59678899590537,0.2732084893238358,extrapolative,False,2,178.72,180.2,0.5011290021700999,17,18,14
9,Derrick Henry,RB,31.658418721808115,veteran,0.9606741573033708,252.05,261.9205,D1,0.7689918055291557,155.28012382262403,0.6160687316906329,119.40914278115052,0.4737518063128368,D0,0.4397790696188967,101.9467103041604,0.4044701856939512,44.83402940827085,0.1778775219530682,extrapolative,False,2,178.72,180.2,0.5011290021700999,17,18,14
