coordinate,scoring_profile,subject_family,materiality_pool,seasons,event_rate_per_subject_game,zero_rate_subject_season,mean_abs_season_points,median_abs_season_points,p90_abs_season_points,p95_abs_season_points,p99_abs_season_points,max_abs_season_points,mean_share_total_points,p95_share_total_points,variance_ratio_coordinate_to_total,mean_abs_position_rank_shift,p95_position_rank_shift,max_position_rank_shift,materiality_signal,provenance
FUMBLES_LOST,-1 per lost fumble,offense_player,starter_relevant_QB24_RB36_WR48_TE18,2023-2025,0.0445305514,0.4682539683,1.1190476190,0,3,4,6.23,7,0.0053860830,0.0181796859,0.0001603371,0.1587301587,1,2,CORE_OR_BORDERLINE_NOT_AUXILIARY,"nflverse weekly player stats; materiality starter pool; variance ratio broad gp>=4 pool"
FUMBLES_LOST,-2 per lost fumble,offense_player,starter_relevant_QB24_RB36_WR48_TE18,2023-2025,0.0445305514,0.4682539683,2.2380952381,0,6,8,12.46,14,0.0107721660,0.0363593719,0.0006413485,0.3333333333,1,3,CORE_MATERIAL,"nflverse weekly player stats; materiality starter pool; variance ratio broad gp>=4 pool"
TWO_POINT_CONVERSIONS,+2 per conversion,offense_player,starter_relevant_QB24_RB36_WR48_TE18,2023-2025,0.0176453055,0.6613756614,0.9841269841,0,4,4,6,8,0.0047844526,0.0206973285,0.0001853314,0.2433862434,1,3,CORE_MATERIAL_BY_DOWNSTREAM,"nflverse passing+rushing+receiving 2PT"
PLAYER_SPECIAL_TEAMS_TD,+6 per TD,offense_player,starter_relevant_QB24_RB36_WR48_TE18,2023-2025,0.0025037258,0.9920634921,0.0793650794,0,0,0,0,12,0.0005733704,0,0.0002038376,0.0476190476,0,6,TAIL_HIGH_SEVERITY_NOT_AUXILIARY,"nflverse special_teams_tds; starter pool"
FUMBLE_RECOVERY_TD,+6 per TD,offense_player,starter_relevant_QB24_RB36_WR48_TE18,2023-2025,0.0003576751,0.9920634921,0.0476190476,0,0,0,0,6,0.0002893413,0,0.0000230890,0.0370370370,0,4,TAIL_HIGH_SEVERITY_NOT_AUXILIARY,"nflverse fumble_recovery_tds; starter pool"
K_FG_60PLUS_INCREMENT,+1 incremental above supported 50+ base,kicker,starter_relevant_K24,2023-2025,0.0123685838,0.8055555556,0.25,0,1,1,2.29,3,0.0016302996,0.0084212402,0.0001131941,0,0,0,BOUNDED_AUXILIARY_MATERIALITY_CANDIDATE,"nflverse fg_made_60_; starter K pool"
K_FG_MISS,-1 per miss,kicker,starter_relevant_K24,2023-2025,0.2615955473,0.0138888889,3.9166666667,3,7,7,8,8,0.0287014561,0.0583684822,0.0024104209,0.6666666667,2,3,CORE_MATERIAL,"nflverse fg_missed; starter K pool"
K_XP_MISS,-1 per missed PAT,kicker,starter_relevant_K24,2023-2025,0.0723562152,0.4305555556,0.9305555556,1,2,3,4,4,0.0067657400,0.0194843780,0.0005827332,0.1944444444,1,2,BOUNDED_AUXILIARY_MATERIALITY_CANDIDATE,"nflverse pat_missed; starter K pool"
DST_SAFETY,+2 per safety,dst_team,all_32_teams,2023-2025,0.0269607843,0.59375,0.9166666667,0,2,2,4.10,6,0.0085724284,0.0272147147,0.0035906081,0.4583333333,2,3,BOUNDED_AUXILIARY_MATERIALITY_CANDIDATE,"nflverse def_safeties; D/ST linear-event score denominator excludes PA buckets"
DST_BLOCKED_KICK,+2 per block,dst_team,all_32_teams,2023-2025,0.0710784314,0.3020833333,2.4166666667,2,6,6,8,8,0.0238985837,0.0642663043,0.0110056312,0.8541666667,3,6,CORE_MATERIAL,"nflverse def punt/PAT/FG blocks; D/ST linear-event score denominator excludes PA buckets"
DST_DEF_2PT_RETURN,+2 per return,dst_team,all_32_teams,2023-2025,0.0024509804,0.9583333333,0.0833333333,0,0,0,2,2,0.0008866058,0,0.0003841116,0.0833333333,1,2,BOUNDED_AUXILIARY_MATERIALITY_CANDIDATE,"nflverse def_2pt_made; D/ST linear-event score denominator excludes PA buckets"
DST_SPECIAL_TEAMS_TD,+6 per TD,dst_team,all_32_teams,2023-2025,0.0367647059,0.5520833333,3.75,0,12,12,24,24,0.0373486927,0.1315339521,0.0653824676,1.75,5,9,CORE_MATERIAL_HIGH_SEVERITY,"nflverse special_teams_tds; D/ST linear-event score denominator excludes PA buckets"
DST_FORCED_FUMBLE,+1 per FF,dst_team,all_32_teams,2023-2025,0.7585784314,0,12.8958333333,13,18,19,22,22,0.1286904841,0.1907738095,0.0331912051,1.1875,3.25,6,CORE_MATERIAL,"nflverse def_fumbles_forced; D/ST linear-event score denominator excludes PA buckets"
DST_FUMBLE_RECOVERY,+1 per opponent fumble recovered,dst_team,all_32_teams,2023-2025,0.4993872549,0,8.4895833333,8,12,13,16,16,0.0843615180,0.1231671554,0.0206415602,1.4375,4.25,5,CORE_MATERIAL,"nflverse fumble_recovery_opp; D/ST linear-event score denominator excludes PA buckets"
PASS_YARDS,0.04 per yard,offense_player,2024_top180_halfPPR_players,2024,,,25.3628888889,,,154.572,181.0836,196.72,,,,,,,CORE_CONTROL,"retained 2024 player stats"
RUSH_YARDS,0.1 per yard,offense_player,2024_top180_halfPPR_players,2024,,,28.2661111111,,,112.28,155.365,200.5,,,,,,,CORE_CONTROL,"retained 2024 player stats"
REC_YARDS,0.1 per yard,offense_player,2024_top180_halfPPR_players,2024,,,49.3338888889,,,115.125,133.471,170.8,,,,,,,CORE_CONTROL,"retained 2024 player stats"
PASS_TD,+4 per TD,offense_player,2024_top180_halfPPR_players,2024,,,16.6444444444,,,100.2,164,172,,,,,,,CORE_CONTROL,"retained 2024 player stats"
RUSH_TD,+6 per TD,offense_player,2024_top180_halfPPR_players,2024,,,14.1666666667,,,72,96,96,,,,,,,CORE_CONTROL,"retained 2024 player stats"
REC_TD,+6 per TD,offense_player,2024_top180_halfPPR_players,2024,,,20.1,,,54,73.26,102,,,,,,,CORE_CONTROL,"retained 2024 player stats"
RECEPTIONS,+0.5 per reception,offense_player,2024_top180_halfPPR_players,2024,,,21.7972222222,,,50,56.315,63.5,,,,,,,CORE_CONTROL,"retained 2024 player stats"
DST_POINTS_ALLOWED_BUCKETS,nonlinear mutually exclusive game buckets,dst_team,CONTROL,2023-2025,,,,,,,,,,,,,,,CORE_CONTROL_NONLINEAR,"not reduced to scalar materiality: requires game-level distribution; score(E[PA]) != E[score(PA)]"
