coordinate,scoring_profile,provider,source_role,semantic_fit,pit_evidence,rights_status,historical_validation_seasons,n_replay,bias_points,mae_points,rmse_points,omission_rmse_points,multi_source_rmse_points,mean_abs_source_disagreement_points,source_stability_status,single_source_authority_status,reason,provenance
FUMBLES_LOST,-2,CBS,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,337,-0.5400593472,1.5608308605,2.5712401608,2.5175938774,2.2771148907,1.1264367816,INSUFFICIENT_MULTI_SEASON,FAIL,"RMSE worse than omission; coordinate also material","ashishkab0b/fantasy_football_2024 pre-opener commit"
FUMBLES_LOST,-2,FantasySharks,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,337,-0.3139465875,1.4664688427,2.3660055359,2.5175938774,2.2771148907,1.1264367816,INSUFFICIENT_MULTI_SEASON,FAIL,"small RMSE gain but MAE worse than omission; coordinate material","ashishkab0b/fantasy_football_2024 pre-opener commit"
K_FG_MISS,-1,CBS,direct_provider,EXACT_DERIVED_FGA_MINUS_FGM,2024_preopener_retained,NOT_CLEARED,1,32,-0.46875,2.34375,2.7894892006,4.8203002103,2.7152861270,0.9237720280,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"source useful but coordinate fails auxiliary materiality","2024 retained CBS K projections"
K_FG_MISS,-1,FantasySharks,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,34,-0.5970588235,2.4558823529,2.9689075036,4.8203002103,2.7152861270,0.9237720280,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"source useful but coordinate fails auxiliary materiality","2024 retained FantasySharks K projections"
K_FG_MISS,-1,ESPN,direct_provider,EXACT_DERIVED_ATTEMPTS_MINUS_MAKES_BY_BAND,2024_preopener_retained,NOT_CLEARED_UNDOCUMENTED_ENDPOINT,1,32,-0.3780962270,2.2367201667,2.5900823476,4.8203002103,2.7152861270,0.9237720280,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"best replay RMSE but coordinate fails auxiliary materiality","2024 retained ESPN K projections"
K_XP_MISS,-1,CBS,direct_provider,EXACT_DERIVED_XPA_MINUS_XPM,2024_preopener_retained,NOT_CLEARED,1,32,-0.875,1.625,2.0463381930,1.5339299777,1.6698325751,1.0185426120,INSUFFICIENT_MULTI_SEASON,FAIL_SOURCE_QUALITY,"worse than omission","2024 retained CBS K projections"
K_XP_MISS,-1,FantasySharks,direct_provider,EXACT_DERIVED_XPA_MINUS_XPM,2024_preopener_retained,NOT_CLEARED,1,34,-0.7323529412,1.4794117647,1.8015516188,1.5339299777,1.6698325751,1.0185426120,INSUFFICIENT_MULTI_SEASON,FAIL_SOURCE_QUALITY,"worse than omission","2024 retained FantasySharks K projections"
K_XP_MISS,-1,ESPN,direct_provider,EXACT_DERIVED_XPA_MINUS_XPM,2024_preopener_retained,NOT_CLEARED_UNDOCUMENTED_ENDPOINT,1,32,-0.6876952569,1.2080512300,1.4314546725,1.5339299777,1.6698325751,1.0185426120,INSUFFICIENT_MULTI_SEASON,FAIL_SOURCE_QUALITY,"RMSE improves only 6.7 percent and MAE is worse than omission","2024 retained ESPN K projections"
K_FG_60PLUS_INCREMENT,+1 above supported 50+ base,JerryGM,direct_model_candidate,EXACT_CAPABILITY_DOCUMENTED,CURRENT_DOCS_ONLY,RIGHTS_REQUIRE_CLARIFICATION,0,,,,,,,NOT_VALIDATED,FAIL_PENDING_VALIDATION,"materiality qualifies but no qualifying historical source-specific error/stability evidence and no live rights-cleared payload validation","canonical K/DST research and acceptance-gate evidence"
TWO_POINT_CONVERSIONS,+2,direct_source_unidentified,none,NO_QUALIFYING_DIRECT_PIT_SOURCE,none,NOT_ESTABLISHED,0,,,,,,,NOT_EVALUABLE,FAIL_NO_SOURCE,"materiality fails auxiliary threshold and source quality unavailable","scoring-coordinate registry"
PLAYER_SPECIAL_TEAMS_TD,+6,direct_source_unidentified,none,NO_QUALIFYING_DIRECT_PIT_SOURCE,none,NOT_ESTABLISHED,0,,,,,,,NOT_EVALUABLE,FAIL_HIGH_SEVERITY_TAIL,"rare but six-point event; explicit omission preferred until governed source/model exists","scoring-coordinate registry"
FUMBLE_RECOVERY_TD,+6,direct_source_unidentified,none,NO_QUALIFYING_DIRECT_PIT_SOURCE,none,NOT_ESTABLISHED,0,,,,,,,NOT_EVALUABLE,FAIL_HIGH_SEVERITY_TAIL,"rare but six-point event; explicit omission preferred","scoring-coordinate registry"
DST_SAFETY,+2,CBS,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,31,-0.9032258065,0.9032258065,1.6848470783,1.6848470783,1.7397626831,,INSUFFICIENT_MULTI_SEASON,FAIL_SOURCE_QUALITY,"projected zero; no gain over omission","2024 retained CBS D/ST projections"
DST_SAFETY,+2,FantasySharks,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,31,-0.0709677419,1.3741935484,2.0954636103,1.6848470783,1.7397626831,,INSUFFICIENT_MULTI_SEASON,FAIL_SOURCE_QUALITY,"worse than omission","2024 retained FantasySharks D/ST projections"
DST_DEF_2PT_RETURN,+2,JerryGM,direct_model_candidate,EXACT_CAPABILITY_TO_VALIDATE,CURRENT_DOCS_ONLY,RIGHTS_REQUIRE_CLARIFICATION,0,,,,,,,NOT_VALIDATED,FAIL_PENDING_VALIDATION,"materiality qualifies but no historical PIT accuracy/stability record","canonical K/DST research"
DST_BLOCKED_KICK,+2,JerryGM_or_other_candidate,direct_model_candidate,COORDINATE_SUPPORTED_IN_ARCHITECTURE,CURRENT_DOCS_ONLY,RIGHTS_REQUIRE_CLARIFICATION,0,,,,,,,NOT_VALIDATED,FAIL_MATERIALITY,"coordinate fails auxiliary downstream/materiality thresholds","canonical K/DST research"
DST_SPECIAL_TEAMS_TD,+6,direct_source_unidentified,none,NO_QUALIFYING_VALIDATED_SINGLE_SOURCE,none,NOT_ESTABLISHED,0,,,,,,,NOT_EVALUABLE,FAIL_MATERIALITY,"large seasonal/downstream effects","historical nflverse outcomes"
DST_FORCED_FUMBLE,+1,CBS,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,31,4.4516129032,5.2903225806,6.6332495807,14.1728955313,4.7275542058,,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"single source improves omission but coordinate is materially large","2024 retained CBS D/ST projections"
DST_FORCED_FUMBLE,+1,ESPN,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED_UNDOCUMENTED_ENDPOINT,1,31,-0.5993730446,3.2038042085,4.1586259325,14.1728955313,4.7275542058,,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"strong single-source replay does not make material coordinate auxiliary","2024 retained ESPN D/ST projections"
DST_FUMBLE_RECOVERY,+1,CBS,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,31,4.7419354839,5.2580645161,6.1879174672,9.0856142939,4.0032589279,,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"coordinate materially large","2024 retained CBS D/ST projections"
DST_FUMBLE_RECOVERY,+1,FantasySharks,direct_provider,EXACT,2024_preopener_retained,NOT_CLEARED,1,31,-0.0645161290,3.5161290323,4.2083634088,9.0856142939,4.0032589279,,INSUFFICIENT_MULTI_SEASON,FAIL_MATERIALITY,"coordinate materially large","2024 retained FantasySharks D/ST projections"
