coordinate,scoring_profile,condition,provider,n,bias_points,mae_points,rmse_points,omission_rmse_points,rmse_improvement_vs_omission,multi_source_rmse_points,notes
FUMBLES_LOST,-2,A_OMITTED,none,337,1.2462908012,1.2462908012,2.5175938774,2.5175938774,0,2.2771148907,"zero/omission baseline"
FUMBLES_LOST,-2,B_SINGLE,CBS,337,-0.5400593472,1.5608308605,2.5712401608,2.5175938774,-0.0536462833,2.2771148907,"single source worse than omission RMSE"
FUMBLES_LOST,-2,B_SINGLE,FantasySharks,337,-0.3139465875,1.4664688427,2.3660055359,2.5175938774,0.1515883415,2.2771148907,"slight RMSE improvement; MAE worse than omission"
FUMBLES_LOST,-2,C_MULTI_MEAN,CBS+FantasySharks,337,-0.4270029674,1.4584569733,2.2771148907,2.5175938774,0.2404789867,2.2771148907,"best tested projection condition"
FUMBLES_LOST,-2,D_REALIZED,realized_truth,337,0,0,0,2.5175938774,2.5175938774,2.2771148907,"oracle"
K_FG_MISS,-1,A_OMITTED,none,34,4.2352941176,4.2352941176,4.8203002103,4.8203002103,0,2.7152861270,"zero/omission baseline"
K_FG_MISS,-1,B_SINGLE,CBS,32,-0.46875,2.34375,2.7894892006,4.8203002103,2.0308110098,2.7152861270,"single materially improves omission"
K_FG_MISS,-1,B_SINGLE,FantasySharks,34,-0.5970588235,2.4558823529,2.9689075036,4.8203002103,1.8513927068,2.7152861270,"single materially improves omission"
K_FG_MISS,-1,B_SINGLE,ESPN,32,-0.3780962270,2.2367201667,2.5900823476,4.8203002103,2.2302178627,2.7152861270,"best tested RMSE; coordinate still material"
K_FG_MISS,-1,C_MULTI_MEAN,CBS+FantasySharks+ESPN,34,-0.5648073016,2.2523202075,2.7152861270,4.8203002103,2.1050140833,2.7152861270,"multi-source comparator"
K_FG_MISS,-1,D_REALIZED,realized_truth,34,0,0,0,4.8203002103,4.8203002103,2.7152861270,"oracle"
K_XP_MISS,-1,A_OMITTED,none,34,1.0588235294,1.0588235294,1.5339299777,1.5339299777,0,1.6698325751,"zero/omission baseline"
K_XP_MISS,-1,B_SINGLE,CBS,32,-0.875,1.625,2.0463381930,1.5339299777,-0.5124082153,1.6698325751,"worse than omission"
K_XP_MISS,-1,B_SINGLE,FantasySharks,34,-0.7323529412,1.4794117647,1.8015516188,1.5339299777,-0.2676216411,1.6698325751,"worse than omission"
K_XP_MISS,-1,B_SINGLE,ESPN,32,-0.6876952569,1.2080512300,1.4314546725,1.5339299777,0.1024753052,1.6698325751,"small RMSE improvement but MAE worse than omission"
K_XP_MISS,-1,C_MULTI_MEAN,CBS+FantasySharks+ESPN,34,-0.8440541928,1.3926864185,1.6698325751,1.5339299777,-0.1359025974,1.6698325751,"multi-source mean also worse than omission"
K_XP_MISS,-1,D_REALIZED,realized_truth,34,0,0,0,1.5339299777,1.5339299777,1.6698325751,"oracle"
DST_SAFETY,+2,A_OMITTED,none,31,-0.9032258065,0.9032258065,1.6848470783,1.6848470783,0,1.7397626831,"zero/omission baseline"
DST_SAFETY,+2,B_SINGLE,CBS,31,-0.9032258065,0.9032258065,1.6848470783,1.6848470783,0,1.7397626831,"CBS projected zero; no improvement over omission"
DST_SAFETY,+2,B_SINGLE,FantasySharks,31,-0.0709677419,1.3741935484,2.0954636103,1.6848470783,-0.4106165319,1.7397626831,"worse than omission"
DST_SAFETY,+2,C_MULTI_MEAN,CBS+FantasySharks,31,-0.4870967742,1.1193548387,1.7397626831,1.6848470783,-0.0549156048,1.7397626831,"multi mean worse than omission"
DST_SAFETY,+2,D_REALIZED,realized_truth,31,0,0,0,1.6848470783,1.6848470783,1.7397626831,"oracle"
DST_FUMBLE_RECOVERY,+1,A_OMITTED,none,31,-8.4193548387,8.4193548387,9.0856142939,9.0856142939,0,4.0032589279,"zero/omission baseline"
DST_FUMBLE_RECOVERY,+1,B_SINGLE,CBS,31,4.7419354839,5.2580645161,6.1879174672,9.0856142939,2.8976968267,4.0032589279,"improves omission; coordinate is material"
DST_FUMBLE_RECOVERY,+1,B_SINGLE,FantasySharks,31,-0.0645161290,3.5161290323,4.2083634088,9.0856142939,4.8772508850,4.0032589279,"near multi-source error; coordinate is material"
DST_FUMBLE_RECOVERY,+1,B_SINGLE,ESPN,31,0.5349160497,2.6914667562,3.4148038511,9.0856142939,5.6708104428,4.0032589279,"best tested source; coordinate is material"
DST_FUMBLE_RECOVERY,+1,C_MULTI_MEAN,CBS+FantasySharks+ESPN,31,1.7374451349,3.2338959752,4.0032589279,9.0856142939,5.0823553660,4.0032589279,"multi-source comparator"
DST_FUMBLE_RECOVERY,+1,D_REALIZED,realized_truth,31,0,0,0,9.0856142939,9.0856142939,4.0032589279,"oracle"
DST_FORCED_FUMBLE,+1,A_OMITTED,none,31,-13.5806451613,13.5806451613,14.1728955313,14.1728955313,0,4.7275542058,"zero/omission baseline"
DST_FORCED_FUMBLE,+1,B_SINGLE,CBS,31,4.4516129032,5.2903225806,6.6332495807,14.1728955313,7.5396459506,4.7275542058,"improves omission; coordinate is material"
DST_FORCED_FUMBLE,+1,B_SINGLE,ESPN,31,-0.5993730446,3.2038042085,4.1586259325,14.1728955313,10.0142695989,4.7275542058,"best tested source; coordinate is material"
DST_FORCED_FUMBLE,+1,C_MULTI_MEAN,CBS+ESPN,31,1.9261199293,3.5772106193,4.7275542058,14.1728955313,9.4453413255,4.7275542058,"multi-source comparator"
DST_FORCED_FUMBLE,+1,D_REALIZED,realized_truth,31,0,0,0,14.1728955313,14.1728955313,4.7275542058,"oracle"
