season,bin,n,mean_prediction,mean_actual,actual_zero_rate
2023,1,104,0.052211337876369564,0.05448717948717949,0.9519230769230769
2023,2,104,0.1339180205799597,0.11987179487179486,0.9038461538461539
2023,3,105,0.2285889289252826,0.1511111111111111,0.8857142857142857
2023,4,104,0.43541986660410587,0.47948717948717945,0.6826923076923077
2023,5,105,1.5721656760782252,1.4139682539682539,0.45714285714285713
2024,1,105,0.04855239320235557,0.053968253968253964,0.9523809523809523
2024,2,105,0.11934418737423129,0.1403174603174603,0.8761904761904762
2024,3,105,0.20952866839667192,0.21587301587301586,0.819047619047619
2024,4,105,0.3857564809299665,0.36698412698412697,0.7333333333333333
2024,5,106,1.5888953654168074,1.3044025157232704,0.44339622641509435
2025,1,110,0.04168562202347235,0.030909090909090907,0.9727272727272728
2025,2,110,0.11100170037590998,0.07212121212121211,0.9454545454545454
2025,3,110,0.19249479435690858,0.25757575757575757,0.8090909090909091
2025,4,110,0.3519824760185495,0.25757575757575757,0.8090909090909091
2025,5,111,1.4492331524910327,1.2456456456456457,0.40540540540540543
COMBINED,1,319,0.04694315845834946,0.04618599791013584,0.9592476489028213
COMBINED,2,320,0.12060930015346402,0.09916666666666667,0.915625
COMBINED,3,320,0.2102109572075039,0.21604166666666666,0.83125
COMBINED,4,320,0.3911883015090625,0.37895833333333334,0.734375
COMBINED,5,320,1.5431647564087114,1.3175,0.440625
