player_id,historical_gsis_id,identity_method,position,evidence_tier,weeks_observed_current,current_opportunities,current_fumbles_lost,history_games,history_opportunities,history_fumbles_lost,predicted_season_equivalent_fumbles_lost,predictive_stddev,model
sleeper:player:10213,00-0038563,retained_gsis,WR,history_plus_current,2,7.0,0.0,47,153.0,0.0,0.19742278,0.44432283,calibrated_position_opportunity_rate
sleeper:player:10218,00-0038618,retained_gsis,WR,history_plus_current,2,6.0,0.0,42,63.0,0.0,0.11832779,0.44249225,calibrated_position_opportunity_rate
sleeper:player:10219,00-0038611,retained_gsis,RB,history_plus_current,2,12.0,0.0,28,204.0,1.0,0.31901043,0.73752057,calibrated_position_opportunity_rate
sleeper:player:10222,00-0039146,retained_gsis,WR,history_plus_current,2,4.0,0.0,38,172.0,1.0,0.21797224,0.46687497,calibrated_position_opportunity_rate
sleeper:player:10226,00-0038619,retained_gsis,WR,history_plus_current,2,3.0,0.0,43,87.0,0.0,0.10938441,0.44249225,calibrated_position_opportunity_rate
sleeper:player:10227,00-0039050,retained_gsis,TE,history_only,0,0.0,0.0,22,17.0,0.0,0.0452949,0.45240602,calibrated_position_opportunity_rate
sleeper:player:10229,00-0039067,retained_gsis,WR,history_plus_current,2,6.0,0.0,28,163.0,1.0,0.28877615,0.53737896,calibrated_position_opportunity_rate
sleeper:player:10231,00-0039041,retained_gsis,TE,history_plus_current,1,0.0,0.0,43,64.0,1.0,0.06979504,0.45240602,calibrated_position_opportunity_rate
sleeper:player:10232,00-0038559,retained_gsis,WR,history_plus_current,2,7.0,0.0,46,164.0,1.0,0.20964597,0.45787113,calibrated_position_opportunity_rate
sleeper:player:10235,00-0039021,retained_gsis,RB,history_plus_current,1,0.0,0.0,34,188.0,0.0,0.205793,0.73752057,calibrated_position_opportunity_rate
sleeper:player:10236,00-0038933,retained_gsis,TE,history_plus_current,2,12.0,0.0,41,156.0,1.0,0.2659207,0.515675,calibrated_position_opportunity_rate
sleeper:player:10859,00-0039065,retained_gsis,TE,history_plus_current,2,11.0,0.0,42,187.0,0.0,0.2814543,0.53052267,calibrated_position_opportunity_rate
sleeper:player:10871,00-0038547,retained_gsis,TE,history_plus_current,1,1.0,0.0,38,49.0,0.0,0.07219138,0.45240602,calibrated_position_opportunity_rate
sleeper:player:11199,00-0038705,retained_gsis,RB,history_plus_current,2,5.0,0.0,36,176.0,1.0,0.19039704,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11201,00-0038710,retained_gsis,TE,history_plus_current,2,2.0,0.0,16,8.0,0.0,0.03907795,0.45240602,calibrated_position_opportunity_rate
sleeper:player:11237,00-0038896,retained_gsis,RB,history_plus_current,2,0.0,0.0,11,2.0,0.0,0.00563907,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11256,00-0038416,retained_gsis,QB,history_plus_current,1,10.0,0.0,11,185.0,2.0,0.8827901,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11292,00-0038476,retained_gsis,QB,history_only,0,0.0,0.0,11,309.0,1.0,1.60460084,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11370,00-0038685,retained_gsis,RB,history_plus_current,2,12.0,0.0,31,106.0,0.0,0.19909567,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11435,00-0038797,retained_gsis,RB,history_plus_current,2,23.0,0.0,39,272.0,0.0,0.39464476,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11559,00-0039917,retained_gsis,QB,history_only,0,0.0,0.0,14,426.0,2.0,1.73813211,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11560,00-0039918,retained_gsis,QB,history_plus_current,2,75.0,0.0,34,1380.0,6.0,2.25966775,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11562,00-0039376,retained_gsis,QB,history_only,0,0.0,0.0,16,574.0,5.0,2.04924144,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11563,00-0039732,retained_gsis,QB,history_plus_current,2,71.0,1.0,34,1400.0,2.0,2.24398728,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11564,00-0039851,retained_gsis,QB,history_plus_current,2,72.0,0.0,30,1068.0,9.0,2.0411492,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11565,00-0039923,retained_gsis,QB,history_only,0,0.0,0.0,10,307.0,2.0,1.75363658,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11566,00-0039910,retained_gsis,QB,history_plus_current,2,64.0,0.0,24,939.0,2.0,2.09922294,1.72663038,calibrated_position_opportunity_rate
sleeper:player:11570,00-0039796,retained_gsis,RB,history_plus_current,2,0.0,0.0,20,26.0,0.0,0.04031937,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11571,00-0039798,retained_gsis,RB,history_plus_current,1,0.0,0.0,29,103.0,0.0,0.13218766,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11575,00-0039875,retained_gsis,RB,history_plus_current,2,1.0,0.0,34,198.0,0.0,0.18836993,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11576,00-0039794,retained_gsis,RB,history_plus_current,2,16.0,0.0,21,131.0,1.0,0.31753353,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11577,00-0039746,retained_gsis,RB,history_plus_current,2,12.0,0.0,27,57.0,0.0,0.15852062,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11581,00-0039811,retained_gsis,RB,history_plus_current,2,21.0,1.0,1,7.0,0.0,0.37993256,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11583,00-0039344,retained_gsis,RB,history_plus_current,2,11.0,0.0,3,12.0,0.0,0.2093506,0.73752057,calibrated_position_opportunity_rate
sleeper:player:11584,00-0039361,retained_gsis,RB,history_plus_current,2,36.0,1.0,27,457.0,2.0,0.80409008,0.8967107,calibrated_position_opportunity_rate
sleeper:player:11586,00-0039738,retained_gsis,RB,history_plus_current,2,23.0,0.0,32,218.0,0.0,0.38962472,0.73752057,calibrated_position_opportunity_rate
