season,position,model,n,mae,rmse,bias,spearman,actual_zero_rate,pred_zero_rate,zero_gap,zero_brier,actual_p90,pred_p90,actual_p95,pred_p95,tail_n,tail_rmse
COMBINED,ALL,zero_omission,1599,0.4117990410673337,1.0425150391421731,-0.4117990410673337,0.0,0.7761100687929956,1.0,0.2238899312070044,0.22388993120700437,1.1333333333333333,0.0,2.2666666666666666,0.0,358,2.2032564353532504
2023,ALL,zero_omission,522,0.4450830140485313,1.172811767277449,-0.4450830140485313,0.0,0.7758620689655172,1.0,0.22413793103448276,0.22413793103448276,1.1333333333333333,0.0,2.2666666666666666,0.0,117,2.4772545536252
2024,ALL,zero_omission,526,0.4179974651457541,1.0030287888001062,-0.4179974651457541,0.0,0.7642585551330798,1.0,0.23574144486692017,0.23574144486692014,1.1333333333333333,0.0,2.2666666666666666,0.0,124,2.0658340327567597
2025,ALL,zero_omission,551,0.37434966727162733,0.9436556496294803,-0.37434966727162733,0.0,0.7876588021778584,1.0,0.21234119782214156,0.21234119782214156,1.1333333333333333,0.0,2.2666666666666666,0.0,117,2.0478418445580426
COMBINED,QB,zero_omission,213,1.5057902973395931,2.3335211192040917,-1.5057902973395931,0.0,0.4272300469483568,1.0,0.5727699530516432,0.5727699530516432,4.533333333333333,0.0,4.9866666666666415,0.0,24,5.385818139989229
COMBINED,RB,zero_omission,405,0.44493827160493826,0.9236475672745724,-0.44493827160493826,0.0,0.7160493827160493,1.0,0.28395061728395066,0.2839506172839506,1.1333333333333333,0.0,2.2666666666666666,0.0,115,1.7333444815695003
COMBINED,WR,zero_omission,638,0.15987460815047022,0.483254957072717,-0.15987460815047022,0.0,0.8761755485893417,1.0,0.12382445141065834,0.1238244514106583,1.1333333333333333,0.0,1.1333333333333333,0.0,79,1.373324320973255
COMBINED,TE,zero_omission,343,0.1619047619047619,0.49336380017813086,-0.1619047619047619,0.0,0.8775510204081632,1.0,0.12244897959183676,0.12244897959183673,1.1333333333333333,0.0,1.1333333333333333,0.0,42,1.4099044959963378
COMBINED,ALL,position_game_rate,1599,0.7013385811633903,1.0475162745637812,0.3480996602935634,0.3204754817075689,0.7761100687929956,0.6290524554838168,0.14705761330917877,0.18176788244833367,1.1333333333333333,3.0357142857142856,2.2666666666666666,3.126959847036329,358,1.3532986610350521
2023,ALL,position_game_rate,522,0.7395831397821326,1.1054662049345614,0.3156532906870569,0.3029451575236739,0.7758620689655172,0.6250640387092463,0.15079803025627092,0.1897220057868516,1.1333333333333333,3.0357142857142856,2.2666666666666666,3.0357142857142856,117,1.5228818014113523
