index,n,crps_gain_mean,crps_gain_ci_low,crps_gain_ci_high,mae_gain_mean,mae_gain_ci_low,mae_gain_ci_high,d1_crps,d1r_crps,d1_mae,d1r_mae,position,horizon,cohort
0,153,0.0557682291662339,-0.7027504969159608,0.7248483091655918,0.8568300332201502,-0.1136207722304776,1.8351653263021648,45.64975367535759,45.59398544619135,63.961144679831634,63.10431464661149,QB,2,all
1,63,0.0331948898006984,-1.0254969297832808,1.0024862769570335,0.6599092897997209,-0.6810071157964945,2.010274539526514,47.42685610567893,47.39366121587823,65.08087668218008,64.42096739238036,QB,2,developmental
2,153,-0.7407327022962186,-1.782299483872046,0.0944658292480513,0.2085032305814102,-1.0439972961661468,1.348098805450453,41.7257860494432,42.46651875173943,60.572716353498016,60.3642131229166,QB,3,all
3,63,-0.9661684773909368,-3.2725587197908563,0.8119152653660769,0.5466728140353739,-2.463766716188504,3.068182604680595,44.32095652991458,45.28712500730552,63.28331937386609,62.73664655983073,QB,3,developmental
4,343,0.1026376830803211,-0.2743284595188439,0.408285704066683,0.4482543966843926,0.0824508657288767,0.8177189638814055,21.355696253115475,21.253058570035154,32.56281958790594,32.114565191221544,RB,2,all
5,213,0.1458019486333363,-0.2977035114207386,0.5057313713525835,0.5750917196961766,0.0554798688430188,1.054242051812153,20.660847444273017,20.51504549563968,31.365824248740317,30.79073252904413,RB,2,developmental
6,343,-0.0331310117025138,-0.2707101169768584,0.1704041467396568,0.290627627354203,-0.0048165499056144,0.5696363770127398,19.899074574204267,19.932205585906782,31.69155695142821,31.400929324074013,RB,3,all
7,213,0.0677723814687986,-0.2839995574205653,0.3553101208393922,0.4443656339937724,-0.0230011768032125,0.8558336290903413,21.472279835969367,21.404507454500568,34.0309200566933,33.58655442269952,RB,3,developmental
8,467,0.0212019832068424,-0.1413652057324542,0.1742525028675694,0.0776662967187325,-0.1377932644780472,0.2931649959413731,15.9788464169873,15.957644433780455,24.693463441402,24.615797144683278,WR,2,all
9,281,0.0342968340126901,-0.2192188086093552,0.2613100917758706,0.2041193995077591,-0.1762710299529301,0.5713583240616544,17.28316998769506,17.248873153682375,26.601048296997742,26.39692889748998,WR,2,developmental
10,467,0.0993121704160781,-0.0219028356969679,0.2278006754360927,0.1138506488660616,-0.0804539256232208,0.3137872639206934,14.172790871837323,14.073478701421244,22.95445743355773,22.84060678469168,WR,3,all
11,281,0.1111111432466843,-0.0943470846946965,0.3176502956740834,0.1960152634043647,-0.1359751075434624,0.523330722864391,16.839114468813058,16.728003325566377,27.225074715808745,27.029059452404383,WR,3,developmental
12,247,0.1344565223202425,-0.0592135726886506,0.3190575699129419,0.0540484615751833,-0.2289699111916694,0.3259007797197785,10.866525869510166,10.732069347189926,16.29698554162058,16.242937080045394,TE,2,all
13,136,0.2446690055916803,-0.0249176793393018,0.5484739343138473,0.4134547986430814,0.0750190277115044,0.7979681192997093,10.100696609244263,9.856027603652583,15.144763230032211,14.731308431389133,TE,2,developmental
14,247,0.0773099249113322,-0.081812898753089,0.2134387914720078,0.0780355075847951,-0.1699026613078113,0.3092950055510871,10.877262502846916,10.799952577935583,16.469823467042783,16.391787959457986,TE,3,all
15,136,0.1374634039309447,-0.1318626215164114,0.3387114035330386,0.2075640057583207,-0.1974272146401825,0.56908487626053,11.040810078605116,10.903346674674172,16.19302820458321,15.98546419882489,TE,3,developmental
