index,horizon,candidate,subset,metric,gain_mean,ci_low,ci_high,n
0,2,S1,full,crps,1.2519282954542676,0.8427373591892072,1.6459425516877213,773
1,2,S1,full,brier4,0.0164208814262839,0.0012589417926575,0.0330638710611218,773
2,2,S1,sub_p90,crps,0.8349508194033471,0.59375027987,1.101481762632024,694
3,2,S1,sub_p90,brier4,0.0129604049185378,0.0002781531210318,0.0274637479168393,694
4,2,S1,p90_plus,crps,4.914996249623113,2.102246954537175,7.383905584915297,79
5,2,S1,p90_plus,brier4,0.0468205104943317,-0.0507243345984502,0.1544088673896484,79
6,2,S1,p95_plus,crps,4.383117784828956,0.1392118585376265,8.567963311404107,41
7,2,S1,p95_plus,brier4,0.0863294158915471,-0.0763996433923598,0.2921963393640318,41
8,2,S2,full,crps,1.244434141661436,0.8798951304421719,1.6425515745554604,773
9,2,S2,full,brier4,0.0160146579954644,0.0020542481510552,0.0321537095587068,773
10,2,S2,sub_p90,crps,0.8287357235880422,0.5767194003797989,1.0823066053790302,694
11,2,S2,sub_p90,brier4,0.0125577084034695,-0.0012114663363369,0.0257540242002282,694
12,2,S2,p90_plus,crps,4.896265814356822,2.055129028613993,7.393632059485575,79
13,2,S2,p90_plus,brier4,0.0463833037783053,-0.0444237590968762,0.1586506130258486,79
14,2,S2,p95_plus,crps,4.341713444369287,-0.1378292219829069,8.654310508482713,41
15,2,S2,p95_plus,brier4,0.0816949003237818,-0.0828268999178004,0.2759350441692873,41
16,3,S1,full,crps,0.8114895525391524,0.518534631957171,1.10893931998171,773
17,3,S1,full,brier4,0.0200513090748683,0.0047407598435602,0.0366573823625721,773
18,3,S1,sub_p90,crps,0.5829679050511362,0.3739368364761517,0.809558005713033,694
19,3,S1,sub_p90,brier4,0.0134263742928736,0.0014243086022502,0.0255060173438231,694
20,3,S1,p90_plus,crps,2.819008835535144,0.724929419274324,4.856610415435332,79
21,3,S1,p90_plus,brier4,0.0782501032356819,-0.0272987220094274,0.2014292743285196,79
22,3,S1,p95_plus,crps,2.800886412461019,-0.3225037850569749,5.63501493328895,41
23,3,S1,p95_plus,brier4,0.1237567445930973,-0.0634680924351417,0.3204831528398583,41
24,3,S2,full,crps,0.8064755330602162,0.5114942233216161,1.0965993867514,773
25,3,S2,full,brier4,0.0201046627831329,0.0039356531540555,0.0370571089097241,773
26,3,S2,sub_p90,crps,0.5804975064739709,0.3765997095161043,0.8150336238588596,694
27,3,S2,sub_p90,brier4,0.0132121634362568,0.0019132958041307,0.0255385351888087,694
28,3,S2,p90_plus,crps,2.7916495894001443,0.5199642791351466,4.944856107038331,79
29,3,S2,p90_plus,brier4,0.0806539608430327,-0.0258206206329692,0.1989832924432937,79
30,3,S2,p95_plus,crps,2.741760089529777,-0.3232132235370972,5.52840412110691,41
31,3,S2,p95_plus,brier4,0.1299825115252132,-0.0498123166241576,0.3444429271303249,41
