index,horizon,subset,candidate,n,obs_out,obs_decline,obs_middle,obs_survivor,pred_out,pred_decline,pred_middle,pred_survivor,tail_abs_error,survivor_abs_error,downside_abs_error
0,3,full,D1,773,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049493,0.1032441085381106,0.0918016181799887,0.3297293901769513,0.0720883416128047,0.0412429736180897,0.0308453679947149
1,3,full,S1,773,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049493,0.1170365822792583,0.0876544385237765,0.320084096092016,0.0486505737867216,0.0315976795331544,0.0170528942535672
2,3,full,S2,773,0.4644243208279431,0.1448900388098318,0.1021992238033635,0.2884864165588616,0.4752248831049493,0.1172357146125145,0.0876860095705897,0.3198533927119464,0.0482207380733959,0.0313669761530848,0.016853761920311
3,3,p90+,D1,79,0.0886075949367088,0.240506329113924,0.2531645569620253,0.4177215189873418,0.1386723813899811,0.2371221898724292,0.2508387998441014,0.3733666288934881,0.0910355373056311,0.0443548900938536,0.0466806472117774
4,3,p90+,S1,79,0.0886075949367088,0.240506329113924,0.2531645569620253,0.4177215189873418,0.1386723813899811,0.2731790039171902,0.2444168088660396,0.343731805826789,0.1567271744170911,0.0739897131605527,0.0827374612565384
5,3,p90+,S2,79,0.0886075949367088,0.240506329113924,0.2531645569620253,0.4177215189873418,0.1386723813899811,0.2757416193033124,0.2455601443834466,0.3400258549232599,0.1629957407067425,0.0776956640640819,0.0853000766426606
6,3,p95+,D1,41,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.3229100486108593,0.2196781893865408,0.3219309074228393,0.4047526786946097,0.1658739706259411,0.2388787080686685
7,3,p95+,S1,41,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.2857883430435771,0.3095265214241791,0.2692042809524834,0.4203575995976833,0.2186005970962971,0.2017570025013862
8,3,p95+,S2,41,0.048780487804878,0.1707317073170731,0.2926829268292683,0.4878048780487805,0.1354808545797604,0.2879616780282267,0.3062158439079168,0.2703416234840961,0.4213935920507202,0.2174632545646843,0.2039303374860359
9,3,sub_p90,D1,694,0.5072046109510087,0.1340057636887608,0.085014409221902,0.2737752161383285,0.5135356145681804,0.0880043845821867,0.0736979620539586,0.3247620387956741,0.090657198146748,0.0509868226573456,0.0396703754894023
10,3,sub_p90,S1,694,0.5072046109510087,0.1340057636887608,0.085014409221902,0.2737752161383285,0.5135356145681804,0.0992624449458337,0.0698097306606082,0.3173922098253775,0.0720293088128042,0.043616993687049,0.0284123151257552
11,3,sub_p90,S2,694,0.5072046109510087,0.1340057636887608,0.085014409221902,0.2737752161383285,0.5135356145681804,0.0991925352601038,0.0697147463858409,0.3175571037858747,0.0722641124590314,0.0437818876475462,0.0284822248114852
