index,target,scope,excluded_season,knot,bic,bic_delta_vs_linear,aic,r2
0,target_points,pooled,,0.75,4611.793253480186,-19.65995808001844,4599.71565555871,0.2794939609301757
1,target_points,pooled,,0.8,4610.77933019955,-20.673881360654377,4598.701732278074,0.2812563860514774
2,target_points,pooled,,0.85,4607.807889192729,-23.645322367475277,4595.730291271253,0.2863966231448809
3,target_points,pooled,,0.9,4604.7997950125,-26.653416547704182,4592.722197091024,0.2915628225364963
4,target_points,pooled,,0.95,4613.261574954009,-18.19163660619506,4601.183977032533,0.2769340266754228
5,target_points,leave_one_season_out,2014.0,0.75,4041.821225945709,-17.665069079516798,4030.146293310232,0.2923436212413991
6,target_points,leave_one_season_out,2014.0,0.8,4042.1557150788,-17.330579946425587,4030.480782443323,0.2916894423472722
7,target_points,leave_one_season_out,2014.0,0.85,4039.885283140354,-19.60101188487124,4028.210350504877,0.2961180011499206
8,target_points,leave_one_season_out,2014.0,0.9,4036.641817241985,-22.844477783240563,4024.966884606508,0.3023965094125835
9,target_points,leave_one_season_out,2014.0,0.95,4045.241628978613,-14.24466604661302,4033.566696343136,0.2856255516723198
10,target_points,leave_one_season_out,2015.0,0.75,4038.748465863588,-18.018199617691156,4027.073533228111,0.2891677657819151
11,target_points,leave_one_season_out,2015.0,0.8,4038.6455452104647,-18.12112027081457,4026.970612574987,0.2893698346183393
12,target_points,leave_one_season_out,2015.0,0.85,4036.352059273699,-20.414606207580164,4024.6771266382216,0.2938578684163017
13,target_points,leave_one_season_out,2015.0,0.9,4033.284213007064,-23.482452474215734,4021.609280371586,0.2998169342788924
14,target_points,leave_one_season_out,2015.0,0.95,4038.189547519649,-18.577117961630396,4026.5146148841714,0.2902644249665451
15,target_points,leave_one_season_out,2016.0,0.75,4028.930388883272,-15.792165705526712,4017.2637550082736,0.2766558193581024
16,target_points,leave_one_season_out,2016.0,0.8,4027.434531665247,-17.28802292355249,4015.767897790248,0.2796469023282809
17,target_points,leave_one_season_out,2016.0,0.85,4025.095292302544,-19.627262286255245,4013.428658427545,0.2842996184932808
18,target_points,leave_one_season_out,2016.0,0.9,4021.8363919911394,-22.88616259765968,4010.1697581161407,0.2907314745565379
19,target_points,leave_one_season_out,2016.0,0.95,4030.582345934418,-14.14020865438124,4018.915712059419,0.2733381691157067
20,target_points,leave_one_season_out,2017.0,0.75,3954.020947278053,-20.835662699666045,3942.387739932714,0.3059763163847706
21,target_points,leave_one_season_out,2017.0,0.8,3952.694377381631,-22.16223259608796,3941.061170036292,0.3085504410082101
22,target_points,leave_one_season_out,2017.0,0.85,3950.0909735497175,-24.76563642800147,3938.4577662043785,0.3135744597983545
23,target_points,leave_one_season_out,2017.0,0.9,3951.1376598224015,-23.718950155317543,3939.5044524770624,0.3115589795112331
24,target_points,leave_one_season_out,2017.0,0.95,3961.53078364821,-13.325826329508343,3949.897576302872,0.2912222254227519
25,target_points,leave_one_season_out,2018.0,0.75,3846.424595652061,-13.118319998782226,3834.90267067994,0.2699410879754711
26,target_points,leave_one_season_out,2018.0,0.8,3844.52163701259,-15.021278638252625,3832.9997120404696,0.273968519264278
27,target_points,leave_one_season_out,2018.0,0.85,3840.5320599677134,-19.010855683129197,3829.010134995593,0.2823401085090303
28,target_points,leave_one_season_out,2018.0,0.9,3837.8455762679855,-21.69733938285708,3826.323651295865,0.287922878362809
29,target_points,leave_one_season_out,2018.0,0.95,3843.462135172674,-16.080780478168435,3831.940210200554,0.2762012178352296
30,target_points,leave_one_season_out,2019.0,0.75,3874.9715769557583,-5.305827583544215,3863.414969516435,0.2227639125382419
31,target_points,leave_one_season_out,2019.0,0.8,3874.407400832812,-5.870003706490479,3862.850793393489,0.2240229435407109
