index,family,test,n_train,n_test,auc,brier,logloss
0,baseline,early_to_mid,20,20,0.5800000000000001,0.2645792440410825,0.7456231899680759
1,baseline,earlymid_to_validation,40,19,0.3461538461538461,0.2640237940994211,0.7232981036792574
2,role_opportunity,early_to_mid,20,20,0.5900000000000001,0.2624655979950269,0.7412366073790173
3,role_opportunity,earlymid_to_validation,40,19,0.358974358974359,0.2611492273587533,0.7173228415622339
4,workload_efficiency,early_to_mid,20,20,0.63,0.2640449827250987,0.7542417756467568
5,workload_efficiency,earlymid_to_validation,40,19,0.2435897435897435,0.3199614635364813,0.8485858181423686
6,availability,early_to_mid,20,20,0.71,0.2235598504232855,0.6580611825993199
7,availability,earlymid_to_validation,40,19,0.2051282051282051,0.3192115475571442,0.8447376586001465
8,prior_role_stability,early_to_mid,16,15,0.5892857142857142,0.2916225670281065,0.8699094626670987
9,prior_role_stability,earlymid_to_validation,31,15,0.5,0.2562388589839713,0.7060121701309504
