index,block,category,n,realized_share,d1_predicted_share
0,early,out,27,0.074074074074074,0.1450709774762695
1,early,collapse_active,27,0.2962962962962963,0.2361145255305399
2,early,middle_active,27,0.2592592592592592,0.2650089974115689
3,early,productive_active,27,0.3703703703703703,0.3538054995816213
4,mid,out,26,0.0769230769230769,0.1310119046226025
5,mid,collapse_active,26,0.3076923076923077,0.2360869373623603
6,mid,middle_active,26,0.2307692307692307,0.239827331031831
7,mid,productive_active,26,0.3846153846153846,0.3930738269832058
8,validation,out,26,0.1153846153846153,0.1382629511327702
9,validation,collapse_active,26,0.1153846153846153,0.2406290741340577
10,validation,middle_active,26,0.2692307692307692,0.2471350634901555
11,validation,productive_active,26,0.5,0.3739729112430163
12,pooled,out,79,0.0886075949367088,0.1382033245759362
13,pooled,collapse_active,79,0.240506329113924,0.2375912466864741
14,pooled,middle_active,79,0.2531645569620253,0.2508387998441014
15,pooled,productive_active,79,0.4177215189873418,0.373366628893488
