index,horizon,block,magnitude_bin,n,active_n,source_points_median,active_rate,active_target_points_median,active_retention_median,d1_conditional_points_median,d1_conditional_retention_median
0,2,early,p00_50,173,81,9.7,0.4682080924855491,17.8,1.3054662379421222,31.98813746352496,2.924006373955525
1,2,early,p50_75,80,56,58.2,0.7,58.5,1.0525555117592955,69.03584100687527,1.1732137089973194
2,2,early,p75_90,49,39,114.8,0.7959183673469388,58.0,0.5270142180094787,101.52976623362414,0.9352364481643352
3,2,early,p90_95,13,13,174.9,1.0,103.5,0.6202031602708804,133.6136035561343,0.7530188708872171
4,2,early,p95_100,14,13,235.85,0.9285714285714286,168.2,0.7531380753138075,157.55045112620934,0.6720073660944323
5,2,mid,p00_50,117,55,8.7,0.4700854700854701,15.0,1.8909090909090909,29.0419719096452,3.329673048454421
6,2,mid,p50_75,45,34,65.1,0.7555555555555555,50.3,0.87823057871552,77.328883066296,1.1405352185436362
7,2,mid,p75_90,31,26,122.1,0.8387096774193549,77.6,0.6456007627638112,111.32485733341883,0.8711649837014538
8,2,mid,p90_95,13,13,180.7,1.0,150.8,0.8316831683168315,143.49526235610242,0.7997449509356153
9,2,mid,p95_100,13,13,245.2,1.0,151.0,0.6510212950890918,161.39948120127426,0.6043103583571727
10,2,validation,p00_50,109,64,9.4,0.5871559633027523,11.1,1.1180172620474709,28.86476542623418,3.1243391531161504
11,2,validation,p50_75,60,45,55.8,0.75,41.6,0.8037974683544303,65.78081851407815,1.1961455329010118
12,2,validation,p75_90,30,28,124.05,0.9333333333333332,130.3,0.9314566945233388,109.73052548107697,0.8923135035846947
13,2,validation,p90_95,12,12,182.75,1.0,101.7,0.5510250120597522,144.80515120981642,0.8149731308007568
14,2,validation,p95_100,14,14,235.8,1.0,178.15,0.7106356249779154,157.17331079087046,0.6260213750163091
15,3,early,p00_50,173,60,9.7,0.3468208092485549,17.15,1.857828282828283,39.181764892868,3.857069056179913
16,3,early,p50_75,80,42,58.2,0.525,41.9,0.7537808562502146,67.16057516024264,1.150353165849059
17,3,early,p75_90,49,30,114.8,0.6122448979591837,53.55,0.5123386116311507,98.2275503466184,0.8869379710988544
18,3,early,p90_95,13,11,174.9,0.8461538461538461,109.9,0.6491435321913762,115.48267897907463,0.6774290048936051
19,3,early,p95_100,14,14,235.85,1.0,148.35,0.6169085172204833,137.77390825949865,0.5764278255345788
20,3,mid,p00_50,117,47,8.7,0.4017094017094017,16.4,2.545454545454545,36.31271427766245,4.211830597032158
21,3,mid,p50_75,45,31,65.1,0.6888888888888889,53.0,0.6183783783783784,73.41933447834445,1.10728674443154
22,3,mid,p75_90,31,25,122.1,0.8064516129032258,74.5,0.614314115308151,108.96847664691346,0.8082981128203113
23,3,mid,p90_95,13,12,180.7,0.9230769230769232,72.9,0.417940955699296,125.69558977509156,0.7022099987435282
24,3,mid,p95_100,13,12,245.2,0.9230769230769232,174.75,0.7323233166813334,141.66101437995047,0.5369730793490428
25,3,validation,p00_50,109,46,9.4,0.4220183486238532,9.1,0.7356853672643147,35.91977817938652,4.158503175041193
26,3,validation,p50_75,60,36,55.8,0.6,39.65,0.7092243049421891,64.83871362539622,1.147649013829818
27,3,validation,p75_90,30,25,124.05,0.8333333333333334,53.1,0.4428191489361701,104.47450178618725,0.8138067458123501
28,3,validation,p90_95,12,10,182.75,0.8333333333333334,129.8,0.6833446903676224,126.35317371928843,0.7167743450095871
29,3,validation,p95_100,14,13,235.8,0.9285714285714286,196.2,0.7320810677212061,137.14023710628584,0.5433945075466964
