index,horizon,subset,metric,n,mean,ci_low,ci_high,nboot
0,2,full,crps_gain,213,-1.82466001608824,-3.4728021864406124,-0.214074596461239,2000
1,2,full,brier4_gain,213,0.0069445113968216,-0.0295884078135044,0.0440889469982615,2000
2,2,full,mae_gain,213,-19.783057769278656,-29.06365141979256,-10.833186850458388,2000
3,2,sub_p90,crps_gain,199,-1.006166698037972,-2.449718504305317,0.3045439332780429,2000
4,2,sub_p90,brier4_gain,199,0.0066726219864172,-0.0229944259576216,0.0355026118780019,2000
5,2,sub_p90,mae_gain,199,-14.190588002554309,-20.986831270264872,-6.629770020077315,2000
6,2,p90plus,crps_gain,14,-13.458957894088474,-23.03446329628452,-2.1914341864057705,2000
7,2,p90plus,brier4_gain,14,0.0108092251589986,-0.3168314652581295,0.3444267112453234,2000
8,2,p90plus,mae_gain,14,-99.27602088200332,-164.9735132409868,-49.69286883565109,2000
9,2,p95plus,crps_gain,6,-7.245206896615493,-26.09893423490752,7.170703122840113,1842
10,2,p95plus,brier4_gain,6,0.1862362106676622,-0.4056461546664638,1.0534088562250747,1842
11,2,p95plus,mae_gain,6,-117.2633833258313,-197.185826251483,19.845734800967392,1842
12,3,full,crps_gain,213,-0.912942641052872,-2.253205281238217,0.4802236561061778,2000
13,3,full,brier4_gain,213,0.0051555467560149,-0.0207997906983603,0.0332212657943901,2000
14,3,full,mae_gain,213,-13.809587476379871,-21.78347326201664,-5.978138913563701,2000
15,3,sub_p90,crps_gain,199,-0.4118432512968473,-1.694755219560799,0.9502322771361024,2000
16,3,sub_p90,brier4_gain,199,0.0081668021444594,-0.0278221682134649,0.0410998699668487,2000
17,3,sub_p90,mae_gain,199,-12.19144307091601,-18.405791898186525,-5.20083776352972,2000
18,3,p90plus,crps_gain,14,-8.035712538299219,-13.853827190154018,-1.3216134357226286,2000
19,3,p90plus,brier4_gain,14,-0.0376472976940168,-0.3405394576678378,0.3197179426012038,2000
20,3,p90plus,mae_gain,14,-36.8103543826162,-93.95212992719344,15.943660686127547,2000
21,3,p95plus,crps_gain,6,-12.667755571510767,-18.592553922427065,-7.400011483560381,1832
22,3,p95plus,brier4_gain,6,-0.0500930848718197,-0.4654443842780961,0.8233359384064831,1832
23,3,p95plus,mae_gain,6,-69.0013724994147,-106.58908573051154,0.1053511820982606,1832
