index,fit,block,horizon,component,mu_log_retention,sigma_log_retention,median_retention,mean_retention,effective_n
0,selection,early,2,major_decline,-0.4930228743418578,1.163080458583348,0.6107772977773845,1.2012410157947562,359.9026088041171
1,selection,early,2,productive_survivor,1.5595818625952944,1.116599790378049,4.756831819928487,8.872702321861544,94.09739119588292
2,selection,early,3,major_decline,-0.4659820991642607,0.879388483315388,0.6275185170526975,0.9237442356788076,202.5453803202051
3,selection,early,3,productive_survivor,0.5503692342302735,1.935043449182916,1.7338931123764465,11.274751095333167,117.45461967979487
4,selection,mid,2,major_decline,-0.4888782812359415,1.2054957411879026,0.6133139742697762,1.268368856206826,527.4939705216868
5,selection,mid,2,productive_survivor,1.822731413860411,1.221365013449154,6.188739393524585,13.047514578812404,122.50602947831322
6,selection,mid,3,major_decline,-0.4666100417254422,0.8950679426828457,0.6271245951610154,0.9360964801660054,284.84049686683863
7,selection,mid,3,productive_survivor,0.4567434462032667,2.0686553500524014,1.5789237533990472,13.415502280094444,188.15950313316137
8,selection,validation,2,major_decline,-0.482641287772424,1.2321335461193317,0.6171511633410508,1.3184215821088447,652.6909510893357
9,selection,validation,2,productive_survivor,1.9147750487797464,1.270467132196721,6.785412238542172,15.207951495525483,133.30904891066425
10,selection,validation,3,major_decline,-0.5963720912353444,1.2050665591310632,0.5508062906633974,1.138510255894404,465.11528331748775
11,selection,validation,3,productive_survivor,1.8682030908929963,1.2696428727106093,6.476647989099346,14.500738845717189,111.88471668251228
12,locked_pre2021,pre2021,2,major_decline,-0.4919886635980197,1.2317055314228782,0.6114092969746865,1.305466691002091,769.6322801818561
13,locked_pre2021,pre2021,2,productive_survivor,1.8952809109601496,1.2611152514091275,6.654417440896754,14.7388483036599,157.36771981814388
14,locked_pre2021,pre2021,3,major_decline,-0.6136124866739929,1.2004822778019886,0.541391562416018,1.1128968193219777,551.1690722294328
15,locked_pre2021,pre2021,3,productive_survivor,1.788160088041627,1.3021617118313067,5.978442532926195,13.956881022592892,135.8309277705672
