index,fit,block,horizon,source_percentile,pi_survivor
0,selection,early,2,0.5,0.1850850392895663
1,selection,early,2,0.75,0.0610661551026418
2,selection,early,2,0.9,0.0297969726739232
3,selection,early,2,0.95,0.0233575047602776
4,selection,early,2,0.99,0.0192032569528491
5,selection,early,3,0.5,0.4405152726952763
6,selection,early,3,0.75,0.2224072729204763
7,selection,early,3,0.9,0.1347886811154791
8,selection,early,3,0.95,0.1128664920040969
9,selection,early,3,0.99,0.0976326883508978
10,selection,mid,2,0.5,0.1368343591888054
11,selection,mid,2,0.75,0.0343091822864654
12,selection,mid,2,0.9,0.0142761232975641
13,selection,mid,2,0.95,0.0106245463271809
14,selection,mid,2,0.99,0.0083824097231027
15,selection,mid,3,0.5,0.4650931471576255
16,selection,mid,3,0.75,0.2242462840029918
17,selection,mid,3,0.9,0.1299013468293734
18,selection,mid,3,0.95,0.106969369296856
19,selection,mid,3,0.99,0.0912658430905991
20,selection,validation,2,0.5,0.111048634208701
21,selection,validation,2,0.75,0.0247808606683572
22,selection,validation,2,0.9,0.0096787139278866
23,selection,validation,2,0.95,0.0070573474006022
24,selection,validation,2,0.99,0.0054786313797401
25,selection,validation,3,0.5,0.1625850456207433
26,selection,validation,3,0.75,0.042801150375299
27,selection,validation,3,0.9,0.0181914828900574
28,selection,validation,3,0.95,0.0136252949187753
29,selection,validation,3,0.99,0.0108033086013193
30,locked_pre2021,pre2021,2,0.5,0.1077261918579724
31,locked_pre2021,pre2021,2,0.75,0.0222405656681989
32,locked_pre2021,pre2021,2,0.9,0.0082861839081582
33,locked_pre2021,pre2021,2,0.95,0.0059483332625408
34,locked_pre2021,pre2021,2,0.99,0.0045605339582512
35,locked_pre2021,pre2021,3,0.5,0.162973979557801
36,locked_pre2021,pre2021,3,0.75,0.0402260771621174
37,locked_pre2021,pre2021,3,0.9,0.0164033084190159
38,locked_pre2021,pre2021,3,0.95,0.0121174597609342
39,locked_pre2021,pre2021,3,0.99,0.0095023979202712
