index,position,career_stage,origin,n,crps_gain,mae_gain,mult_50,mult_95
0,QB,developmental,2014,34,-1.6668295131394364,5.116888860665831,0.7221229285861742,0.7719747542709192
1,QB,established,2014,17,-5.298677698956587,-4.674808020656957,0.7205074963535124,0.767484446169002
2,WR,developmental,2014,120,-0.5971939263091702,0.733391578850896,0.7424780480758356,0.7628384597376496
3,WR,established,2014,62,0.7814846986337524,0.746710802555748,0.7772913718418256,0.8440859785950743
4,TE,developmental,2014,69,0.2385538656969832,1.6207970407344303,0.7699402468224527,0.8486089479049814
5,TE,established,2014,41,-1.243870549750874,0.5534811691122051,0.7252197633374677,0.7245571897115957
6,QB,developmental,2015,26,-3.599898211278913,-2.334096945414297,0.7167352253352312,0.7755953952847207
7,QB,established,2015,18,-2.435110392402322,-2.212259962253881,0.7130621817519662,0.7625821037139925
8,WR,developmental,2015,128,-1.1918382963660048,0.5942663810211443,0.7464377068358757,0.7651227244885744
9,WR,established,2015,61,-0.094674713102872,0.1833009631131677,0.7722267183791065,0.8250231889212752
10,TE,developmental,2015,67,0.0974293313015863,1.3916552219980594,0.7530170289994604,0.8227411972069504
11,TE,established,2015,37,0.6306413532827466,0.3436012361359746,0.7312895083344261,0.7381078017106525
12,QB,developmental,2016,26,-6.714517157903226,1.9352533657900712,0.7188118513198554,0.7756588443445384
13,QB,established,2016,22,-0.6662269916810728,3.5441111071302687,0.7142106542260015,0.7723581898603665
14,WR,developmental,2016,132,-1.1556558836192905,-0.533720869703503,0.7476997803145649,0.7728359567944021
15,WR,established,2016,62,0.4708579063367193,2.927565974329436,0.7709195970946261,0.8074197198622236
16,TE,developmental,2016,75,-0.1982126467231636,0.9659834967688316,0.7527333482191487,0.8083779601478379
17,TE,established,2016,37,1.4011414333191536,2.612239879565613,0.7323930259957877,0.7521278907032898
18,QB,developmental,2017,29,3.058799792481568,8.745392649618413,0.7191337408214931,0.7782152927460096
19,QB,established,2017,20,-3.990430963034919,-2.301448680572189,0.7154010571840167,0.7764638888414005
20,WR,developmental,2017,136,-1.2902329066600506,0.4813095441086281,0.7509815172298243,0.7774713548982172
21,WR,established,2017,62,-0.3628914260193175,1.661348689124976,0.769919214691077,0.8147129544157847
22,TE,developmental,2017,68,0.5670411643123155,0.9470858370915712,0.7550286752655491,0.8054430884446574
23,TE,established,2017,40,-0.7388635643268604,1.1014989194260494,0.7337257146929521,0.7594660736793875
24,QB,developmental,2018,24,-1.8613491036283965,0.993470036424263,0.723413457311728,0.7878916765997578
25,QB,established,2018,24,-2.708418320847627,1.9380893558673091,0.7171101694927022,0.7805244563524243
26,WR,developmental,2018,136,-0.156432156327687,1.2774814788020383,0.754381551379144,0.7823933704254845
27,WR,established,2018,71,-0.3084739528123503,0.0671583754146583,0.7667618865679918,0.8132970977664558
28,TE,developmental,2018,76,-0.7762094599626742,-0.0567414657495974,0.7564722942552182,0.8046658873953132
29,TE,established,2018,42,-0.4855855239823867,0.984466895091567,0.7364580377351408,0.7664782239466059
30,QB,developmental,2019,27,0.6794155983111086,6.973936267440415,0.721934231480303,0.7970530646570043
31,QB,established,2019,22,-1.8670354837211456,-6.771922747136409,0.7169426858448438,0.7830012621968262
32,WR,developmental,2019,142,0.0661178323097466,0.3879719394334368,0.7567471305396722,0.7825809046920194
33,WR,established,2019,66,-0.5705637454634853,0.8578539229704347,0.7616500239406498,0.8116232525411231
34,TE,developmental,2019,70,-0.9762327299499672,-0.4458795545088853,0.7553016031840629,0.7979604692445871
35,TE,established,2019,46,0.1132908843121365,0.8923802770050726,0.7431479064718439,0.7713515443203794
36,QB,developmental,2020,36,-4.310217087295225,0.1746832759792759,0.7202619153370222,0.7925316599078148
37,QB,established,2020,25,-5.334408718908803,-1.11640178285835,0.7172962012508726,0.7765871593991768
38,WR,developmental,2020,151,-0.0792323147037509,1.538553832403859,0.7569067513506856,0.7872679213217397
39,WR,established,2020,56,-2.0907292632563275,-0.1608162756048452,0.7610360454324773,0.7971098465661445
40,TE,developmental,2020,75,-0.4582407908510225,0.8606820487656813,0.7512714808875919,0.7905479217436409
41,TE,established,2020,39,0.1346441031881239,0.3471391075055336,0.7472144417177248,0.7716598815193082
42,QB,developmental,2021,30,-13.189684428192196,-12.888252155769644,0.7177820856640151,0.7829454839815314
43,QB,established,2021,23,0.6361679371103718,5.530650554014245,0.7147597617036094,0.7735845954619628
44,WR,developmental,2021,144,-0.5154043710661521,1.375114988510373,0.7539140439595395,0.7914620038870868
45,WR,established,2021,79,-0.1937544450334495,-0.3160165966558955,0.7614503636538196,0.7968430652159705
46,TE,developmental,2021,66,0.119449678052798,0.3648866066003743,0.7523104369712894,0.7920056508772549
47,TE,established,2021,53,-0.5986298082170948,0.0973218907129218,0.7466525234688749,0.782957126631913
48,QB,developmental,2022,33,-0.430731979989983,5.518601435608112,0.7155075325221009,0.7815200763109437
49,QB,established,2022,28,-9.128769982967516,-4.707050358302437,0.7163242303771996,0.7721839168575163
50,WR,developmental,2022,137,-0.5236814451426511,-0.2165967209496128,0.7514804991244177,0.7885563540218554
51,WR,established,2022,78,0.6938640942631652,2.3419706373298754,0.7618578846657449,0.7979554370870444
52,TE,developmental,2022,70,-0.0628876802321325,0.788002461299912,0.7556400092565072,0.7922064998827799
53,TE,established,2022,45,-0.6456039201331752,-0.5044827548233861,0.7456634685861959,0.7788514944353637
