index,candidate,omitted_origin,n,crps_gain
0,C1,2014,882,-0.6785745075822972
1,C1,2015,871,-0.6703465194730118
2,C1,2016,876,-0.6257005435520337
3,C1,2017,878,-0.4670721999490833
4,C1,2018,875,-0.3691545505128063
5,C1,2019,874,-0.1522995906800246
6,C1,2020,873,-0.5977174261341901
7,C1,2021,874,-0.5116204686812257
8,C1,2022,885,-0.3309044136251987
9,C2,2014,882,-0.61820259090547
10,C2,2015,871,-0.6043877825843196
11,C2,2016,876,-0.568302567117537
12,C2,2017,878,-0.4088044596748486
13,C2,2018,875,-0.3121732693084061
14,C2,2019,874,-0.1104750738553739
15,C2,2020,873,-0.5345471383185137
16,C2,2021,874,-0.4524493574272712
17,C2,2022,885,-0.2745507508274188
