index,success,status,message,fun,n_active,nit,origin,candidate,beta,train_rows,train_active
0,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.461519822516223,320,7,2014,C1,"[-0.8939370146674595, 0.19864476902409722]",596,320
1,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4588839885496254,320,8,2014,C2,"[-0.878695583720562, 0.1938448972759202, 0.21381044297984353]",596,320
2,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4488090142595675,368,7,2015,C1,"[-0.8925336134138531, 0.23235367883852448]",704,368
3,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.4469879651456723,368,8,2015,C2,"[-0.8828721719030335, 0.2286061876582865, 0.1778030607837288]",704,368
4,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.595399177087775,419,7,2016,C1,"[-0.9223068778347625, 0.21441914624503763]",813,419
5,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.594099082769803,419,8,2016,C2,"[-0.9148706356405174, 0.21438031168977378, 0.15000383142274284]",813,419
6,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7241163181408383,473,7,2017,C1,"[-0.9497867573062136, 0.16753028996135155]",919,473
7,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7230506694016996,473,8,2017,C2,"[-0.9426338693222315, 0.16871278287768937, 0.1361303929933877]",919,473
8,True,0,CONVERGENCE: NORM OF PROJECTED GRADIENT <= PGTOL,1.6805131581143,525,6,2018,C1,"[-0.9408708356970621, 0.1454229168653288]",1023,525
9,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.6797450580442503,525,8,2018,C2,"[-0.9356432608589251, 0.1458474559214586, 0.11553728101759675]",1023,525
10,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7094003246994651,577,6,2019,C1,"[-0.9533040668684024, 0.10890831668614728]",1138,577
11,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7086273887387649,577,8,2019,C2,"[-0.9475563260039578, 0.10820275954719154, 0.11601872044923438]",1138,577
12,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7504564896974444,630,6,2020,C1,"[-0.9692400277633555, 0.10287058158929956]",1248,630
13,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7496760287852735,630,8,2020,C2,"[-0.9633480919877295, 0.10173057123110361, 0.11729103484327441]",1248,630
14,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7104995251852753,687,6,2021,C1,"[-0.9626969030760184, 0.09697276533078414]",1356,687
15,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.709820100087309,687,8,2021,C2,"[-0.9576349386137931, 0.09581451309095125, 0.10951113723383575]",1356,687
16,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7172989994366292,757,6,2022,C1,"[-0.9643322831114715, 0.09132457545616622]",1467,757
17,True,0,CONVERGENCE: RELATIVE REDUCTION OF F <= FACTR*EPSMCH,1.7161691916851487,757,8,2022,C2,"[-0.9556983326492752, 0.08889819458833795, 0.1416915334445576]",1467,757
