index,candidate,gate,pass,evidence
0,C1,1_full_cell_CRPS_temporal,False,"gain -0.489 CI [-1.934,+0.662], origins 4/9, median -0.314"
1,C1,2_continuous_IMCE,False,"relative improvement -27.1%, gain CI [-0.964,+0.705]"
2,C1,3_p75_p90_bias_direction,False,p75 abs-bias improvement -0.087; p90 -0.148
3,C1,4_MAE_guardrail,True,"gain +1.999 CI [+0.408,+3.371]"
4,C1,5_lowmid_no_harm,True,"CRPS gain +0.058 CI [-0.503,+0.508]"
5,C1,6_shape_stability,True,high-minus-mid positive 9/9; LOO sign flip False
6,C1,7_distribution_and_parity,True,prob sum max err 2.22e-16; min support 0.000; control parity True
7,C2,1_full_cell_CRPS_temporal,False,"gain -0.431 CI [-1.819,+0.678], origins 4/9, median -0.268"
8,C2,2_continuous_IMCE,False,"relative improvement -25.2%, gain CI [-0.942,+0.747]"
9,C2,3_p75_p90_bias_direction,False,p75 abs-bias improvement -0.081; p90 -0.139
10,C2,4_MAE_guardrail,True,"gain +2.058 CI [+0.503,+3.455]"
11,C2,5_lowmid_no_harm,True,"CRPS gain +0.056 CI [-0.501,+0.505]"
12,C2,6_shape_stability,True,high-minus-mid positive 9/9; LOO sign flip False
13,C2,7_distribution_and_parity,True,prob sum max err 2.22e-16; min support 0.000; control parity True
