index,subset,target_state,n,source_pct_mean,realized_ret_mean,d1_state_ret_mean,bias_ret,realized_points_mean,d1_state_points_mean
0,all,depth,73,0.3738907881216626,0.4964906555989296,0.7150533721785665,0.2185627165796368,2.510958904109589,5.496684782898918
1,all,elite,118,0.802446729546686,6.065417679306177,5.608653172998151,-0.4567645063080215,188.6993220338983,182.2200350187379
2,all,premium,127,0.6462134598654171,5.181539963588468,5.81631263989952,0.634772676311051,77.33700787401574,78.27938996997001
3,all,starter,107,0.5228279575665974,5.32141636769588,6.410357636280006,1.088941268584125,28.15439252336449,31.135043506372465
4,all,usable,94,0.485776993538065,0.8360587280022798,1.1153929789854815,0.2793342509832017,9.89872340425532,15.3612459356149
5,p75+,depth,10,0.83040030604531,0.0243720565041852,0.0681154770057003,0.043743420501515,2.9400000000000004,8.53511909077826
6,p75+,elite,85,0.9050338762705132,1.1492529900947135,1.1135543266507384,-0.0356986634439747,192.8178823529412,186.1031575951397
7,p75+,premium,52,0.869718516028332,0.560701976644664,0.580988817607136,0.0202868409624718,80.21923076923076,81.20036866314766
8,p75+,starter,23,0.8606120894999869,0.2260516845743286,0.2464206561287387,0.02036897155441,30.38260869565218,33.56638584751561
9,p75+,usable,20,0.8495021940968851,0.0779839662461853,0.1329943003404791,0.0550103340942937,10.504,18.263016729113996
10,p90+,depth,2,0.9296439628482972,0.0172703018819892,0.0646683484919194,0.0473980466099302,3.05,11.344033821793357
11,p90+,elite,50,0.9577419266063244,0.9080052706522556,0.8643673300192478,-0.0436379406330079,199.0616,188.77301001838856
12,p90+,premium,21,0.945964325892062,0.4396494312486096,0.4182259630907352,-0.0214234681578744,87.60000000000001,82.35823218461226
13,p90+,starter,7,0.9491704798888668,0.1347494781508336,0.1644655170584632,0.0297160389076295,27.38571428571428,33.931695223894955
14,p90+,usable,5,0.9362273678517624,0.0534900228066981,0.1090485010907887,0.0555584782840905,9.98,20.656805569131187
15,p95+,elite,31,0.9773571117330156,0.8232573947949616,0.7709394378602531,-0.0523179569347086,203.55741935483877,190.01792968869788
16,p95+,premium,10,0.9709131345244896,0.4020478552044378,0.3634112410252706,-0.0386366141791671,93.18,83.35901897025299
17,p95+,starter,2,0.9756282416538826,0.095935330776285,0.1369480889373037,0.0410127581610186,25.9,36.529298821988405
18,p95+,usable,1,0.9970760233918128,0.0359116022099447,0.0943614280683819,0.0584498258584371,9.1,23.911185872527973
