index,scope,decile,n,u_mean,d1_ret_bias,challenger_ret_bias,realized_retention_mean,d1_pred_retention_mean,challenger_pred_retention_mean
0,overall,0,31,0.0531551692814394,3.9493315347552103,-2.5183741748850226,43.48211527829525,47.43144681305047,40.96374110341022
1,overall,1,36,0.1594881548092921,0.9936460228008496,0.1290690661283794,4.65349983374217,5.647145856543019,4.782568899870549
2,overall,2,35,0.2459424337441899,0.300331800527464,-0.2102732373332247,3.573216916614576,3.87354871714204,3.3629436792813507
3,overall,3,41,0.3518105107952771,0.2158251946982169,-0.0720873191075529,1.938286857812252,2.154112052510469,1.8661995387046988
4,overall,4,53,0.4507293175279061,0.0903096428025546,-0.0639917078172696,1.2380451870024654,1.3283548298050205,1.174053479185196
5,overall,5,49,0.5463295403161653,0.0476379503977911,-0.0649609111895481,0.9973185841054956,1.0449565345032867,0.9323576729159474
6,overall,6,51,0.6552732568135888,0.0417785607561762,-0.0550348073161379,1.1028203847385158,1.144598945494692,1.047785577422378
7,overall,7,73,0.751451981109484,0.0031989241908668,-0.0728599336483965,0.8714871916605684,0.8746861158514354,0.7986272580121718
8,overall,8,65,0.8517720401354876,0.0069606429616799,-0.0537906533571409,0.7349274073185179,0.7418880502801979,0.6811367539613771
9,overall,9,85,0.9521995917438472,-0.0241316365408475,-0.068707905355682,0.6573898665139634,0.633258229973116,0.5886819611582815
10,upper,0,19,0.0449361899004672,6.779770353362018,-3.1855383273232927,68.56474899369637,75.3445193470584,65.37921066637307
11,upper,1,11,0.1596709585789849,0.678617368923911,-0.9056588110117568,12.394466686354432,13.073084055278343,11.488807875342676
12,upper,2,15,0.2456681591727845,0.3514382234143134,-0.5309298064414497,7.416810142453198,7.768248365867511,6.885880336011748
13,upper,3,16,0.3495738796942038,0.1505583567876881,-0.3332823714834004,4.224612439255461,4.375170796043149,3.891330067772061
14,upper,4,29,0.4546645670273169,0.0489822645182676,-0.1574971552625109,2.025495444462804,2.0744777089810715,1.867998289200293
15,upper,5,29,0.5476861732441624,-0.0246148603965191,-0.1767328255394984,1.5797381256719731,1.555123265275454,1.4030053001324745
16,upper,6,45,0.6562973139845548,0.0394546326925139,-0.0648706003315793,1.233143272461518,1.272597905154032,1.1682726721299388
17,upper,7,59,0.7509420313428464,-0.0101288537048467,-0.0988452968836514,1.063288614962654,1.0531597612578074,0.9644433180790026
18,upper,8,51,0.8531053206703666,-0.0036673368175723,-0.0765060804525692,0.9195627503714784,0.915895413553906,0.8430566699189093
19,upper,9,78,0.9538018017086104,-0.0310740716745173,-0.0787052900593816,0.7125147171267876,0.6814406454522701,0.6338094270674061
20,lower,0,12,0.066168553301312,-0.5321965947055673,-1.4620309335244273,3.767945228910141,3.235748634204574,2.305914295385714
21,lower,1,25,0.1594077211506273,1.1322586305067028,0.5843493320700395,1.247474418592773,2.3797330490994764,1.8318237506628123
22,lower,2,20,0.2461481396727439,0.262001983362327,0.0302191894979441,0.6905219972356089,0.952523980597936,0.720741186733553
23,lower,3,25,0.3532419546999639,0.2575959709609554,0.0950775144129893,0.4750384856885976,0.7326344566495532,0.5701160001015871
24,lower,4,24,0.4459742243827844,0.1402468915627347,0.0489940411790636,0.2865427925712228,0.4267896841339575,0.3355368337502866
25,lower,5,20,0.5443624225705694,0.1524045260495411,0.0971083646178798,0.1528102488341032,0.3052147748836444,0.2499186134519831
26,lower,6,6,0.6475928280313442,0.0592080212336431,0.0187336402996726,0.1253987268159989,0.1846067480496421,0.1441323671156716
27,lower,7,14,0.753601055126027,0.0593659881799456,0.036649811414463,0.0631811934589222,0.1225471816388679,0.0998310048733852
28,lower,8,14,0.8469150896155714,0.0456768550146704,0.0289584024904909,0.0623272290541618,0.1080040840688322,0.0912856315446527
29,lower,9,7,0.9343463949936296,0.0532269263771876,0.0426915241998279,0.0431415311139242,0.0963684574911118,0.0858330553137521
