index,omit_player,removed_rows,crps_gain,delta_vs_full
0,00-0035831,3,-0.0024252957203224,-0.0169605121772409
1,00-0033951,4,-0.0019232262747372,-0.0164584427316558
2,00-0032780,4,-0.001738688772543,-0.0162739052294616
3,00-0034816,4,0.0002151700412587,-0.0143200464156598
4,00-0036360,3,0.0014179347925069,-0.0131172816644116
5,00-0033556,4,0.0021143390892282,-0.0124208773676903
6,00-0030656,4,0.0022903308175669,-0.0122448856393516
7,00-0033594,4,0.0023753636551798,-0.0121598528017387
8,00-0034109,4,0.0030664566490489,-0.0114687598078696
9,00-0035311,4,0.0031809416716412,-0.0113542747852773
10,00-0031301,4,0.0044262019218531,-0.0101090145350653
11,00-0032209,4,0.0046050694229242,-0.0099301470339942
12,00-0034367,4,0.0050173050296307,-0.0095179114272878
13,00-0034845,4,0.0052470503098127,-0.0092881661471058
14,00-0036328,3,0.00531528827845,-0.0092199281784685
15,00-0034349,3,0.0054434037006487,-0.0090918127562697
16,00-0036924,2,0.0065876614149911,-0.0079475550419274
17,00-0031590,4,0.0068242006365468,-0.0077110158203717
18,00-0036893,2,0.0068913967183241,-0.0076438197385944
19,00-0035217,4,0.0070887540987151,-0.0074464623582034
20,00-0036265,3,0.0074569762527855,-0.0070782402041329
21,00-0031285,4,0.0074697898752961,-0.0070654265816224
22,00-0031897,3,0.0076605670861069,-0.0068746493708116
23,00-0032426,3,0.0076969659338952,-0.0068382505230233
24,00-0035664,4,0.0077090553099772,-0.0068261611469413
25,00-0033308,4,0.0082208181450574,-0.0063143983118611
26,00-0036567,2,0.0084296128428013,-0.0061056036141172
27,00-0037258,1,0.0084534852670531,-0.0060817311898654
28,00-0035657,4,0.0086606092903789,-0.0058746071665396
29,00-0034331,4,0.0086903226214694,-0.0058448938354491
30,00-0032058,4,0.0087260368078827,-0.0058091796490358
31,00-0032782,4,0.0093958429789773,-0.0051393734779412
32,00-0032371,3,0.0094237934056684,-0.00511142305125
33,00-0036425,3,0.0096894701686361,-0.0048457462882824
34,00-0031391,2,0.0097741070126662,-0.0047611094442523
35,00-0036020,3,0.0100033423237438,-0.0045318741331747
36,00-0031375,4,0.0100160245227472,-0.0045191919341713
37,00-0032417,3,0.0100662638383947,-0.0044689526185238
38,00-0031569,3,0.010117987818417,-0.0044172286385015
39,00-0034838,4,0.0101735723626169,-0.0043616440943016
40,00-0033025,4,0.0101872501056919,-0.0043479663512266
41,00-0030485,3,0.0101942940691883,-0.0043409223877302
42,00-0030456,3,0.0102290175734167,-0.0043061988835018
43,00-0031939,3,0.010283185207491,-0.0042520312494275
44,00-0034378,4,0.0103443647507142,-0.0041908517062043
45,00-0036158,2,0.0103642284795654,-0.0041709879773531
46,00-0034799,4,0.0104054816753181,-0.0041297347816004
47,00-0034457,3,0.0106050703745013,-0.0039301460824172
48,00-0031577,4,0.0106829091428644,-0.0038523073140541
49,00-0033295,2,0.0107371073684713,-0.0037981090884472
50,00-0029854,3,0.0109151240646155,-0.003620092392303
51,00-0037197,1,0.0109167880969338,-0.0036184283599846
52,00-0031390,4,0.0109287379545841,-0.0036064785023344
53,00-0036414,3,0.0109498577516771,-0.0035853587052414
54,00-0030414,2,0.0110508550121538,-0.0034843614447647
55,00-0031055,4,0.0110659631739466,-0.0034692532829719
56,00-0029683,2,0.0110980162387481,-0.0034372002181703
57,00-0030432,3,0.0111498205808301,-0.0033853958760883
58,00-0032741,4,0.0112513006543786,-0.0032839158025399
59,00-0034681,4,0.0112700349942346,-0.0032651814626838
60,00-0036906,2,0.01132861223381,-0.0032066042231085
61,00-0030433,2,0.0113320321191616,-0.0032031843377568
62,00-0032411,2,0.0114062579964074,-0.0031289584605111
63,00-0033725,4,0.0114407505176824,-0.0030944659392361
64,00-0031413,2,0.0115344328170459,-0.0030007836398726
65,00-0034400,4,0.0115764577398881,-0.0029587587170303
66,00-0036383,2,0.011669312550519,-0.0028659039063995
67,00-0034679,2,0.0116820408410955,-0.002853175615823
68,00-0036370,3,0.0117627255012005,-0.002772490955718
69,00-0031057,3,0.0118033678742373,-0.0027318485826812
70,00-0030860,4,0.0120542740330101,-0.0024809424239084
71,00-0030388,2,0.0120719562737458,-0.0024632601831727
72,00-0034449,4,0.012081065873492,-0.0024541505834265
73,00-0036755,2,0.0120825927005172,-0.0024526237564013
74,00-0030280,3,0.0121491143091923,-0.0023861021477262
75,00-0035250,4,0.0121550399491086,-0.0023801765078098
76,00-0033950,4,0.0121616546652613,-0.0023735617916572
77,00-0035594,4,0.0121895382111607,-0.0023456782457578
78,00-0030705,3,0.0122519972703132,-0.0022832191866052
79,00-0030536,2,0.0122708968144389,-0.0022643196424796
80,00-0032450,4,0.0122717067825996,-0.0022635096743189
81,00-0036493,2,0.0123386744083667,-0.0021965420485518
