index,source_origin,eligible,reason,d1_train_active_n,residual_active_rb_dev_n_raw,residual_active_rb_dev_n_kept,residual_active_rb_dev_n_excluded
0,2005,False,insufficient resolved D1 training rows,0,,,
1,2006,False,insufficient resolved D1 training rows,0,,,
2,2007,False,insufficient resolved D1 training rows,0,,,
3,2008,False,insufficient resolved D1 training rows,0,,,
4,2009,True,ok_after_strict_D1_order_filter,271,60.0,60.0,0.0
5,2010,True,ok_after_strict_D1_order_filter,529,52.0,52.0,0.0
6,2011,True,ok_after_strict_D1_order_filter,786,48.0,47.0,1.0
7,2012,True,ok_after_strict_D1_order_filter,1037,51.0,49.0,2.0
8,2013,True,ok_after_strict_D1_order_filter,1295,54.0,54.0,0.0
9,2014,True,ok_after_strict_D1_order_filter,1532,52.0,52.0,0.0
10,2015,True,ok_after_strict_D1_order_filter,1784,52.0,52.0,0.0
11,2016,True,ok_after_strict_D1_order_filter,2041,53.0,53.0,0.0
12,2017,True,ok_after_strict_D1_order_filter,2292,57.0,57.0,0.0
13,2018,True,ok_after_strict_D1_order_filter,2543,70.0,70.0,0.0
