index,group,decile,u_mean,u_min,u_max,n,players,resid_mean,resid_median
0,lower,0,0.066168553301312,0.015527950310559,0.0942857142857142,12,9,-0.0242529896094848,-0.2907542048571531
1,lower,1,0.1594077211506273,0.1041666666666666,0.1994047619047619,25,24,-0.5000562444166406,-0.5824604125130324
2,lower,2,0.2461481396727439,0.205521472392638,0.2953216374269006,20,16,-0.2674368481621849,-0.441967632798227
3,lower,3,0.3532419546999639,0.306547619047619,0.3981481481481481,25,21,-0.4057574103376008,-0.3608674285101387
4,lower,4,0.4459742243827844,0.401840490797546,0.4942857142857143,24,22,-0.5080861698714835,-0.3893003706938145
5,lower,5,0.5443624225705694,0.5,0.5914285714285714,20,18,-0.6448475610958097,-0.6680056649145509
6,lower,6,0.6475928280313442,0.6203703703703703,0.6775147928994083,6,6,-0.4344806994249293,-0.5231691338254125
7,lower,7,0.753601055126027,0.7129629629629629,0.7914285714285715,14,13,-0.6452380438197933,-0.4257554804680775
8,lower,8,0.8469150896155714,0.8055555555555556,0.8926380368098159,14,14,-0.5851277932395604,-0.5910279933219398
9,lower,9,0.9343463949936296,0.908284023668639,0.9970760233918128,7,6,-0.8007766393642477,-0.6317961346668297
10,upper,0,0.0449361899004672,0.0030674846625766,0.0892857142857142,19,17,-0.1210446781259301,-0.0794030866221784
11,upper,1,0.1596709585789849,0.1080246913580246,0.1987577639751552,11,10,-0.217057180461606,-0.2733002988138597
12,upper,2,0.2456681591727845,0.2006172839506173,0.2993827160493827,15,15,-0.1184950909758732,-0.069094872358554
13,upper,3,0.3495738796942038,0.3006134969325153,0.3875739644970414,16,16,-0.0640544107030853,-0.1036504598838434
14,upper,4,0.4546645670273169,0.404320987654321,0.4970588235294118,29,28,-0.1030219992771631,-0.1664501138136187
15,upper,5,0.5476861732441624,0.5029761904761905,0.5993788819875776,29,26,0.0107708018385453,0.0249017260756803
16,upper,6,0.6562973139845548,0.6029411764705882,0.6988304093567251,45,40,-0.070150205422169,-0.0507590975753533
17,upper,7,0.7509420313428464,0.7006172839506173,0.7993827160493827,59,51,-0.0833393724498643,-0.1266340636010898
18,upper,8,0.8531053206703666,0.8005952380952381,0.8981481481481481,51,40,-0.0482528985609195,-0.0754638111515415
19,upper,9,0.9538018017086104,0.9,0.9971428571428572,78,43,0.0028304343376252,-0.0028714922373254
