index,omit_player,removed_rows,crps_gain,delta_vs_full
0,00-0032764,4,-0.5004269219294736,-0.0219981047217532
1,00-0031062,4,-0.4968548312526116,-0.0184260140448912
2,00-0032144,4,-0.4953622752937138,-0.0169334580859935
3,00-0032063,4,-0.4932140903883673,-0.0147852731806469
4,00-0031045,4,-0.4929358021345942,-0.0145069849268738
5,00-0033893,4,-0.492908352083088,-0.0144795348753676
6,00-0036997,2,-0.4914198274111003,-0.0129910102033799
7,00-0033553,4,-0.4913125037774201,-0.0128836865696997
8,00-0035261,4,-0.4912665043473829,-0.0128376871396626
9,00-0032602,4,-0.4907208948270954,-0.0122920776193751
10,00-0033293,4,-0.4897833742463428,-0.0113545570386224
11,00-0033699,4,-0.4895752838660721,-0.0111464666583517
12,00-0034844,4,-0.4894311460168296,-0.0110023288091092
13,00-0030288,3,-0.4893639158362386,-0.0109350986285182
14,00-0027966,1,-0.489302547269714,-0.0108737300619937
15,00-0032187,4,-0.4887129686171474,-0.010284151409427
16,00-0037840,1,-0.4885627498001292,-0.0101339325924089
17,00-0031806,4,-0.4878275171840999,-0.0093986999763795
18,00-0030874,4,-0.4878157438130502,-0.0093869266053299
19,00-0032241,4,-0.4871486808970861,-0.0087198636893657
20,00-0033948,4,-0.4868083743037866,-0.0083795570960663
21,00-0031687,4,-0.4866604539703611,-0.0082316367626407
22,00-0033526,4,-0.4857269826558426,-0.0072981654481222
23,00-0028064,1,-0.4852500742188783,-0.0068212570111579
24,00-0036139,2,-0.4847235354863624,-0.006294718278642
25,00-0037248,1,-0.4845919632846681,-0.0061631460769477
26,00-0033594,4,-0.4845841404806465,-0.0061553232729261
27,00-0030578,3,-0.4845813260334518,-0.0061525088257314
28,00-0034791,4,-0.4845221185443454,-0.0060933013366251
29,00-0033118,4,-0.4844519190685957,-0.0060231018608753
30,00-0034975,3,-0.4844426216977491,-0.0060138044900287
31,00-0036265,3,-0.4843795596785315,-0.0059507424708111
32,00-0033045,4,-0.4841474589535898,-0.0057186417458694
33,00-0034301,4,-0.4840971632572798,-0.0056683460495594
34,00-0036555,2,-0.4840130232407637,-0.0055842060330433
35,00-0030513,3,-0.4839813777188295,-0.0055525605111091
36,00-0029892,3,-0.4839533975012252,-0.0055245802935048
37,00-0033897,4,-0.4837940629053874,-0.005365245697667
38,00-0033856,4,-0.483683455394979,-0.0052546381872586
39,00-0030404,3,-0.4832189178192098,-0.0047901006114894
40,00-0034253,4,-0.4831801195374953,-0.0047513023297749
41,00-0032741,4,-0.4831498442973549,-0.0047210270896345
42,00-0034115,4,-0.4830558264685094,-0.004627009260789
43,00-0030107,3,-0.4830010669880472,-0.0045722497803268
44,00-0034681,4,-0.4828825473244652,-0.0044537301167448
45,00-0035657,4,-0.4825803302192073,-0.0041515130114869
46,00-0037525,1,-0.4825561298382411,-0.0041273126305207
47,00-0033906,4,-0.4825459472063457,-0.0041171299986253
48,00-0033854,3,-0.4825399975287069,-0.0041111803209866
49,00-0036275,3,-0.4822003662987301,-0.0037715490910097
50,00-0033925,3,-0.4821812371297482,-0.0037524199220278
51,00-0033923,4,-0.482144795666331,-0.0037159784586106
52,00-0034750,4,-0.4821216808591708,-0.0036928636514504
53,00-0037228,1,-0.4819324058244395,-0.0035035886167191
54,00-0036158,2,-0.4819220803941707,-0.0034932631864503
55,00-0032058,4,-0.4816758265450431,-0.0032470093373227
56,00-0036919,2,-0.4816291394146137,-0.0032003222068933
57,00-0032975,3,-0.4816200637919871,-0.0031912465842667
58,00-0030860,4,-0.481559042387801,-0.0031302251800807
59,00-0030496,3,-0.4813994761778465,-0.0029706589701261
60,00-0031959,4,-0.4813805850326537,-0.0029517678249333
61,00-0033280,4,-0.4813378898069358,-0.0029090725992155
62,00-0031102,3,-0.4812303907605528,-0.0028015735528325
63,00-0034972,4,-0.4811406571257987,-0.0027118399180783
64,00-0032918,3,-0.4811242811676957,-0.0026954639599753
65,00-0033955,3,-0.4810825413355751,-0.0026537241278547
66,00-0035243,4,-0.4809398552253958,-0.0025110380176754
67,00-0032940,4,-0.4808817328960528,-0.0024529156883325
68,00-0035831,3,-0.4808280031258241,-0.0023991859181037
69,00-0037256,1,-0.4807810633162489,-0.0023522461085285
70,00-0035250,4,-0.48073489763428,-0.0023060804265596
71,00-0036875,2,-0.480611325471774,-0.0021825082640536
72,00-0038120,1,-0.4805335383830776,-0.0021047211753573
73,00-0031285,4,-0.4804826772946884,-0.002053860086968
74,00-0032897,4,-0.4802138637101468,-0.0017850465024265
75,00-0034184,3,-0.480137198424989,-0.0017083812172686
76,00-0036414,3,-0.4801296695396116,-0.0017008523318912
77,00-0035567,3,-0.4800776902545026,-0.0016488730467822
78,00-0036251,3,-0.4800402357945674,-0.0016114185868471
79,00-0036893,2,-0.4800375526952253,-0.001608735487505
80,00-0033950,4,-0.4800222741883438,-0.0015934569806234
81,00-0035726,4,-0.4799556480884165,-0.0015268308806961
82,00-0031900,4,-0.4799555576717323,-0.001526740464012
83,00-0035973,2,-0.4799384173412971,-0.0015096001335768
84,00-0035125,4,-0.4798548428011058,-0.0014260255933854
85,00-0035664,4,-0.4798401016797081,-0.0014112844719877
86,00-0034614,2,-0.4796858080272648,-0.0012569908195444
87,00-0036727,2,-0.4796207157453309,-0.0011918985376105
88,00-0030117,3,-0.4796186606962827,-0.0011898434885623
89,00-0035860,3,-0.4796086395514993,-0.001179822343779
90,00-0032813,3,-0.479601180373895,-0.0011723631661746
91,00-0030112,2,-0.4795545601929796,-0.0011257429852593
92,00-0037563,1,-0.4793790409962065,-0.0009502237884861
93,00-0037267,1,-0.4793771539788523,-0.0009483367711319
94,00-0030465,2,-0.4793762085223287,-0.0009473913146083
95,00-0029931,2,-0.4793611188940859,-0.0009323016863655
96,00-0032257,4,-0.4793541237253549,-0.0009253065176346
97,00-0035304,4,-0.4793500968474556,-0.0009212796397353
98,00-0036223,3,-0.479349115606808,-0.0009202983990876
99,00-0029619,2,-0.4793150541962171,-0.0008862369884968
100,00-0035551,2,-0.4792596092110365,-0.0008307920033162
101,00-0034959,3,-0.4792439239188841,-0.0008151067111637
102,00-0032540,2,-0.4792360677921994,-0.0008072505844791
103,00-0031332,4,-0.4791899871761426,-0.0007611699684222
104,00-0029260,2,-0.4791818699498804,-0.00075305274216
105,00-0032375,2,-0.4791790053673215,-0.0007501881596012
106,00-0032298,2,-0.4791281643182128,-0.0006993471104925
107,00-0036984,2,-0.4790988457078903,-0.00067002850017
108,00-0031665,4,-0.4790724376973257,-0.0006436204896054
109,00-0030711,2,-0.4790672897272345,-0.0006384725195142
110,00-0029492,2,-0.4790624990075668,-0.0006336817998464
111,00-0029205,2,-0.4790548982941991,-0.0006260810864788
112,00-0035184,4,-0.4790479604257259,-0.0006191432180055
113,00-0029048,2,-0.4790315079412891,-0.0006026907335687
114,00-0033567,4,-0.4789611255385957,-0.0005323083308753
115,00-0033374,2,-0.4789369618936692,-0.0005081446859488
116,00-0037085,1,-0.4789135786020155,-0.0004847613942951
117,00-0037594,1,-0.4788930440469762,-0.0004642268392558
118,00-0038134,1,-0.4788863844863893,-0.000457567278669
119,00-0033296,4,-0.4788834542732795,-0.0004546370655592
120,00-0029626,1,-0.4788831144267576,-0.0004542972190372
121,00-0036973,1,-0.4788806813445057,-0.0004518641367853
122,00-0034311,1,-0.47887061913156,-0.0004418019238396
123,00-0035218,1,-0.4788665807230765,-0.0004377635153561
124,00-0036860,2,-0.4788514089133229,-0.0004225917056025
125,00-0035099,4,-0.4788482994225889,-0.0004194822148685
126,00-0035448,1,-0.4788467687448965,-0.0004179515371761
127,00-0037304,1,-0.4788440227526769,-0.0004152055449566
128,00-0028492,1,-0.4788309907598393,-0.000402173552119
129,00-0036774,1,-0.4788245865617261,-0.0003957693540058
130,00-0036523,1,-0.4788201201225495,-0.0003913029148291
131,00-0035760,1,-0.4788185830699812,-0.0003897658622609
132,00-0030248,1,-0.4788085952951118,-0.0003797780873914
133,00-0033049,1,-0.4788066484272051,-0.0003778312194847
134,00-0031706,1,-0.4788042586776167,-0.0003754414698963
135,00-0036457,2,-0.4788025733765178,-0.0003737561687974
136,00-0036069,2,-0.4787967736849552,-0.0003679564772349
137,00-0037276,1,-0.4787963305239967,-0.0003675133162763
138,00-0034995,2,-0.4787891921595735,-0.0003603749518531
139,00-0028202,1,-0.4787850954739902,-0.0003562782662698
140,00-0033304,1,-0.4787746851434887,-0.0003458679357683
141,00-0031493,1,-0.4787693904440113,-0.0003405732362909
142,00-0034164,4,-0.4787547325876828,-0.0003259153799625
143,00-0029068,2,-0.4787505409511621,-0.0003217237434418
144,00-0037263,1,-0.4787217468944181,-0.0002929296866977
145,00-0034440,4,-0.478701068459069,-0.0002722512513487
146,00-0035310,1,-0.4786990912611057,-0.0002702740533854
147,00-0033581,2,-0.4786976512033208,-0.0002688339956004
148,00-0036698,1,-0.4786930678956585,-0.0002642506879381
149,00-0035187,2,-0.4786856000445372,-0.0002567828368169
150,00-0030855,2,-0.4786847275496085,-0.0002559103418882
151,00-0034654,1,-0.4786802509371382,-0.0002514337294178
152,00-0036799,1,-0.4786777079831515,-0.0002488907754311
153,00-0035715,1,-0.4786402141974641,-0.0002113969897437
154,00-0031599,4,-0.4786396491532816,-0.0002108319455612
155,00-0031768,2,-0.4786156286340895,-0.0001868114263691
156,00-0032048,2,-0.4786153860953591,-0.0001865688876387
157,00-0036543,1,-0.4786099027203132,-0.0001810855125928
158,00-0029317,1,-0.4785925407245046,-0.0001637235167842
159,00-0034597,3,-0.4785807679024529,-0.0001519506947326
160,00-0035275,1,-0.4785800359009175,-0.0001512186931971
161,00-0028841,2,-0.4785674811531417,-0.0001386639454213
162,00-0030128,1,-0.4785660236773295,-0.0001372064696091
163,00-0033376,4,-0.4785594025584338,-0.0001305853507134
164,00-0034433,2,-0.4785503806854562,-0.0001215634777358
165,00-0032593,2,-0.4785311636785848,-0.0001023464708644
166,00-0030968,3,-0.4785276464406219,-9.882923290155388e-05
167,00-0028409,1,-0.4785115316552422,-8.271444752183665e-05
168,00-0036297,3,-0.4785060740222248,-7.72568145044894e-05
169,00-0031731,4,-0.4784995509462799,-7.073373855953635e-05
170,00-0028345,1,-0.47849426125019,-6.544404246972002e-05
171,00-0028795,1,-0.4784844999606361,-5.5682752915786615e-05
172,00-0035291,3,-0.4784775297175232,-4.8712509802872894e-05
173,00-0031861,1,-0.4784721948787151,-4.3377670994770856e-05
174,00-0035489,1,-0.4784553798047384,-2.6562597018053857e-05
175,00-0035957,2,-0.4784542971454923,-2.547993777202162e-05
176,00-0034509,1,-0.4784498693600985,-2.1052152378187028e-05
177,00-0036768,1,-0.4784480521565398,-1.923494881944654e-05
178,00-0034427,1,-0.4784451886439403,-1.6371436220019575e-05
179,00-0029441,1,-0.4784431811511953,-1.4363943474982044e-05
180,00-0031376,4,-0.4784403081557546,-1.1490948034265092e-05
181,00-0035427,1,-0.4784337184201447,-4.901212424357482e-06
182,00-0028581,1,-0.478423891591039,4.925616681306089e-06
183,00-0030039,1,-0.4784150232140304,1.3793993689947824e-05
184,00-0033789,2,-0.4784135822667256,1.5234940994701685e-05
185,00-0036669,2,-0.4784127515607647,1.6065646955665258e-05
186,00-0035273,4,-0.47840818810463,2.06291030903083e-05
187,00-0034565,1,-0.4784045172445182,2.4299963202134567e-05
188,00-0034414,3,-0.4783985127330847,3.0304474635589607e-05
189,00-0033373,1,-0.478382145408851,4.667179886935768e-05
190,00-0035013,1,-0.4783808175566638,4.799965105656279e-05
191,00-0028149,1,-0.4783783113282768,5.0505879443552e-05
192,00-0037557,1,-0.4783712370981763,5.758010954404202e-05
193,00-0029731,2,-0.4783691249852718,5.969222244850414e-05
194,00-0029239,2,-0.4783623129978271,6.650420989323669e-05
195,00-0037746,1,-0.4783621521240906,6.666508362968004e-05
196,00-0034578,3,-0.4783475833333615,8.123387435882146e-05
197,00-0029613,2,-0.4783390497333807,8.97674743396415e-05
198,00-0035161,1,-0.4783386557732773,9.016143444307012e-05
199,00-0031450,1,-0.4783379061859211,9.091102179925592e-05
200,00-0031793,2,-0.478322341430712,0.0001064757770082
201,00-0031531,1,-0.4783130775887951,0.0001157396189252
202,00-0037087,1,-0.4783051455188062,0.000123671688914
203,00-0035806,3,-0.4782915544035477,0.0001372628041726
204,00-0034201,2,-0.4782784484612101,0.0001503687465101
205,00-0033760,2,-0.478242527729954,0.0001862894777662
206,00-0036208,1,-0.4782317683581398,0.0001970488495804
207,00-0032804,2,-0.4782302872585298,0.0001985299491905
208,00-0031826,1,-0.4782265744855102,0.0002022427222101
209,00-0033413,1,-0.4782215918136535,0.0002072253940668
210,00-0036569,2,-0.4782083984205088,0.0002204187872115
211,00-0032122,1,-0.4782070190883278,0.0002217981193925
212,00-0031595,4,-0.4781996544490721,0.0002291627586482
213,00-0032130,3,-0.4781939072631989,0.0002349099445214
214,00-0036691,1,-0.4781882817089767,0.0002405354987436
215,00-0036278,2,-0.4781867233211845,0.0002420938865358
216,00-0034171,4,-0.4781848496823202,0.0002439675254001
217,00-0035628,4,-0.4781827921457774,0.0002460250619429
218,00-0032740,2,-0.478182237174977,0.0002465800327433
219,00-0037456,1,-0.4781748384178894,0.0002539787898309
220,00-0037157,1,-0.4781745982007447,0.0002542190069756
221,00-0035912,1,-0.4781670386004034,0.0002617786073169
222,00-0037429,1,-0.4781607446855954,0.0002680725221249
223,00-0036328,3,-0.4781433887012986,0.0002854285064217
224,00-0038098,1,-0.478130060525219,0.0002987566825012
225,00-0035835,2,-0.4781246689199198,0.0003041482878005
226,00-0029615,2,-0.4781158417667801,0.0003129754409402
227,00-0029729,2,-0.4781115520296111,0.0003172651781092
228,00-0031746,1,-0.4781067374961582,0.0003220797115621
229,00-0036842,2,-0.4780989231677119,0.0003298940400083
230,00-0033719,1,-0.4780753220999432,0.0003534951077771
