index,origin,group,train_active_n,train_unique_players_upper_bound,min_state_train_n,min_state_unique_players,min_state_source_years
0,2014,upper,233,156,64,46,6
1,2014,lower,87,70,38,31,6
2,2015,upper,270,181,74,51,7
3,2015,lower,98,80,43,35,7
4,2016,upper,304,202,86,55,8
5,2016,lower,115,96,50,41,8
6,2017,upper,342,231,101,59,9
7,2017,lower,131,110,60,50,9
8,2018,upper,381,255,115,66,10
9,2018,lower,144,120,63,53,10
10,2019,upper,416,280,125,72,11
11,2019,lower,161,137,71,61,11
12,2020,upper,449,299,135,76,12
13,2020,lower,181,156,81,70,12
14,2021,upper,489,325,145,84,13
15,2021,lower,198,171,86,74,13
16,2022,upper,539,354,158,91,14
17,2022,lower,218,185,93,81,14
