index,target_state,mag_slice,n,unique_players,realized_points_mean,d1_state_points_mean,log1p_resid_mean,log1p_resid_sd
0,depth,p0_50,52,39,2.511538461538461,4.944519790623394,-0.4457976940278398,0.9262853114851506
1,depth,p50_75,11,11,2.118181818181818,5.34470628467472,-0.7006044847274969,0.5110345441911566
2,depth,p75_90,8,8,2.9125,7.832890408024485,-0.8799808903033681,0.608734308111731
3,depth,p90_100,2,2,3.05,11.344033821793357,-1.11136760548162,0.0951082732811041
4,elite,p0_50,12,12,164.4,165.34058002350127,-0.0238855372433844,0.2057231133782266
5,elite,p50_75,21,21,185.9142857142857,176.1480369686748,0.0099533714731219,0.2968729521687874
6,elite,p75_90,35,25,183.8982857142857,182.28908270478425,-0.0305666002008173,0.2782405788208394
7,elite,p90_100,50,33,199.0616,188.77301001838856,0.0240469861150348,0.234167688975476
8,premium,p0_50,30,27,72.82666666666667,73.80306555340209,-0.0484190871736358,0.2759907494566899
9,premium,p50_75,45,39,77.01333333333334,77.88825309112113,-0.0474733867971504,0.2810583272446169
10,premium,p75_90,31,26,75.21935483870968,80.41600950344584,-0.1063547094550666,0.2834314349194948
11,premium,p90_100,21,17,87.60000000000001,82.35823218461226,0.0309781242176871,0.2494926917050831
12,starter,p0_50,48,40,26.379583333333333,30.609120099665976,-0.1820461192138718,0.2966906557148091
13,starter,p50_75,36,31,29.09722222222222,30.282917108473004,-0.0738407152626264,0.309524560611189
14,starter,p75_90,16,16,31.69375,33.406562995349645,-0.0793720273313905,0.2698341218036006
15,starter,p90_100,7,7,27.385714285714283,33.931695223894955,-0.2331594337126292,0.2824202172588918
16,usable,p0_50,54,42,10.05185185185185,14.142921219152257,-0.3203278184237311,0.4608608029367798
17,usable,p50_75,20,18,8.879999999999999,15.748951876564954,-0.5402786656971927,0.3903558368199746
18,usable,p75_90,15,15,10.678666666666668,17.465087115774928,-0.4784591579282304,0.2411110400194087
19,usable,p90_100,5,5,9.98,20.656805569131187,-0.6765402529172986,0.1274967734133201
