index,state,origin,n,unique_players,pct_span,slope,mean_log1p_resid
0,depth,2014,3,3,0.75,,-0.6006410853144769
1,depth,2015,8,8,0.7222222222222221,-0.9104759329097016,-0.7111763610793109
2,depth,2016,10,10,0.8911764705882355,-1.4274407539815477,-0.2317502947042772
3,depth,2017,5,5,0.3148148148148149,1.7594804078992476,-0.2542300424840596
4,depth,2018,7,7,0.4355828220858895,2.2205568475509767,-0.8407564366687977
5,depth,2019,10,10,0.7391304347826088,-3.016610088658993,-0.695461225024504
6,depth,2020,11,11,0.6804733727810651,-0.6776589377546657,-0.3424566323160554
7,depth,2021,13,13,0.7485714285714287,-0.6217811619513424,-0.6997380400222682
8,depth,2022,6,6,0.761904761904762,-0.316170638166323,-0.5611999446844357
9,usable,2014,10,10,0.8580246913580247,0.008393787502563,-0.4472207488271744
10,usable,2015,9,9,0.9269005847953216,-0.4297112723379657,-0.404216231062132
11,usable,2016,10,10,0.7676470588235296,-0.2076652397672889,-0.5161911604174333
12,usable,2017,12,12,0.7901234567901235,-0.3750144831409651,-0.4093113086089491
13,usable,2018,13,13,0.8588957055214724,-1.5135331803417489,-0.2211490024747881
14,usable,2019,9,9,0.5248447204968945,0.7876827656476818,-0.4196487146105629
15,usable,2020,10,10,0.6242603550295858,-0.1899357768731088,-0.4116370080510068
16,usable,2021,6,6,0.6285714285714287,-0.5980025217827184,-0.3654765660531122
17,usable,2022,15,15,0.8214285714285714,-0.2359717204716208,-0.5012038884351051
18,starter,2014,14,14,0.8580246913580246,0.4010311387045367,-0.1820003114885962
19,starter,2015,10,10,0.6052631578947368,0.3547526695381433,0.0464554259540218
20,starter,2016,10,10,0.4352941176470589,-0.1498559579393317,-0.1319394072344765
21,starter,2017,10,10,0.8950617283950618,-0.1141878968869212,-0.2119020803477439
22,starter,2018,13,13,0.932515337423313,0.3764148850955762,-0.0734659980139548
23,starter,2019,17,17,0.8416149068322981,0.6062781836498603,-0.0226172957922588
24,starter,2020,15,15,0.9644970414201184,-0.1428448514805695,-0.1901308140389527
25,starter,2021,9,9,0.4771428571428572,-0.3849020632931848,-0.1495298388143557
26,starter,2022,9,9,0.8541666666666666,0.191567405959076,-0.3599333561472679
27,premium,2014,13,13,0.8919753086419753,-0.2910639086791174,-0.0706186394328929
28,premium,2015,17,17,0.9502923976608189,0.2303753567197316,-0.0509890847987135
29,premium,2016,11,11,0.911764705882353,0.4753661759169018,0.0252197204347921
30,premium,2017,16,16,0.7345679012345678,-0.2030189116068562,0.023874261768845
31,premium,2018,23,23,0.98159509202454,0.0505602867183352,-0.0886619232648425
32,premium,2019,11,11,0.8354037267080744,-0.4905281329817874,-0.1029748635190165
33,premium,2020,14,14,0.8106508875739646,-0.0054223849628,-0.0470862123139599
34,premium,2021,10,10,0.8942857142857142,-0.1685675345558296,-0.0752402774415356
35,premium,2022,12,12,0.369047619047619,1.2409974848433605,-0.0438601069903014
36,elite,2014,12,12,0.7901234567901234,0.2924024105125598,-0.1436150314047553
37,elite,2015,8,8,0.3801169590643275,0.1325763050404205,-0.0362349485609844
38,elite,2016,12,12,0.976470588235294,-0.2570306648344987,-0.09990621212026
39,elite,2017,14,14,0.7839506172839507,0.2082035616682955,0.0227660225095387
40,elite,2018,14,14,0.6073619631901841,0.5187443310204759,0.0067002630086078
41,elite,2019,19,19,0.422360248447205,0.7470994662810904,0.0837527985589928
42,elite,2020,14,14,0.7544378698224854,-0.57154103597419,-0.0382916681248544
43,elite,2021,9,9,0.2171428571428572,,0.0993613471259221
44,elite,2022,16,16,0.9404761904761908,-0.2424537774277856,0.0565654514541182
