index,origin,state,eval_n,eval_unique_players,pct_min,pct_max,train_active_n,train_unique_players,train_source_years,train_pct_min,train_pct_max
0,2014,depth,3,3,0.1172839506172839,0.8672839506172839,38,31,6,0.0520231213872832,0.9023668639053254
1,2014,usable,10,10,0.0833333333333333,0.941358024691358,49,39,6,0.002906976744186,0.9628571428571427
2,2014,starter,14,14,0.1080246913580246,0.9660493827160492,64,46,6,0.0228571428571428,0.9563953488372092
3,2014,premium,13,13,0.0246913580246913,0.9166666666666666,83,63,6,0.0201149425287356,0.9969325153374232
4,2014,elite,12,12,0.2067901234567901,0.9969135802469136,86,47,6,0.0398773006134969,0.9971428571428572
5,2015,depth,8,8,0.1988304093567251,0.9210526315789472,43,35,7,0.0520231213872832,0.9023668639053254
6,2015,usable,9,9,0.0701754385964912,0.9970760233918128,55,45,7,0.002906976744186,0.9628571428571427
7,2015,starter,10,10,0.0350877192982456,0.6403508771929824,74,55,7,0.0228571428571428,0.9563953488372092
8,2015,premium,17,17,0.0350877192982456,0.9853801169590644,101,75,7,0.0201149425287356,0.9969325153374232
9,2015,elite,8,8,0.5935672514619883,0.9736842105263158,95,51,7,0.0398773006134969,0.9971428571428572
10,2016,depth,10,10,0.0470588235294117,0.9382352941176472,50,41,8,0.0088235294117647,0.9023668639053254
11,2016,usable,10,10,0.1411764705882353,0.9088235294117648,65,55,8,0.002906976744186,0.9628571428571427
12,2016,starter,10,10,0.3323529411764706,0.7676470588235295,86,64,8,0.0228571428571428,0.9563953488372092
13,2016,premium,11,11,0.0852941176470588,0.9970588235294118,114,83,8,0.0201149425287356,0.9969325153374232
14,2016,elite,12,12,0.0147058823529411,0.9911764705882352,104,55,8,0.0398773006134969,0.9971428571428572
15,2017,depth,5,5,0.0462962962962962,0.3611111111111111,60,50,9,0.0088235294117647,0.9131736526946108
16,2017,usable,12,12,0.0771604938271604,0.8672839506172839,71,60,9,0.002906976744186,0.9628571428571427
17,2017,starter,10,10,0.0462962962962962,0.941358024691358,101,78,9,0.0228571428571428,0.9610778443113772
18,2017,premium,16,16,0.2191358024691358,0.9537037037037036,128,94,9,0.0029940119760479,0.9969325153374232
19,2017,elite,14,14,0.2129629629629629,0.9969135802469136,113,59,9,0.0389221556886227,0.9971428571428572
20,2018,depth,7,7,0.3159509202453988,0.7515337423312883,63,53,10,0.0088235294117647,0.9131736526946108
21,2018,usable,13,13,0.0337423312883435,0.8926380368098159,81,67,10,0.002906976744186,0.9628571428571427
22,2018,starter,13,13,0.0030674846625766,0.9355828220858896,115,87,10,0.0228571428571428,0.9660493827160492
23,2018,premium,23,23,0.00920245398773,0.99079754601227,141,102,10,0.0029940119760479,0.9969325153374232
24,2018,elite,14,14,0.3711656441717791,0.9785276073619632,125,66,10,0.0389221556886227,0.9971428571428572
25,2019,depth,10,10,0.015527950310559,0.7546583850931677,71,61,11,0.0088235294117647,0.9210526315789472
26,2019,usable,9,9,0.3571428571428571,0.8819875776397516,90,76,11,0.002906976744186,0.9970760233918128
27,2019,starter,17,17,0.0496894409937888,0.8913043478260869,125,96,11,0.0228571428571428,0.9660493827160492
28,2019,premium,11,11,0.0683229813664596,0.903726708074534,158,112,11,0.0029940119760479,0.9969325153374232
29,2019,elite,19,19,0.5745341614906833,0.9968944099378882,133,72,11,0.0389221556886227,0.9971428571428572
30,2020,depth,11,11,0.0917159763313609,0.772189349112426,81,70,12,0.0088235294117647,0.9382352941176472
31,2020,usable,10,10,0.2840236686390532,0.908284023668639,100,86,12,0.002906976744186,0.9970760233918128
32,2020,starter,15,15,0.0207100591715976,0.985207100591716,135,104,12,0.0228571428571428,0.9660493827160492
33,2020,premium,14,14,0.1627218934911242,0.9733727810650888,169,119,12,0.0029940119760479,0.9970588235294118
34,2020,elite,14,14,0.2366863905325443,0.9911242603550297,145,76,12,0.0147058823529411,0.9971428571428572
35,2021,depth,13,13,0.0942857142857142,0.8428571428571429,86,74,13,0.0088235294117647,0.9382352941176472
36,2021,usable,6,6,0.1628571428571428,0.7914285714285715,112,97,13,0.002906976744186,0.9970760233918128
37,2021,starter,9,9,0.3542857142857142,0.8314285714285714,145,112,13,0.0228571428571428,0.9660493827160492
38,2021,premium,10,10,0.0685714285714285,0.9628571428571427,185,129,13,0.0029940119760479,0.9970588235294118
39,2021,elite,9,9,0.78,0.9971428571428572,159,84,13,0.0147058823529411,0.9971428571428572
40,2022,depth,6,6,0.0744047619047619,0.8363095238095238,93,81,14,0.0088235294117647,0.9382352941176472
41,2022,usable,15,15,0.1041666666666666,0.925595238095238,125,104,14,0.002906976744186,0.9970760233918128
42,2022,starter,9,9,0.0892857142857142,0.9434523809523808,158,120,14,0.0030674846625766,0.9660493827160492
43,2022,premium,12,12,0.5029761904761905,0.8720238095238095,208,143,14,0.0029940119760479,0.9970588235294118
44,2022,elite,16,16,0.056547619047619,0.9970238095238096,173,91,14,0.0147058823529411,0.9971428571428572
