index,cohort,horizon,loss_scenario,n,mean_weighted_loss,mean_underprediction,mean_overprediction,under_share_of_unweighted_abs_error,downgrade_rate,productive_realized_rate,collapse_realized_rate,false_downgrade_n,false_downgrade_rate_among_productive,missed_collapse_n,missed_collapse_rate_among_collapse,false_downgrade_severity,missed_collapse_severity
0,selection_top10_all,2,symmetric,115,0.3150158349775543,0.1478297479347007,0.1671860870428537,0.4692771966375403,,,,,,,,,
1,selection_top10_all,2,undervaluation_2x,115,0.4628455829122552,0.1478297479347007,0.1671860870428537,0.4692771966375403,,,,,,,,,
2,selection_top10_all,2,overvaluation_2x,115,0.4822019220204082,0.1478297479347007,0.1671860870428537,0.4692771966375403,,,,,,,,,
3,selection_top10_all,2,threshold_0.60_action_proxy,115,,,,,0.3478260869565217,0.4260869565217391,0.3304347826086956,13.0,0.2653061224489796,23.0,0.6052631578947368,3.509349043159096,9.552875711624052
4,selection_top10_all,3,symmetric,115,0.3379017277361927,0.1710942804615579,0.1668074472746348,0.5063433135066269,,,,,,,,,
5,selection_top10_all,3,undervaluation_2x,115,0.5089960081977506,0.1710942804615579,0.1668074472746348,0.5063433135066269,,,,,,,,,
6,selection_top10_all,3,overvaluation_2x,115,0.5047091750108277,0.1710942804615579,0.1668074472746348,0.5063433135066269,,,,,,,,,
7,selection_top10_all,3,threshold_0.60_action_proxy,115,,,,,0.7739130434782608,0.3217391304347826,0.4521739130434782,25.0,0.6756756756756757,10.0,0.1923076923076923,8.064402831453126,5.140009683265981
8,selection_top10_developmental,2,symmetric,79,0.3123076217803963,0.1695389105954188,0.1427687111849774,0.5428587033160293,,,,,,,,,
9,selection_top10_developmental,2,undervaluation_2x,79,0.4818465323758151,0.1695389105954188,0.1427687111849774,0.5428587033160293,,,,,,,,,
10,selection_top10_developmental,2,overvaluation_2x,79,0.4550763329653737,0.1695389105954188,0.1427687111849774,0.5428587033160293,,,,,,,,,
11,selection_top10_developmental,2,threshold_0.60_action_proxy,79,,,,,0.2911392405063291,0.5063291139240507,0.2278481012658227,10.0,0.25,14.0,0.7777777777777778,2.5541570674963,5.613929232948788
12,selection_top10_developmental,3,symmetric,79,0.3550660469977197,0.2039269476126156,0.1511390993851041,0.5743352520944512,,,,,,,,,
13,selection_top10_developmental,3,undervaluation_2x,79,0.5589929946103355,0.2039269476126156,0.1511390993851041,0.5743352520944512,,,,,,,,,
14,selection_top10_developmental,3,overvaluation_2x,79,0.506205146382824,0.2039269476126156,0.1511390993851041,0.5743352520944512,,,,,,,,,
15,selection_top10_developmental,3,threshold_0.60_action_proxy,79,,,,,0.7088607594936709,0.4177215189873418,0.3291139240506329,23.0,0.696969696969697,9.0,0.3461538461538461,7.426692996519587,4.540009683265981
16,selection_top10_established,2,symmetric,33,0.3254182056094609,0.0963192214075657,0.2290989842018951,0.2959859643598424,,,,,,,,,
17,selection_top10_established,2,undervaluation_2x,33,0.4217374270170266,0.0963192214075657,0.2290989842018951,0.2959859643598424,,,,,,,,,
18,selection_top10_established,2,overvaluation_2x,33,0.554517189811356,0.0963192214075657,0.2290989842018951,0.2959859643598424,,,,,,,,,
19,selection_top10_established,2,threshold_0.60_action_proxy,33,,,,,0.4242424242424242,0.2424242424242424,0.5757575757575758,2.0,0.25,9.0,0.4736842105263157,0.6567639224584423,3.938946478675265
20,selection_top10_established,3,symmetric,33,0.3032791162009549,0.0865921527124018,0.216686963488553,0.2855196684727388,,,,,,,,,
21,selection_top10_established,3,undervaluation_2x,33,0.3898712689133568,0.0865921527124018,0.216686963488553,0.2855196684727388,,,,,,,,,
22,selection_top10_established,3,overvaluation_2x,33,0.519966079689508,0.0865921527124018,0.216686963488553,0.2855196684727388,,,,,,,,,
23,selection_top10_established,3,threshold_0.60_action_proxy,33,,,,,0.9090909090909092,0.1212121212121212,0.7575757575757576,2.0,0.5,1.0,0.04,0.6377098349335385,0.6
24,oot_top10_all,2,symmetric,35,0.3096433727669144,0.1331713733460245,0.1764719994208899,0.4300798436473237,,,,,,,,,
25,oot_top10_all,2,undervaluation_2x,35,0.442814746112939,0.1331713733460245,0.1764719994208899,0.4300798436473237,,,,,,,,,
26,oot_top10_all,2,overvaluation_2x,35,0.4861153721878042,0.1331713733460245,0.1764719994208899,0.4300798436473237,,,,,,,,,
27,oot_top10_all,2,threshold_0.60_action_proxy,35,,,,,0.4857142857142857,0.4571428571428571,0.3714285714285714,7.0,0.4375,5.0,0.3846153846153846,2.719773573668249,2.338215724535467
28,oot_top10_all,3,symmetric,35,0.4111098718060009,0.2561153780427765,0.1549944937632243,0.6229852300010813,,,,,,,,,
29,oot_top10_all,3,undervaluation_2x,35,0.6672252498487774,0.2561153780427765,0.1549944937632243,0.6229852300010813,,,,,,,,,
30,oot_top10_all,3,overvaluation_2x,35,0.5661043655692255,0.2561153780427765,0.1549944937632243,0.6229852300010813,,,,,,,,,
31,oot_top10_all,3,threshold_0.60_action_proxy,35,,,,,0.8571428571428571,0.4285714285714285,0.4571428571428571,13.0,0.8666666666666667,1.0,0.0625,5.245920892968857,0.554123546356556
32,oot_top10_developmental,2,symmetric,14,0.2196631007650942,0.0791988108300071,0.1404642899350871,0.3605467215665941,,,,,,,,,
33,oot_top10_developmental,2,undervaluation_2x,14,0.2988619115951014,0.0791988108300071,0.1404642899350871,0.3605467215665941,,,,,,,,,
34,oot_top10_developmental,2,overvaluation_2x,14,0.3601273907001813,0.0791988108300071,0.1404642899350871,0.3605467215665941,,,,,,,,,
35,oot_top10_developmental,2,threshold_0.60_action_proxy,14,,,,,0.2857142857142857,0.5714285714285714,0.2142857142857142,2.0,0.25,2.0,0.6666666666666666,0.4644229876804672,1.0196855142074497
36,oot_top10_developmental,3,symmetric,14,0.3591285292336811,0.2324077558314838,0.1267207734021974,0.6471436739581847,,,,,,,,,
37,oot_top10_developmental,3,undervaluation_2x,14,0.591536285065165,0.2324077558314838,0.1267207734021974,0.6471436739581847,,,,,,,,,
38,oot_top10_developmental,3,overvaluation_2x,14,0.4858493026358786,0.2324077558314838,0.1267207734021974,0.6471436739581847,,,,,,,,,
39,oot_top10_developmental,3,threshold_0.60_action_proxy,14,,,,,0.6428571428571429,0.5,0.2857142857142857,5.0,0.7142857142857143,1.0,0.25,1.2720023400937572,0.554123546356556
40,oot_top10_established,2,symmetric,21,0.3696302207681279,0.1691530816900361,0.2004771390780918,0.4576278458469099,,,,,,,,,
41,oot_top10_established,2,undervaluation_2x,21,0.5387833024581641,0.1691530816900361,0.2004771390780918,0.4576278458469099,,,,,,,,,
42,oot_top10_established,2,overvaluation_2x,21,0.5701073598462197,0.1691530816900361,0.2004771390780918,0.4576278458469099,,,,,,,,,
43,oot_top10_established,2,threshold_0.60_action_proxy,21,,,,,0.6190476190476191,0.3809523809523809,0.4761904761904761,5.0,0.625,3.0,0.3,2.255350585987782,1.3185302103280176
44,oot_top10_established,3,symmetric,21,0.4457641001875475,0.2719204595169717,0.1738436406705756,0.6100097773745484,,,,,,,,,
45,oot_top10_established,3,undervaluation_2x,21,0.717684559704519,0.2719204595169717,0.1738436406705756,0.6100097773745484,,,,,,,,,
46,oot_top10_established,3,overvaluation_2x,21,0.6196077408581232,0.2719204595169717,0.1738436406705756,0.6100097773745484,,,,,,,,,
47,oot_top10_established,3,threshold_0.60_action_proxy,21,,,,,1.0,0.3809523809523809,0.5714285714285714,8.0,1.0,0.0,0.0,3.9739185528751,0.0
