index,stage,horizon,band,n,active_n,source_points_median,inactive_share,active_ret_median,active_ret_mean,active_lt_0_40,active_0_40_to_0_60,active_ge_0_60,premium_elite_share_all,p0_conditional_ret_median_active
0,all,2,low,39,37,170.7,0.0512820512820512,0.5459871118922086,0.6782264551465274,0.2972972972972973,0.2162162162162162,0.4864864864864865,0.7692307692307693,0.7882626591212494
1,all,2,mid,37,35,197.1,0.054054054054054,0.7380254154447703,0.7243855396236002,0.2571428571428571,0.1714285714285714,0.5714285714285714,0.8378378378378378,0.7469348113164659
2,all,2,high,39,36,253.4,0.0769230769230769,0.6218091380187953,0.5859414792056195,0.3055555555555556,0.1388888888888889,0.5555555555555556,0.8205128205128205,0.5859214323287447
3,all,3,low,39,29,170.7,0.2564102564102564,0.5117508813160987,0.5623495023324311,0.3793103448275862,0.2068965517241379,0.4137931034482758,0.5128205128205128,0.7022099987435282
4,all,3,mid,37,32,197.1,0.1351351351351351,0.5366439185890206,0.596059097863615,0.34375,0.1875,0.46875,0.6756756756756757,0.6439381187202341
5,all,3,high,39,35,253.4,0.1025641025641025,0.6390666164847573,0.6109028830335156,0.3142857142857143,0.1142857142857142,0.5714285714285714,0.7948717948717948,0.5170707985650727
6,developmental,2,low,28,28,174.0,0.0,0.6857254286709702,0.701078646144641,0.2142857142857142,0.2142857142857142,0.5714285714285714,0.8214285714285714,0.7890362180887007
7,developmental,2,mid,25,25,202.3,0.0,0.7822616407982262,0.8268864800822878,0.2,0.16,0.64,0.96,0.7469348113164659
8,developmental,2,high,26,25,273.0,0.0384615384615384,0.6510212950890918,0.5817496857322868,0.24,0.16,0.6,0.8461538461538461,0.5992784841553597
9,developmental,3,low,28,24,174.0,0.1428571428571428,0.5842096165629779,0.645491795788763,0.3333333333333333,0.1666666666666666,0.5,0.6785714285714286,0.7117809057421653
10,developmental,3,mid,25,23,202.3,0.08,0.6251137397634213,0.6690137825872118,0.217391304347826,0.2608695652173913,0.5217391304347826,0.76,0.6410564792458606
11,developmental,3,high,26,25,273.0,0.0384615384615384,0.6980234260614934,0.6426463339970033,0.24,0.12,0.64,0.8461538461538461,0.5202401147115076
12,established,2,low,11,9,165.7,0.1818181818181818,0.5058072009291521,0.6093019845668013,0.4444444444444444,0.1111111111111111,0.4444444444444444,0.5454545454545454,0.7882626591212494
13,established,2,mid,11,10,190.6,0.0909090909090909,0.4234661421820636,0.5297558185028833,0.5,0.2,0.3,0.7272727272727273,0.6941713466125102
14,established,2,high,11,9,244.8,0.1818181818181818,0.37960088691796,0.5014645496797259,0.5555555555555556,0.1111111111111111,0.3333333333333333,0.7272727272727273,0.5546698450338564
15,established,3,low,11,6,165.7,0.4545454545454545,0.13531695091387,0.2817467729961031,0.6666666666666666,0.0,0.3333333333333333,0.1818181818181818,0.7153681731514285
16,established,3,mid,11,8,190.6,0.2727272727272727,0.2900727107079265,0.4778858666000713,0.625,0.0,0.375,0.4545454545454545,0.6052542119948275
17,established,3,high,11,8,244.8,0.2727272727272727,0.3686441135502262,0.4128154477463212,0.625,0.125,0.25,0.6363636363636364,0.4556692514795654
