index,window,stage,horizon,state,n,share_all,mean_target_points,median_target_points,mean_retention,median_retention
0,selection,all,2,out,7,0.0608695652173913,-0.0285714285714285,0.0,-0.0001724286576429,0.0
1,selection,all,2,depth,1,0.008695652173913,1.4,1.4,0.0079455164585698,0.0079455164585698
2,selection,all,2,usable,9,0.0782608695652174,11.033333333333337,11.4,0.0571482145154209,0.0544069640914037
3,selection,all,2,starter,5,0.0434782608695652,38.16,38.8,0.1946696088265741,0.2107298211696471
4,selection,all,2,premium,32,0.2782608695652174,82.146875,83.6,0.427345860163202,0.3956091373987529
5,selection,all,2,elite,61,0.5304347826086957,195.595737704918,179.0,0.9241159174130678,0.8443620963472737
6,selection,all,3,out,19,0.1652173913043478,0.0,0.0,0.0,0.0
7,selection,all,3,depth,5,0.0434782608695652,2.3,3.0,0.0135007256223596,0.0153217568947906
8,selection,all,3,usable,5,0.0434782608695652,10.9,9.7,0.0569101519253376,0.0627831715210355
9,selection,all,3,starter,10,0.0869565217391304,29.020000000000003,29.1,0.1471434252374233,0.1351849446659312
10,selection,all,3,premium,27,0.2347826086956521,83.43333333333332,88.4,0.4143044961749784,0.4049318624269954
11,selection,all,3,elite,49,0.4260869565217391,196.1559183673469,190.7,0.8929370932369816,0.8216195273149941
12,selection,developmental,2,out,1,0.0126582278481012,0.0,0.0,0.0,0.0
13,selection,developmental,2,depth,0,0.0,,,,
14,selection,developmental,2,usable,6,0.0759493670886076,11.4,10.75,0.0610471851737277,0.0600718940726825
15,selection,developmental,2,starter,3,0.0379746835443038,39.86666666666667,38.8,0.1998003972069409,0.2165474974463738
16,selection,developmental,2,premium,20,0.2531645569620253,84.105,84.05,0.4448977424561492,0.4589896143505261
17,selection,developmental,2,elite,49,0.620253164556962,198.34448979591835,186.7,0.918009532359758,0.8316831683168315
18,selection,developmental,3,out,7,0.0886075949367088,0.0,0.0,0.0,0.0
19,selection,developmental,3,depth,2,0.0253164556962025,3.05,3.05,0.0172703018819892,0.0172703018819892
20,selection,developmental,3,usable,4,0.050632911392405,10.325,9.5,0.0553934150975117,0.0586164101164896
21,selection,developmental,3,starter,6,0.0759493670886076,28.5,29.1,0.1405168681958081,0.1314834554658802
22,selection,developmental,3,premium,18,0.2278481012658227,87.77777777777777,91.2,0.4342583476073467,0.4511793480562306
23,selection,developmental,3,elite,42,0.5316455696202531,199.587619047619,191.1,0.9054622075738132,0.8474170688338949
24,selection,established,2,out,5,0.1515151515151515,-0.04,0.0,-0.0002414001207,0.0
25,selection,established,2,depth,1,0.0303030303030303,1.4,1.4,0.0079455164585698,0.0079455164585698
26,selection,established,2,usable,3,0.0909090909090909,10.3,11.4,0.0493502731988074,0.0519598906107566
27,selection,established,2,starter,2,0.0606060606060606,35.6,35.6,0.186973426256024,0.186973426256024
28,selection,established,2,premium,11,0.3333333333333333,77.81818181818183,78.5,0.3885761801196277,0.37960088691796
29,selection,established,2,elite,11,0.3333333333333333,187.6236363636364,169.8,0.953652347578603,0.8899464604402142
30,selection,established,3,out,11,0.3333333333333333,0.0,0.0,0.0,0.0
31,selection,established,3,depth,3,0.0909090909090909,1.8,1.7,0.0109876747826065,0.0111989459815546
32,selection,established,3,usable,1,0.0303030303030303,13.2,13.2,0.0629770992366412,0.0629770992366412
33,selection,established,3,starter,4,0.1212121212121212,29.8,28.65,0.1570832607998461,0.1374834708458401
34,selection,established,3,premium,7,0.2121212121212121,71.45714285714287,63.0,0.3381875907788535,0.3513513513513513
