index,position,horizon,career_stage,source_pct_cutoff,n,active_n,median_source_points,median_p_active,median_pred_cond_points,median_pred_retention,median_realized_active_retention,mean_active_retention_bias,median_active_retention_bias,median_elite_share_cond_active,median_prem_elite_share_cond_active
0,QB,2,developmental,0.75,57,54,305.56,0.9504305338755448,241.28601248131565,0.7589348297035264,0.8537258879059472,-0.0914966603146799,-0.1236431045624026,0.8295214457361927,0.943152147253204
1,QB,2,developmental,0.9,27,26,346.78,0.9526549221650124,249.10751401877616,0.7126921494653902,0.8582871360376997,-0.1122610329317082,-0.1549560732689648,0.8754040374801372,0.9536755342259724
2,QB,2,developmental,0.95,13,13,384.9,0.9547483890071504,258.1732253226026,0.6845556718028253,0.8928737125359562,-0.2038706668349737,-0.2492568345495742,0.9017468755070244,0.961809885937436
3,QB,2,established,0.75,48,47,287.52,0.9391931018706,228.50271474290983,0.7673631747423639,0.8135678391959799,0.0118516552636919,-0.0691891372076747,0.785226336950659,0.91857749729093
4,QB,2,established,0.9,18,17,342.58000000000004,0.9491808178379448,254.9997797470737,0.7147785840666714,0.7747402189831928,0.0051708422543345,-0.0342039515866618,0.8851191475642652,0.9542077072259408
5,QB,2,established,0.95,8,8,372.79,0.952625350813969,276.081850910536,0.7147785840666714,0.7782108982153104,-0.0039313152924298,-0.0900282605151217,0.9081039161476938,0.9598863975749904
6,QB,2,veteran,0.75,55,46,290.44,0.8647070872496043,229.1372882356018,0.7325839201117158,0.8381520123988084,-0.0776079563280839,-0.1028439370278655,0.7638989606955211,0.9017636977626148
7,QB,2,veteran,0.9,20,16,328.49,0.877257253094945,236.6479158573009,0.7191637953325911,0.8442284006726037,-0.1098019823792812,-0.1279551159894801,0.8227548533658601,0.9191652739572392
8,QB,2,veteran,0.95,10,8,361.41,0.8555368382269763,236.6479158573009,0.6674529914222693,0.8433792634283038,-0.1712856924975406,-0.1488310799864049,0.8020154837311364,0.9191652739572392
9,QB,3,developmental,0.75,57,51,305.56,0.9318788384690584,223.8797810082211,0.7089305675826566,0.8016183898567157,-0.0739235173910765,-0.1557221781366227,0.8006329785599846,0.9081697727105495
