index,position,horizon,career_stage,route,n,active_n,forecast_conditional_elasticity_loglog,realized_active_elasticity_loglog,elasticity_gap_forecast_minus_realized,conditional_retention_bias_vs_source_percentile_slope,origin_bias_slope_n,origin_bias_slope_median,origin_bias_negative_share
0,QB,2,developmental,D1,265,170,0.3992555148716565,0.6576854185900025,-0.258429903718346,6.978901232788846,9,-2.2789533742043324,0.5555555555555556
1,QB,2,established,D1,199,146,0.4382454636515777,0.5049266588809392,-0.0666811952293615,30.68360894893525,7,-4.717271046054042,0.5714285714285714
2,QB,2,veteran,D1,173,103,0.4947047030585135,0.8361014571480176,-0.3413967540895041,-12.131234910487697,5,-3.057977816123323,0.8
3,QB,3,developmental,D1,265,161,0.2766414673343983,0.5311230086149136,-0.2544815412805152,-36.028602173499856,9,-40.083509197509066,0.6666666666666666
4,QB,3,established,D1,199,123,0.3144275759860588,0.5572236469617633,-0.2427960709757044,-19.36324306191256,7,-7.484807924940976,0.8571428571428571
5,QB,3,veteran,D1,173,83,0.3389734563362312,0.6786269697951042,-0.3396535134588729,-2.435526287405213,2,-11.6750239548517,1.0
6,RB,2,developmental,D1,986,639,0.4293804800774656,0.5691778427687271,-0.1397973626912614,1.466663970132407,9,1.7891119697327709,0.4444444444444444
7,RB,2,established,D1,454,214,0.5595992329708698,0.5304196753072723,0.0291795576635974,4.045480830685297,9,-0.6544822907001535,0.5555555555555556
8,RB,2,veteran,D1,61,21,0.5603988939416696,0.5456675594536604,0.0147313344880092,4.36245851751902,0,,
9,RB,3,developmental,D1,986,519,0.3102769981130613,0.5108524770696554,-0.2005754789565941,1.034868763573753,9,-2.0156361629513144,0.6666666666666666
10,RB,3,established,D1,454,138,0.4291648232754808,0.5323981428146303,-0.1032333195391494,-0.1754118314919835,8,-0.6388992098230133,0.625
11,RB,3,veteran,D0,61,11,0.9856682627335616,-0.2494766397231106,1.235144902456672,17.615968222359967,0,,
12,TE,2,developmental,D1,636,420,0.368962159210225,0.5012290707255186,-0.1322669115152935,-0.9111918470097354,9,-3.449827396126804,0.7777777777777778
13,TE,2,established,D1,380,208,0.5202160420091879,0.5876850983727236,-0.0674690563635357,2.005147703140344,9,0.6011927831814645,0.2222222222222222
14,TE,2,veteran,D1,71,33,0.5682919957133236,0.6210867150185864,-0.0527947193052628,0.4913609238510861,0,,
15,TE,3,developmental,D1,636,367,0.2813383317201836,0.4360506696551329,-0.1547123379349493,-3.743749900881222,9,-4.6929924319355045,0.7777777777777778
16,TE,3,established,D1,380,152,0.4301506385897939,0.6405070465499662,-0.2103564079601722,-1.2284458155666322,8,-0.5996402472631752,0.5
17,TE,3,veteran,D0,71,24,0.7660128834161127,0.5324714286150385,0.2335414548010742,-0.7722356293042072,0,,
18,WR,2,developmental,D1,1226,752,0.3989282620079663,0.5397911941895326,-0.1408629321815662,1.161306967259988,9,0.9278285975814364,0.3333333333333333
19,WR,2,established,D1,597,328,0.5431822500952301,0.720676882995913,-0.1774946329006829,3.0205797734099025,9,-0.8951227270610382,0.6666666666666666
20,WR,2,veteran,D1,120,40,0.5965982543891906,0.5376330601636955,0.058965194225495,-0.1211340584910172,0,,
21,WR,3,developmental,D1,1226,636,0.2929219279679039,0.5341845136189782,-0.2412625856510742,-2.786481351522661,9,-1.956415242541869,0.6666666666666666
22,WR,3,established,D1,597,254,0.4409402625787809,0.7022967402055479,-0.2613564776267669,-1.8312361032666815,9,-1.4465430229994904,0.6666666666666666
23,WR,3,veteran,D0,120,21,0.8419991308447808,0.6789601894713021,0.1630389413734787,0.2411016432944213,0,,
