index,position,horizon,career_stage,current,alternative,n_selection,early_n,mid_n,validation_n,distinct_seasons,support_eligible,crps_gain_mean_selection,crps_gain_ci_low_selection,crps_gain_ci_high_selection,crps_gain_all_blocks_positive,mae_gain_mean_selection,mae_gain_ci_low_selection,mae_gain_ci_high_selection,mae_block_significant_regression,top10_n_selection,top10_authority_support,top10_crps_gain_mean_selection,top10_crps_gain_ci_low,top10_crps_gain_ci_high,earned_selection_pre_replication,material_concern_pre_replication,concern_reasons,n_replication,crps_gain_mean_replication,crps_gain_ci_low_replication,crps_gain_ci_high_replication,mae_gain_mean_replication,mae_gain_ci_low_replication,mae_gain_ci_high_replication,top10_n_replication,top10_crps_gain_mean_replication,replication_pass_for_earned_alternative,alternative_earned_final
0,QB,2,developmental,D1,D0,202,86,53,63,7,True,-10.69235372955519,-14.97904754717823,-6.432388484284613,False,-0.3731719041181118,-3.770048179190693,3.168622644318446,False,20,False,-0.0385206210388644,-0.0756110528104164,0.002195215699007,False,False,,63,-11.380193365090678,-19.13146235814444,-5.56912115830184,-1.641800577277876,-6.030472120681487,2.360040709225597,7,-0.0548722846580677,False,False
1,QB,2,established,D1,D0,148,57,44,47,7,True,-11.00681536062154,-17.103988762132293,-5.546566001192001,False,-4.320585124386828,-8.808166323491495,-0.398244879192672,True,14,False,-0.0312401875741196,-0.0900173270137764,0.0240485384561755,False,False,,51,-12.568543453201173,-19.137875620549824,-5.973819892574427,-1.268979074772232,-6.114754483969391,4.515534365378849,4,-0.0669530516930273,False,False
2,QB,2,veteran,D1,D0,134,63,36,35,7,True,-14.123605929330232,-21.8729641317126,-6.965917390210822,False,-5.311193364364363,-10.834774930541352,0.9378753997338044,True,16,False,-0.0703663754694314,-0.1218360373097404,0.0019136604686947,False,False,,39,-4.217189078958804,-13.780559903341178,4.128667343493211,2.227943503945584,-6.724387315188295,11.7121897822876,4,0.0172752028936359,False,False
3,QB,3,developmental,D0,D1,202,86,53,63,7,True,11.835544806486578,7.848189224051874,16.16905503239675,True,-1.4446019624147433,-5.079012415439191,1.82361336595945,False,20,False,0.0388844741560053,-0.0096583090093867,0.0807366937755665,True,False,,63,8.145054576380993,2.552264655995023,15.363750684197678,-0.2637594966493621,-5.953909138307508,5.597077821551185,7,0.0333156267202929,True,True
4,QB,3,established,D1,D0,148,57,44,47,7,True,-9.305426184427818,-15.672351299558494,-2.963730549271334,False,-3.072531588984284,-7.799824121984803,2.002355624462999,False,14,False,-0.0749899134321154,-0.1286290232999372,-0.0185012358610835,False,False,,51,-10.268556500185104,-18.034923573334066,-3.6804259394075816,-0.2283750075534282,-5.839849373306571,5.097574706797235,4,-0.0664038256105094,False,False
5,QB,3,veteran,D1,D0,134,63,36,35,7,True,-9.1065316700078,-16.045946296859658,-3.2264843978746267,False,-2.646264708377224,-7.912793888626405,2.552652742514176,False,16,False,-0.062581941091429,-0.1194987744333989,0.0148255370109094,False,False,,39,-1.7056032943080657,-10.563000971031318,6.62171588371454,-0.9654284735164624,-7.597537671189703,5.004549876988912,4,0.0254205687247993,False,False
6,RB,2,developmental,D1,D0,773,329,219,225,7,True,-6.713030474606269,-7.999394467028073,-5.463145674608333,False,-1.3779003571905024,-2.148472401273439,-0.5966804939241932,True,79,True,-0.0496782990598694,-0.0786487759847782,-0.0175567401847302,False,False,,213,-6.715141381591292,-8.696636773564087,-4.75804447263435,-1.530643236937715,-2.7482275632148943,-0.4015452224752719,14,-0.014956666583815,False,False
7,RB,2,established,D1,D0,336,157,88,91,7,True,-4.274760778552751,-5.933170682232311,-2.7289261016405475,False,0.4616189186798441,-0.5534034994503777,1.5668591836453936,False,33,False,-0.038129714925583,-0.0755794626158592,0.0041195594078937,False,False,,118,-6.092738696522943,-10.134427293590134,-2.564889425609334,-0.2988059143333728,-1.9988725880195672,1.420855655302996,21,-0.0745408873548081,False,False
8,RB,2,veteran,D1,D0,49,17,18,14,7,False,-2.3490627295251305,-6.926725713819201,0.2637792062520652,False,0.3173334321973269,-3.75499470875509,4.0076763617845765,False,3,False,-0.0023555171115605,-0.0699521117540478,0.1002209662760436,False,False,,12,-1.5259821119977606,-4.040570168416588,0.7237396544451266,2.91622179924661,1.104198190171091,5.839503239572715,0,,False,False
9,RB,3,developmental,D1,D0,773,329,219,225,7,True,-5.474034210158923,-6.568730123924306,-4.386020114759207,False,-0.2371575770572162,-0.7028314378613998,0.220696327567636,False,79,True,-0.0547453745305763,-0.0805878840613184,-0.0213506560886198,False,False,,213,-5.815985554123235,-7.580590572237949,-4.176694927937979,-0.568913947760757,-1.3985759362383827,0.2545524873278047,14,-0.0669338245258277,False,False
