index,position,horizon,career_stage,current,alternative,n,crps_gain_mean,crps_gain_ci_low,crps_gain_ci_high,mae_gain_mean,mae_gain_ci_low,mae_gain_ci_high,top10_n,top10_crps_gain_mean,top10_crps_gain_ci_low,top10_crps_gain_ci_high,frozen_high_source_cut,active_high_source_n,current_minus_realized_high_source_bias,high_source_bias_ci_low,high_source_bias_ci_high,earned_on_selection,replication_pass_for_earned_alternative
0,QB,2,developmental,D1,D0,63,-11.380193365090678,-19.13146235814444,-5.56912115830184,-1.641800577277876,-6.030472120681487,2.360040709225597,7,-0.0548722846580677,-0.0875453965310858,-0.014072750915715,366.5799999999999,3,-0.135552869945935,-0.2532722221841456,0.0165140393336397,False,False
1,QB,2,established,D1,D0,51,-12.568543453201173,-19.137875620549824,-5.973819892574427,-1.268979074772232,-6.114754483969391,4.515534365378849,4,-0.0669530516930273,-0.1009912323676223,-0.0119002180957806,346.7733333333333,4,-0.1386696806769287,-0.2739557275503171,-0.02845469561741,False,False
2,QB,2,veteran,D1,D0,39,-4.217189078958804,-13.780559903341178,4.128667343493211,2.227943503945584,-6.724387315188295,11.7121897822876,4,0.0172752028936359,-0.0967556827110966,0.0669725097442335,353.7,0,,,,False,False
3,QB,3,developmental,D0,D1,63,8.145054576380993,2.552264655995023,15.363750684197678,-0.2637594966493621,-5.953909138307508,5.597077821551185,7,0.0333156267202929,-0.0017528434353835,0.0763155048478262,366.5799999999999,3,-0.1999710959484496,-0.2969615576156112,-0.1339563167904322,True,True
4,QB,3,established,D1,D0,51,-10.268556500185104,-18.034923573334066,-3.6804259394075816,-0.2283750075534282,-5.839849373306571,5.097574706797235,4,-0.0664038256105094,-0.1179786809127634,-0.0039601866159739,346.7733333333333,4,0.0250506249172747,-0.1513799628045083,0.2793393655921862,False,False
5,QB,3,veteran,D1,D0,39,-1.7056032943080657,-10.563000971031318,6.62171588371454,-0.9654284735164624,-7.597537671189703,5.004549876988912,4,0.0254205687247993,-0.0463551535098179,0.0791612430206373,353.7,0,,,,False,False
6,RB,2,developmental,D1,D0,213,-6.715141381591292,-8.696636773564087,-4.75804447263435,-1.530643236937715,-2.7482275632148943,-0.4015452224752719,14,-0.014956666583815,-0.062342586706799,0.0443077330560087,225.5,3,-0.1119769913492486,-0.3547281079314177,0.0896505973441488,False,False
7,RB,2,established,D1,D0,118,-6.092738696522943,-10.134427293590134,-2.564889425609334,-0.2988059143333728,-1.9988725880195672,1.420855655302996,21,-0.0745408873548081,-0.1257257335863522,-0.0155483255754155,221.4333333333333,8,-0.1139430396335567,-0.4470169900062701,0.166865317482402,False,False
8,RB,2,veteran,D1,D0,12,-1.5259821119977606,-4.040570168416588,0.7237396544451266,2.91622179924661,1.104198190171091,5.839503239572715,0,,,,187.26666666666665,0,,,,False,False
9,RB,3,developmental,D1,D0,213,-5.815985554123235,-7.580590572237949,-4.176694927937979,-0.568913947760757,-1.3985759362383827,0.2545524873278047,14,-0.0669338245258277,-0.092864148681072,-0.035423724234524,225.5,3,-0.2093789039244558,-0.2350223290484459,-0.1929750493657941,False,False
10,RB,3,established,D0,D1,118,3.798037116496567,1.872195977690698,5.868175845822779,-0.0775432976423167,-0.8015319581344356,0.7085127207765779,21,0.0773955583595719,0.044652911971273,0.1036114343698152,221.4333333333333,8,-0.2205790525454588,-0.4868735517950698,0.0507504431829605,True,True
11,RB,3,veteran,D0,D1,12,0.1229438226303535,-0.5902825664538981,0.7058990761304397,-2.236329466696488,-4.625429477617461,-0.901051187162285,0,,,,187.26666666666665,0,,,,False,False
12,WR,2,developmental,D1,D0,281,-5.767642650498397,-7.25379894563928,-4.26037638851569,-1.701897155574228,-2.613836368646426,-0.7355283643291649,27,-0.0497024877034273,-0.0791055725955345,-0.019963435063711,177.6,7,-0.0604781331482477,-0.1482095456313921,0.084666750172421,False,False
13,WR,2,established,D1,D0,157,-3.718221585896988,-5.584837114703178,-1.9122685425421329,-1.0460278009340906,-2.089396564393146,-0.0912682240723393,19,-0.0233911936610962,-0.0636965887637451,0.0258899237149227,181.2,8,-0.1340137153415184,-0.3667322072096046,0.1124047564306152,False,False
14,WR,2,veteran,D1,D0,29,-0.7458027572573694,-3.203507534945732,2.665781710202185,0.8208665216377146,-0.1230399211870311,1.768161474141919,0,,,,166.35333333333332,0,,,,False,False
15,WR,3,developmental,D1,D0,281,-3.98065834929067,-5.513394578538566,-2.4155569514810606,-0.595078396100532,-1.215567596263026,0.0265312368704663,27,-0.0204236201762932,-0.0547022061650023,0.0142390449649785,177.6,7,-0.1308158770109843,-0.4217404267586497,0.0043805905323693,False,False
16,WR,3,established,D1,D0,157,-2.2629795024378767,-4.038593530931042,-0.718563922737726,-0.9609123168739504,-1.7659096228760274,-0.2102767702568543,19,-0.0134124556177296,-0.0495364223774525,0.0244693234204587,181.2,8,-0.0290642350812933,-0.162982670871454,0.1610181283491141,False,False
17,WR,3,veteran,D0,D1,29,-0.0139614143606205,-1.7994481954173964,0.8866802265032183,-1.2018115437836143,-1.7426924689578347,-0.6842072809228648,0,,,,166.35333333333332,0,,,,False,False
18,TE,2,developmental,D1,D0,136,-2.1216653209896514,-3.629569007789527,-0.5117805099168297,0.1073431900018172,-0.600198665090071,0.7666072752654636,12,-0.0069134089868979,-0.082002097501199,0.0617344682905137,119.29999999999998,4,0.2058838800576916,0.0413989194854859,0.3557239930422057,False,False
19,TE,2,established,D1,D0,98,-2.756381033952916,-4.709241612853383,-0.764750648152591,-0.0778995681606424,-1.1859619380426494,0.8754259057000009,11,-0.060719302967102,-0.126654405952576,0.0146741254686136,156.66666666666666,1,-0.1015106333635391,,,False,False
