index,position,horizon,cohort,n,active_n,inactive_share,active_median,active_lt_040,active_040_060,active_ge_060,active_ge_080
0,QB,2,top10,15,13,0.1333333333333333,0.7879677574334063,0.0,0.2307692307692307,0.7692307692307693,0.4615384615384615
1,QB,2,top5,8,7,0.125,0.8507370374188228,0.0,0.0,1.0,0.5714285714285714
2,QB,3,top10,15,14,0.0666666666666666,0.7652158553294282,0.1428571428571428,0.1428571428571428,0.7142857142857143,0.3571428571428571
3,QB,3,top5,8,7,0.125,0.7723577235772358,0.1428571428571428,0.0,0.8571428571428571,0.4285714285714285
4,RB,2,top10,35,35,0.0,0.596529284164859,0.3714285714285714,0.1428571428571428,0.4857142857142857,0.3714285714285714
5,RB,2,top5,17,17,0.0,0.4533401325854156,0.4117647058823529,0.2352941176470588,0.3529411764705882,0.2352941176470588
6,RB,3,top10,35,28,0.2,0.7312917329958191,0.3214285714285714,0.0714285714285714,0.6071428571428571,0.4285714285714285
7,RB,3,top5,17,14,0.1764705882352941,0.7014892019462045,0.3571428571428571,0.0714285714285714,0.5714285714285714,0.3571428571428571
8,WR,2,top10,46,46,0.0,0.8391460878830059,0.1739130434782608,0.0869565217391304,0.7391304347826086,0.5434782608695652
9,WR,2,top5,24,24,0.0,0.7121908807089254,0.1666666666666666,0.125,0.7083333333333334,0.375
10,WR,3,top10,46,43,0.0652173913043478,0.6627218934911243,0.2093023255813953,0.1627906976744186,0.627906976744186,0.3255813953488372
11,WR,3,top5,24,23,0.0416666666666666,0.653952205882353,0.2608695652173913,0.1304347826086956,0.6086956521739131,0.217391304347826
12,TE,2,top10,25,24,0.04,0.6990950591847453,0.125,0.25,0.625,0.2083333333333333
13,TE,2,top5,12,12,0.0,0.657758074389571,0.1666666666666666,0.25,0.5833333333333334,0.3333333333333333
14,TE,3,top10,25,24,0.04,0.7025504387709112,0.0833333333333333,0.2916666666666667,0.625,0.3333333333333333
15,TE,3,top5,12,12,0.0,0.5763080524452163,0.1666666666666666,0.4166666666666667,0.4166666666666667,0.0833333333333333
