index,position,horizon,career_stage,p0_candidate,frozen_alternative,selection_crps_gain_current_minus_alt,selection_crps_ci_low,selection_crps_ci_high,selection_mae_gain_current_minus_alt,replication_crps_gain_current_minus_alt,replication_mae_gain_current_minus_alt,final_relation,alternative_earned
0,QB,2,developmental,D1,D0,-10.69235372955519,-14.97904754717823,-6.432388484284613,-0.3731719041181118,-11.380193365090678,-1.641800577277876,CURRENT P0 SUPPORTED BY CRPS,False
1,QB,2,established,D1,D0,-11.00681536062154,-17.103988762132293,-5.546566001192001,-4.320585124386828,-12.568543453201173,-1.268979074772232,CURRENT P0 SUPPORTED BY CRPS,False
2,QB,2,veteran,D1,D0,-14.123605929330232,-21.8729641317126,-6.965917390210822,-5.311193364364363,-4.217189078958804,2.227943503945584,CURRENT P0 SUPPORTED BY CRPS,False
3,QB,3,developmental,D0,D1,11.835544806486578,7.848189224051874,16.16905503239675,-1.4446019624147433,8.145054576380993,-0.2637594966493621,POINT/PROPER-SCORE DISAGREEMENT - ALTERNATIVE EARNED,True
4,QB,3,established,D1,D0,-9.305426184427818,-15.672351299558494,-2.963730549271334,-3.072531588984284,-10.268556500185104,-0.2283750075534282,CURRENT P0 SUPPORTED BY CRPS,False
5,QB,3,veteran,D1,D0,-9.1065316700078,-16.045946296859658,-3.2264843978746267,-2.646264708377224,-1.7056032943080657,-0.9654284735164624,CURRENT P0 SUPPORTED BY CRPS,False
6,RB,2,developmental,D1,D0,-6.713030474606269,-7.999394467028073,-5.463145674608333,-1.3779003571905024,-6.715141381591292,-1.530643236937715,CURRENT P0 SUPPORTED BY CRPS,False
7,RB,2,established,D1,D0,-4.274760778552751,-5.933170682232311,-2.7289261016405475,0.4616189186798441,-6.092738696522943,-0.2988059143333728,CURRENT P0 SUPPORTED BY CRPS,False
8,RB,2,veteran,D1,D0,-2.3490627295251305,-6.926725713819201,0.2637792062520652,0.3173334321973269,-1.5259821119977606,2.91622179924661,NO MATERIAL PROPER-SCORE EVIDENCE AGAINST P0,False
9,RB,3,developmental,D1,D0,-5.474034210158923,-6.568730123924306,-4.386020114759207,-0.2371575770572162,-5.815985554123235,-0.568913947760757,CURRENT P0 SUPPORTED BY CRPS,False
10,RB,3,established,D0,D1,2.306034019548669,0.9070403381978308,3.664535187946306,-0.444991235933073,3.798037116496567,-0.0775432976423167,POINT/PROPER-SCORE DISAGREEMENT - ALTERNATIVE EARNED,True
11,RB,3,veteran,D0,D1,0.2227869082400152,-1.0878499494550145,1.3060226228296967,-0.9692662916360006,0.1229438226303535,-2.236329466696488,NO MATERIAL PROPER-SCORE EVIDENCE AGAINST P0,False
12,WR,2,developmental,D1,D0,-3.85037370089805,-4.727774785377604,-2.919114280841685,-0.5729025628141254,-5.767642650498397,-1.701897155574228,CURRENT P0 SUPPORTED BY CRPS,False
13,WR,2,established,D1,D0,-4.7149335303794215,-6.161160990562343,-3.2652478174719253,-1.0014063989193949,-3.718221585896988,-1.0460278009340906,CURRENT P0 SUPPORTED BY CRPS,False
14,WR,2,veteran,D1,D0,-1.1087886784928245,-2.447176760927245,0.4977419687409493,1.2161825756878,-0.7458027572573694,0.8208665216377146,NO MATERIAL PROPER-SCORE EVIDENCE AGAINST P0,False
15,WR,3,developmental,D1,D0,-3.3136160170263778,-4.150277502346571,-2.485812052424959,-0.1463906512243929,-3.98065834929067,-0.595078396100532,CURRENT P0 SUPPORTED BY CRPS,False
16,WR,3,established,D1,D0,-3.225732363269643,-4.467098982878633,-2.0681167820280044,-0.7666955021709942,-2.2629795024378767,-0.9609123168739504,CURRENT P0 SUPPORTED BY CRPS,False
17,WR,3,veteran,D0,D1,0.1790761502045413,-0.97151045805855,0.9470398809463942,-0.5333500564122656,-0.0139614143606205,-1.2018115437836143,NO MATERIAL PROPER-SCORE EVIDENCE AGAINST P0,False
18,TE,2,developmental,D1,D0,-3.186872999575256,-4.100784885720495,-2.348258587528513,-0.3431910594342946,-2.1216653209896514,0.1073431900018172,CURRENT P0 SUPPORTED BY CRPS,False
19,TE,2,established,D1,D0,-3.2059006218177286,-4.577971187179791,-1.9741754800520703,-0.3544281537934929,-2.756381033952916,-0.0778995681606424,CURRENT P0 SUPPORTED BY CRPS,False
20,TE,2,veteran,D1,D0,-1.1710243294788971,-3.240369531171406,0.6530532764749258,0.8291780749157953,-1.4986838526432698,-0.9031691065378932,NO MATERIAL PROPER-SCORE EVIDENCE AGAINST P0,False
21,TE,3,developmental,D1,D0,-2.7545086900555185,-3.730023051396514,-1.8461905398068688,-0.4304874165163701,-1.990224143247919,0.1590865460363432,CURRENT P0 SUPPORTED BY CRPS,False
22,TE,3,established,D1,D0,-2.268362205129688,-3.392321570759561,-1.1982191673619624,-0.4278485801049488,-1.4869483948131568,0.0970657989577187,CURRENT P0 SUPPORTED BY CRPS,False
23,TE,3,veteran,D0,D1,0.1538701419980534,-1.0971654452334718,1.2716141878205138,-0.2366088300022258,1.6044760250220564,0.1601019502110641,NO MATERIAL PROPER-SCORE EVIDENCE AGAINST P0,False
