index,position,window,horizon,n,p0_crps,earned_route_crps,p0_minus_earned_crps_gain,p0_mae,earned_route_mae,p0_minus_earned_mae_gain
0,QB,selection,2,484,43.24036299529226,43.24036299529226,0.0,62.00062036109966,62.00062036109966,0.0
1,QB,selection,3,484,48.974432770712525,44.03480456635243,4.939628204360101,66.29845692803283,66.90136931730511,-0.6029123892722688
2,QB,replication,2,153,45.64975367535759,45.64975367535759,0.0,63.961144679831634,63.961144679831634,0.0
3,QB,replication,3,153,45.079632051482434,41.72578604944321,3.353846002039232,60.46410950193651,60.572716353498016,-0.1086068515615018
4,RB,selection,2,1158,23.32689227480301,23.32689227480301,0.0,34.42381221541989,34.42381221541989,0.0
5,RB,selection,3,1158,20.381349567342145,19.71224125078916,0.6691083165529815,31.22729047786921,31.356407105911973,-0.1291166280427569
6,RB,replication,2,343,21.355696253115475,21.355696253115475,0.0,32.56281958790594,32.56281958790594,0.0
7,RB,replication,3,343,21.20998916784321,19.903375815812325,1.306613352030889,31.58664131666976,31.613318019648744,-0.0266767029789894
8,WR,selection,2,1476,19.469043307128977,19.469043307128977,0.0,28.81238487334736,28.81238487334736,0.0
9,WR,selection,3,1476,16.855425610698518,16.855425610698518,0.0,26.95624065034421,26.95624065034421,0.0
10,WR,replication,2,467,15.9788464169873,15.9788464169873,0.0,24.693463441402,24.693463441402,0.0
11,WR,replication,3,467,14.171923888932705,14.171923888932705,0.0,22.879826738119352,22.879826738119352,0.0
12,TE,selection,2,840,14.497948986160106,14.497948986160106,0.0,20.686560184998164,20.686560184998164,0.0
13,TE,selection,3,840,13.01214992840541,13.01214992840541,0.0,19.33797841873181,19.33797841873181,0.0
14,TE,replication,2,247,10.866525869510166,10.866525869510166,0.0,16.29698554162058,16.29698554162058,0.0
15,TE,replication,3,247,10.961708609427026,10.961708609427026,0.0,16.47824988547494,16.47824988547494,0.0
