index,position,horizon,career_stage,block,n,current,alternative,current_crps_raw,alternative_crps_raw,crps_gain_current_minus_alt,current_mae,alternative_mae,mae_gain_current_minus_alt,mae_gain_ci_low,mae_gain_ci_high,current_signed_bias,alternative_signed_bias,top10_n,top10_current_crps_ret,top10_alt_crps_ret,top10_crps_gain
0,QB,2,developmental,early,86,D1,D0,39.32480207714201,49.56575324374883,-10.240951166606813,59.28748592951383,59.68857618003765,-0.401090250523817,-5.25413196742683,5.188273517994197,3.3062680514658638,-1.7984753550475447,6,0.1406788739311147,0.2011106724195379,-0.0604317984884232
1,QB,2,developmental,mid,53,D1,D0,52.60848267243895,66.46063428205977,-13.852151609620837,74.80913784041591,76.01291057644917,-1.203772736033265,-6.277009532818011,4.2469549344975785,-8.15574067334006,-15.815440731412863,4,0.2161345411239609,0.2533655857306304,-0.0372310446066694
2,QB,2,developmental,validation,63,D1,D0,48.74757366282335,57.39788505539572,-8.650311392572355,65.43590041615965,65.07220213166836,0.3636982844913131,-4.0281061030140535,5.359403678331375,6.334614179856203,2.8960938969452057,10,0.2776355077687846,0.3035252529107918,-0.0258897451420071
3,QB,2,established,early,57,D1,D0,34.607794412169994,49.92308000283751,-15.315285590667507,52.88288202763758,58.15099025896241,-5.268108231324836,-10.887237191034412,-0.0120495965914991,1.491460313959828,-4.875017185345371,5,0.1703665075120927,0.2312484156044333,-0.0608819080923405
4,QB,2,established,mid,44,D1,D0,48.2480185231919,58.5936435971309,-10.345625073938985,63.42842523532083,66.74729353805598,-3.3188683027351584,-10.734625012850568,3.4252262434585616,9.95903897995219,4.024547571813388,5,0.3080700569624415,0.3445690142407799,-0.0364989572783383
5,QB,2,established,validation,47,D1,D0,43.90589283592231,50.30652882423346,-6.400635988311161,55.54699071987692,59.656229526332,-4.109238806455064,-9.219008231809266,1.4735030620529608,-25.011842223332238,-23.685519528313804,4,0.1465980723316942,0.1342126471277644,0.0123854252039298
6,QB,2,veteran,early,63,D1,D0,38.66780277006863,51.38509868673758,-12.717295916668965,58.86594495806449,62.79671448859855,-3.930769530534066,-11.50913552675243,5.520811932065153,-14.399731599146817,-26.406168286371017,10,0.2326489778099014,0.3007818532622391,-0.0681328754523376
7,QB,2,veteran,mid,36,D1,D0,41.26251699644002,58.66256537249684,-17.400048376056812,65.82623067019055,73.03452820744323,-7.20829753725268,-17.225059694222644,-0.0427623355809856,-13.73766445107527,-20.457270548161947,5,0.2327201595495368,0.3332871562266215,-0.1005669966770846
8,QB,2,veteran,validation,35,D1,D0,45.89713550004177,59.182044364100655,-13.284908864058876,66.51565848072421,72.36030759672656,-5.844649116002339,-14.458982260270531,2.407981729018545,-6.336958151790729,-2.40075861747695,1,0.0849955712310027,0.0266938408331055,0.0583017303978972
9,QB,3,developmental,early,86,D0,D1,62.22027106115573,49.5681343539901,12.652136707165615,75.68654340762423,75.71748929519795,-0.0309458875737341,-4.143937827339711,4.359236796611515,-3.859992921299763,3.74369096093793,6,0.3986899948649018,0.325786159985314,0.0729038348795878
