index,position,horizon,career_stage,current,top10_source_tertile67,active_high_source_n,current_minus_realized_retention_bias,ci_low,ci_high,material_concern,concern_reasons
0,QB,2,developmental,D1,366.5799999999999,7,-0.0995224385235011,-0.289150360834825,0.1718936909211779,False,
1,QB,2,established,D1,346.7733333333333,5,-0.1050323353876364,-0.3169571622656206,0.0634184893494569,False,
2,QB,2,veteran,D1,353.7,5,-0.1651455964035589,-0.295479661310643,-0.0777055285709631,False,
3,QB,3,developmental,D0,366.5799999999999,6,-0.0284061118397228,-0.2871930427855641,0.2167916565354666,False,
4,QB,3,established,D1,346.7733333333333,5,-0.0922553649104053,-0.2702574394190725,0.1739005085633625,False,
5,QB,3,veteran,D1,353.7,4,-0.0197271546472502,-0.0939451395169045,0.1274157374046834,False,
6,RB,2,developmental,D1,225.5,26,0.0050315352957593,-0.1163146860430867,0.1722449811441099,False,
7,RB,2,established,D1,221.4333333333333,9,0.0568463614053668,-0.1887396563159411,0.2518294404038106,False,
8,RB,2,veteran,D1,187.26666666666665,0,,,,False,
9,RB,3,developmental,D1,225.5,26,-0.1281612347180037,-0.2818678872867221,0.0849850456170088,False,
10,RB,3,established,D0,221.4333333333333,8,0.0369642652069955,-0.2484373319082208,0.2401725295993789,False,
11,RB,3,veteran,D0,187.26666666666665,0,,,,False,
12,WR,2,developmental,D1,177.6,19,-0.0953746654044988,-0.3232598332241092,0.1609338648436907,False,
13,WR,2,established,D1,181.2,26,-0.0968196934096756,-0.2330491687930277,0.0334991727493999,False,
14,WR,2,veteran,D1,166.35333333333332,2,0.1238794490598438,-0.2221748446778239,0.4699138472379668,False,
15,WR,3,developmental,D1,177.6,20,0.0297372870128407,-0.1371755455085242,0.2382120805316327,False,
16,WR,3,established,D1,181.2,25,-0.0333151089050071,-0.1979822592511024,0.1246753290038395,False,
17,WR,3,veteran,D0,166.35333333333332,2,0.1378215005342666,-0.0699205077569915,0.3456950752309994,False,
18,TE,2,developmental,D1,119.29999999999998,13,-0.0545197749121338,-0.4243420068852167,0.2346059029836733,False,
19,TE,2,established,D1,156.66666666666666,8,-0.1253176785260274,-0.3734525945889244,0.1561144091779247,False,
20,TE,2,veteran,D1,127.03333333333332,5,0.0127460665537418,-0.1021480889534408,0.2653446440774278,False,
21,TE,3,developmental,D1,119.29999999999998,13,-0.0428657669133898,-0.3511871923343816,0.2257003334062144,False,
22,TE,3,established,D1,156.66666666666666,9,-0.1508275721828608,-0.4456858037776822,0.1110706430010908,False,
23,TE,3,veteran,D0,127.03333333333332,4,0.1541327679418297,-0.0378972055992727,0.4477858788159172,False,
