index,position,horizon,block,n,D0_mae,D1_mae,D0_minus_D1_mae_gain,D0_crps_raw,D1_crps_raw,D0_minus_D1_crps_gain,top10_n,top10_D0_crps_ret,top10_D1_crps_ret,top10_D0_minus_D1_crps_gain
0,QB,2,early,206,60.21367480109613,57.386420378017455,2.8272544230786893,50.22102697276022,37.81868366331178,12.402343309448444,21,0.2557487926267517,0.1915426456783888,0.0642061469483628
1,QB,2,mid,133,72.14141497514454,68.61262646633848,3.528788508806064,61.74726532806626,48.09483465061315,13.652430677453122,14,0.314481656804252,0.2548920890754097,0.0595895677288423
2,QB,2,validation,145,65.0758778477113,62.49116094398359,2.5847169037277045,55.5299666618788,46.49016445894953,9.039802202929266,15,0.2399197972301387,0.229849529216375,0.0100702680137636
3,QB,3,early,206,68.12389092877359,67.38227625270983,0.7416146760637549,54.0995083506048,42.95979544121834,11.13971290938646,21,0.297035902004335,0.2300576656404978,0.0669782363638372
4,QB,3,mid,133,77.65231825376061,76.09356123986134,1.558757013899286,62.61821111951656,51.60419457153188,11.01401654798467,14,0.2968415932553123,0.2481400497489667,0.0487015435063456
5,QB,3,validation,145,58.87246510470755,57.78669101114406,1.0857740935634854,47.09229642055818,38.619101180757625,8.473195239800544,15,0.2690674737970749,0.2197011567368637,0.0493663170602112
6,RB,2,early,503,35.08598242436844,34.52676553695319,0.559216887415246,28.74675842228038,23.00570316896754,5.741055253312838,50,0.2843195473671464,0.252288888477137,0.0320306588900094
7,RB,2,mid,325,35.51559456438412,34.7884996279354,0.727094936448715,29.531703825570137,23.80607096063559,5.725632864934542,32,0.3132152629550834,0.2622605084059441,0.0509547545491392
8,RB,2,validation,330,35.0497601025098,33.90772454936295,1.14203555314685,29.38095235368384,23.344543933408023,6.0364084202758095,33,0.2825500495376818,0.2232213319759945,0.0593287175616873
9,RB,3,early,503,30.270523484694483,30.276402812293973,-0.0058793275994947,22.58748475457684,18.39963603270232,4.187848721874513,50,0.2656090983553956,0.2333186729447703,0.0322904254106253
10,RB,3,mid,325,32.243071620665205,32.37077522939454,-0.1277036087293251,25.49560912269916,21.07191667592408,4.423692446775076,32,0.2866116387730464,0.2115145207600013,0.075097118013045
11,RB,3,validation,330,32.240768457334134,32.14751791757313,0.0932505397609943,24.804404384865688,20.34081504783484,4.463589337030853,33,0.3149783212793224,0.2558818555185897,0.0590964657607327
12,WR,2,early,607,29.55173396445408,29.281713271534727,0.2700206929193539,23.48833834603972,19.89324522811835,3.5950931179213663,61,0.2425346375659693,0.2103833807251489,0.0321512568408204
13,WR,2,mid,427,29.56231716375561,28.702702772029387,0.8596143917262259,22.96459257872525,18.68846899921987,4.276123579505379,43,0.2444850991438074,0.2099555777699299,0.0345295213738775
14,WR,2,validation,442,29.04390780703558,28.2738145556167,0.7700932514188831,23.726423494613197,19.64056969499468,4.0858537996185165,44,0.2791429643443303,0.2401064517893896,0.0390365125549406
15,WR,3,early,607,27.57259293504621,27.224923489540657,0.3476694455055581,20.19121742787001,17.13066118718894,3.060556240681065,61,0.2156620719310282,0.1959355234616624,0.0197265484693657
16,WR,3,mid,427,27.367795183937165,27.07717058851176,0.2906245954254093,19.78942920283833,16.675023037007414,3.114406165830922,43,0.2800316595446149,0.2469435221678356,0.0330881373767793
17,WR,3,validation,442,26.788425183611142,26.580239039809676,0.2081861438014685,19.735616128937824,16.61485541696051,3.120760711977314,44,0.278352415738078,0.238841654239219,0.0395107614988589
18,TE,2,early,348,21.68915621815404,21.738176768548414,-0.0490205503943712,18.356348191404525,15.190104829355706,3.1662433620488186,34,0.3201913368696374,0.2713073723869417,0.0488839644826956
19,TE,2,mid,244,21.658206103027503,21.159817267620998,0.4983888354065135,18.126011682520712,15.158160476020768,2.9678512064999425,25,0.2858748158049693,0.2605040291566863,0.0253707866482829
20,TE,2,validation,248,19.22473323824168,18.74528075259712,0.4794524856445488,15.858633118873644,12.877135127458208,2.981497991415438,24,0.3214956169585294,0.2554005404819469,0.0660950764765825
21,TE,3,early,348,21.09345187634838,20.635907572217207,0.4575443041311702,16.81387634519017,13.929334087557391,2.884542257632775,34,0.3083779244532721,0.2580519051292115,0.0503260193240604
22,TE,3,mid,244,19.241115830516343,18.8268249928706,0.4142908376457463,15.098318257912323,13.08101169286781,2.0173065650445143,25,0.300034243314097,0.2428742660635873,0.0571599772505097
23,TE,3,validation,248,18.324376467610005,18.0749356874308,0.2494407801792022,13.757741143863267,11.621396597157014,2.136344546706255,24,0.2518438066068962,0.2357522073660823,0.0160915992408139
