index,position,horizon,block,n,active_brier,active_logloss,six_state_brier,six_state_logloss
0,QB,2,early,206,0.184422631980731,0.5518046808857248,0.5741322287870649,1.3928639050040303
1,QB,2,mid,133,0.1889993214950761,0.5598040297914924,0.6323196786681863,1.3623170586633109
2,QB,2,validation,145,0.2127472909553527,0.6084857833608027,0.6807345466595872,1.4387023927732685
3,QB,3,early,206,0.2224179637920021,0.6544419718173959,0.6063701776597151,1.3103437876395676
4,QB,3,mid,133,0.205663355534347,0.601524794478548,0.6630174711004179,1.436828233752983
5,QB,3,validation,145,0.1952495356848885,0.5700959947505666,0.641017776135511,1.3654490472471668
6,RB,2,early,503,0.2061414374549644,0.5993596624513114,0.6660364765172365,1.4033960459280943
7,RB,2,mid,325,0.1885791199593067,0.5568288382968797,0.6511990075694747,1.364590478913903
8,RB,2,validation,330,0.1702565855876503,0.5124909200626503,0.6692879360724354,1.4004612204516071
9,RB,3,early,503,0.2147349566607325,0.616819698934867,0.5649759464866733,1.2062855958346637
10,RB,3,mid,325,0.1791932808220256,0.5376532116208412,0.5885151807985648,1.24892529030729
11,RB,3,validation,330,0.1968236067906099,0.5736679492055908,0.6041433100950099,1.275495122402779
12,WR,2,early,607,0.1705942482252095,0.5122622238465327,0.6072241109483159,1.273241517828222
13,WR,2,mid,427,0.1789533829765941,0.53280080672148,0.6189312226406212,1.3286068307891563
14,WR,2,validation,442,0.1843485612377636,0.5472659580319006,0.673763053430792,1.414861270376666
15,WR,3,early,607,0.1725580277546287,0.5184666415305447,0.5364016221977516,1.1545194396252427
16,WR,3,mid,427,0.1830522969395026,0.5462449708761185,0.5606138275393845,1.2016613777219702
17,WR,3,validation,442,0.1858621585806105,0.5539739173042901,0.5798420799621576,1.242725254089777
18,TE,2,early,348,0.2039188585527735,0.5960156289531024,0.6916121558774123,1.4471593616530145
19,TE,2,mid,244,0.1860418127171772,0.545430787771496,0.6841698103234236,1.4316623417637775
20,TE,2,validation,248,0.1949931081819232,0.5647511228375186,0.6674589354043651,1.3705404232102054
21,TE,3,early,348,0.2171480604768962,0.6225633496290018,0.6363119028032223,1.3477656914178318
22,TE,3,mid,244,0.196972312772606,0.577749846184168,0.6126745888858117,1.2874289475807954
23,TE,3,validation,248,0.1924382678601358,0.56699857295097,0.5720423114362299,1.2022679779717738
