index,position,horizon,career_stage,research_current,alternative,n,origins,pooled_crps_gain_current_vs_alt,cluster_ci_low,cluster_ci_high,block_boot_gain,block_ci_low,block_ci_high,pooled_mae_gain_current_vs_alt,mae_ci_low,mae_ci_high,origins_improved,origin_share_improved,median_origin_gain,worst_origin_regression,loo_gain_min,loo_gain_max,loo_sign_flip
0,QB,2,developmental,D1,D0,293,10,10.58440800563084,7.114875281738573,14.314325716398043,10.584408005630843,8.5976263215927,12.417569736539846,0.3072870628235658,-2.8235474715062643,3.045551904949994,10,1.0,8.889432587755707,5.154686482796978,9.796794057968992,11.135545152685406,False
1,QB,2,established,D1,D0,231,10,11.832458103551572,7.409180069783373,16.25832096294269,11.832458103551572,9.103942395608849,13.838172041243444,3.3896537323137044,0.1560472557529504,6.972452257838913,10,1.0,13.318152489092023,3.262477861754202,11.40705723359421,12.87250424940077,False
2,QB,2,veteran,D1,D0,187,10,11.867978516956992,5.448894956313035,18.84052158285572,11.86797851695699,7.759216226846643,16.196183281111235,3.8062429964390616,-1.5781365051390102,9.134592066651647,10,1.0,11.571878815328311,1.4260089871551305,10.661215562374151,13.118513789987157,False
3,QB,3,developmental,D1,D0,265,9,10.958182978197325,7.449253149667952,14.711564835446657,10.958182978197328,9.971124986200593,12.32951873527902,-1.1638733762139168,-4.324730019159573,1.914390211498069,9,1.0,10.470068870319633,6.337539436122836,10.516191704490804,11.615429688923438,False
4,QB,3,established,D1,D0,199,9,9.552258576908326,4.426458670509152,15.201525212955442,9.55225857690833,7.669199408065581,11.389999598476397,2.3436271384668284,-1.7846373298374014,6.823095763350992,9,1.0,10.37790557375859,1.764960969459752,8.775507703631181,10.520171273879336,False
5,QB,3,veteran,D1,D0,173,9,7.438114290514794,1.749812138806814,13.714882333733945,7.438114290514794,2.2759397168132445,11.913848047448752,2.2673478693045674,-2.2214447192513203,7.367601973295753,8,0.8888888888888888,8.017072053354783,-3.159427080751486,6.298190059623374,8.823413816170518,False
6,RB,2,developmental,D1,D0,1075,10,6.804508778905261,5.708264418122142,7.931956792179943,6.804508778905261,6.474348514911959,6.990606857911666,1.339012862052829,0.666085891172708,2.0056718594234635,10,1.0,6.738008085788388,5.653133137129204,6.713486481896137,6.942433985993018,False
7,RB,2,established,D1,D0,512,10,4.971549759075228,3.323954050992437,6.837987776702409,4.971549759075228,3.7386681264525854,6.08107940346312,-0.0408991894388151,-1.064096935124877,1.0176091578992912,10,1.0,4.630336724953218,2.627367439640553,4.511993122024035,5.24793806748019,False
8,RB,2,veteran,D1,D0,68,10,2.123849576466773,0.2551284389885371,5.405707938982257,2.1238495764667724,0.7629698099763202,3.5803634574589824,-0.8852366076688264,-3.6655547897205,2.429124412363886,9,0.9,1.5838976133141127,-2.915652111121551,1.3249077564675895,2.611543288168869,False
9,RB,3,developmental,D1,D0,986,9,5.547904023814499,4.515310680538699,6.473794124513312,5.547904023814499,5.30760154447572,5.738863848410126,0.3088250283349588,-0.1248756495746553,0.757597309197416,9,1.0,5.624763809080973,4.599103724887941,5.458187088918682,5.673176164315709,False
