index,position,horizon,career_stage,n,active_n,origins,actual_active_slope,p_active_slope,expected_retention_slope,active_retention_slope,conditional_predicted_retention_slope,conditional_retention_bias_slope,conditional_retention_bias_slope_ci_low,conditional_retention_bias_slope_ci_high,conditional_point_bias_slope,origin_bias_slope_n,origin_bias_slope_negative_share,origin_bias_slope_median
0,QB,2,developmental,293,190,10,0.8119384691663116,0.8491411442479646,-8.013816433965982,-19.68985697975566,-43.95751999761572,4.965490938401267,-11.889769701996771,49.95789876958559,-56.40301713417521,10,0.6,-2.672125080682756
1,QB,2,established,231,166,10,0.6524987464490873,0.8473189868958058,-30.28761980430249,-56.85940028902719,-36.18368808725699,26.95311828999509,-13.982821832027565,105.84844217732136,-9.222436624888754,10,0.6,-0.606635186941538
2,QB,2,veteran,187,110,10,0.6626212905524766,0.9717977044834446,-0.6087365835441654,-3.234818380764124,-25.698249310444368,-12.998844203117113,-34.00822646748726,-1.9860150115467252,-45.9925617366528,7,0.7142857142857143,-3.0579778161233224
3,QB,3,developmental,265,161,9,0.7997514168975699,0.836450249114218,-31.847795784390097,-69.327045255105,-80.45435899220263,-41.44784470311405,-119.59438962260133,7.218758797506571,-63.39036968617749,9,0.6666666666666666,-40.08350919750905
4,QB,3,established,199,123,9,0.7116583184944496,0.8879775283901624,-13.131897078046208,-28.816187378462587,-65.98473494629648,-21.27454685912211,-77.3188738514848,17.780580306949698,-29.78396243837844,8,0.875,-6.912548563979817
5,QB,3,veteran,173,83,9,0.6347342576689075,0.7997554456722551,-4.001687876468058,-16.918812526178787,-54.0503118327878,-2.6003157519948568,-21.153821888431143,26.869711731669238,-57.39021218234767,3,0.6666666666666666,-2.60794139091989
6,RB,2,developmental,1075,700,10,0.6392013559987041,0.7157536808792011,-6.6737269030148525,-14.346952197837735,-16.543709938914578,1.181029267785037,-5.206077293483619,9.810095343459112,2.7929911945507904,10,0.5,0.3520436199328068
7,RB,2,established,512,244,10,0.6880461810100895,0.7835128225482506,-3.299744832851254,-10.747515666772868,-8.768758693085749,6.957096132499494,-0.610175943667685,27.057352701762373,37.99166913541082,10,0.5,0.177620079513105
8,RB,2,veteran,68,22,10,0.6537520055578717,0.7316709272338577,-1.1871946604447443,-9.839363662401984,-7.172774019918643,6.845920958947208,-1.7719945024757011,19.75835428289137,107.27316212390603,0,,
9,RB,3,developmental,986,519,9,0.6422059071829886,0.7060612188953679,-7.649529821969759,-20.466323079241857,-26.93953842701856,0.9073634704395672,-6.519551135839045,15.579150789536769,-13.69282184858042,9,0.6666666666666666,-2.015636162951314
10,RB,3,established,454,138,9,0.5029947530565269,0.6634013969324339,-0.4857089649502504,-3.914177594645429,-13.973190926574334,0.0060473167015812,-2.988381004484436,4.463966713218728,11.45078907382272,9,0.6666666666666666,-1.0299984784909866
11,RB,3,veteran,61,11,9,0.4433986580190535,0.3229757473263104,-1.0458600532897715,,-0.7280295221801305,,,,,0,,
12,WR,2,developmental,1345,838,10,0.8074403839157327,0.7606717042707014,-4.535265717856087,-12.039728414609732,-16.02309348972034,1.0032342493284006,-3.432130703474185,5.968622385744125,4.391939953066177,10,0.3,0.7501951912601941
13,WR,2,established,676,375,10,0.9277130784626296,0.8026463549386481,-1.2139048134256365,-5.6077649465807,-5.936899187364385,2.435501655987636,-1.8048291939510857,13.0170322938781,9.401022163065008,10,0.7,-0.9928591156117894
14,WR,2,veteran,135,46,10,0.7266443259917437,0.7328386466802461,-0.0669011224559052,-2.353844759204363,-4.52245219125931,-0.2728814617464358,-1.567259214054568,1.068237167987539,41.042138037373896,0,,
15,WR,3,developmental,1226,636,9,0.8127267356152599,0.7230920873852986,-3.428416034391955,-12.11275215656551,-23.02365835221955,-2.834850112260514,-8.274209241334361,3.157428301500906,-13.444905390389588,9,0.6666666666666666,-1.956415242541868
16,WR,3,established,597,254,9,0.912579742375448,0.727457845711226,-0.2337373671984302,-3.510141791903564,-7.901206101320494,-1.7793371012482682,-6.206041716140945,2.60241393072911,-0.3088543399053378,9,0.6666666666666666,-1.4465430229994911
17,WR,3,veteran,120,21,9,0.3380251606682924,0.3710899086822281,0.0878601717691044,-0.862533457389119,-3.860921938066853,0.0685962383592295,-2.499888030680974,2.7943256605347364,56.68029037989271,0,,
18,TE,2,developmental,701,472,10,0.660022553258404,0.6950899154824113,-5.475679224263093,-11.487291394489787,-16.051817580590075,-0.6340421989684346,-6.565533980512198,11.417937264539496,3.1496749357646348,10,0.7,-3.290102894406401
19,TE,2,established,427,239,10,0.7073314747610876,0.7626256205814682,-2.010656826822657,-6.710690769446288,-8.63170806837621,1.358031451270103,-1.3237877759878318,4.760398935194295,2.99871238903252,10,0.3,0.554058795192252
20,TE,2,veteran,76,35,10,0.7020553252222668,0.8445316080958947,-0.4581684241749221,-4.553903695840393,-3.137846912445089,0.9875018518946116,-0.2933875807386555,3.148259495823536,41.16742405678039,0,,
21,TE,3,developmental,636,367,9,0.6916769943905906,0.6587234682493832,-4.571113849664442,-12.094582201821428,-22.08918094924634,-3.723065952798825,-11.03456959004059,6.691894833623098,-7.303274978402488,9,0.7777777777777778,-4.6929924319355045
22,TE,3,established,380,152,9,0.6430805260584164,0.6867180958992,-0.6389863537970215,-3.960461507636799,-10.144215459087068,-1.2074206736874045,-3.952169125456331,1.0742875115086523,-10.390392543312773,9,0.5555555555555556,-1.2383637925500517
23,TE,3,veteran,71,24,9,0.3493186841201219,0.5034527356950401,-0.5677563248686481,-3.543098939938971,-2.356189241798635,-0.2738369606123412,-2.3413689543548752,4.409850024586117,49.69885024065623,0,,
