index,position,horizon,career_stage,p0_representation,research_current,alternative,prior_status,n,origins,pooled_crps_gain_current_vs_alt,cluster_ci_low,cluster_ci_high,block_boot_gain,block_ci_low,block_ci_high,origins_improved,origin_share_improved,median_origin_gain,worst_origin_regression,loo_gain_min,loo_gain_max,loo_sign_flip,pooled_mae_gain_current_vs_alt,mae_ci_low,mae_ci_high,active_brier,active_logloss,six_state_brier,six_state_logloss,conditional_active_retention_bias,magnitude_structure,struct_adequate_origins,best_piecewise_knot,piecewise_origin_recurrence,bootstrap_knot_share,revalidation_disposition,disposition_reason,additional_research_required
0,QB,2,developmental,D1,D1,D0,P0_RETAINED_D1,293,10,10.58440800563084,7.114875281738573,14.314325716398043,10.584408005630843,8.5976263215927,12.417569736539846,10,1.0,8.889432587755707,5.154686482796978,9.796794057968992,11.135545152685406,False,0.3072870628235658,-2.8235474715062643,3.045551904949994,0.1805135201383643,0.5377959381682537,0.6232815958886632,1.3478446038905487,-0.752073388089672,SMOOTH_NONLINEAR,10,0.6,0.4,0.9133333333333332,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
1,QB,2,established,D1,D1,D0,P0_RETAINED_D1,231,10,11.832458103551572,7.409180069783373,16.25832096294269,11.832458103551572,9.103942395608849,13.838172041243444,10,1.0,13.318152489092023,3.262477861754202,11.40705723359421,12.87250424940077,False,3.3896537323137044,0.1560472557529504,6.972452257838913,0.180705081700114,0.5323344116756693,0.6827863237321924,1.57791085838335,-4.159132686774078,SMOOTH_NONLINEAR,8,0.6,0.25,0.6766666666666666,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
2,QB,2,veteran,D1,D1,D0,P0_RETAINED_D1,187,10,11.867978516956992,5.448894956313035,18.84052158285572,11.86797851695699,7.759216226846643,16.196183281111235,10,1.0,11.571878815328311,1.4260089871551305,10.661215562374151,13.118513789987157,False,3.8062429964390616,-1.5781365051390102,9.134592066651647,0.213338931333719,0.6206477735819169,0.599930203983782,1.2167143426264302,1.3626055867839697,INSUFFICIENT_EVIDENCE,3,0.7,0.0,0.47,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
3,QB,3,developmental,D0,D1,D0,PROPER_SCORE_EARNED_D0_TO_D1,265,9,10.958182978197325,7.449253149667952,14.711564835446657,10.958182978197328,9.971124986200593,12.32951873527902,9,1.0,10.470068870319633,6.337539436122836,10.516191704490804,11.615429688923438,False,-1.1638733762139168,-4.324730019159573,1.914390211498069,0.1847241115958164,0.5452108333236289,0.6416849772481152,1.3752503706441084,4.397846961149473,SMOOTH_NONLINEAR,9,0.6,0.2222222222222222,0.7966666666666666,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
4,QB,3,established,D1,D1,D0,P0_RETAINED_D1,199,9,9.552258576908326,4.426458670509152,15.201525212955442,9.55225857690833,7.669199408065581,11.389999598476397,9,1.0,10.37790557375859,1.764960969459752,8.775507703631181,10.520171273879336,False,2.3436271384668284,-1.7846373298374014,6.823095763350992,0.2020617611373526,0.5951132405918962,0.6608045059197232,1.4460968611951852,3.0163156348120634,SMOOTH_NONLINEAR,7,0.6,0.1428571428571428,0.5333333333333333,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
5,QB,3,veteran,D1,D1,D0,P0_RETAINED_D1,173,9,7.438114290514794,1.749812138806814,13.714882333733945,7.438114290514794,2.2759397168132445,11.913848047448752,8,0.8888888888888888,8.017072053354783,-3.159427080751486,6.298190059623374,8.823413816170518,False,2.2673478693045674,-2.2214447192513203,7.367601973295753,0.2219577877056516,0.6534319647937636,0.5508591586237837,1.1552206657603836,0.3514685109729265,INSUFFICIENT_EVIDENCE,3,0.7,0.0,0.5233333333333333,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
6,RB,2,developmental,D1,D1,D0,P0_RETAINED_D1,1075,10,6.804508778905261,5.708264418122142,7.931956792179943,6.804508778905261,6.474348514911959,6.990606857911666,10,1.0,6.738008085788388,5.653133137129204,6.713486481896137,6.942433985993018,False,1.339012862052829,0.666085891172708,2.0056718594234635,0.1863220919596929,0.5499786597063931,0.6962788544680528,1.4556191571385284,-0.0990292939355734,SMOOTH_NONLINEAR,10,0.6,0.5,0.6666666666666666,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
7,RB,2,established,D1,D1,D0,P0_RETAINED_D1,512,10,4.971549759075228,3.323954050992437,6.837987776702409,4.971549759075228,3.7386681264525854,6.08107940346312,10,1.0,4.630336724953218,2.627367439640553,4.511993122024035,5.24793806748019,False,-0.0408991894388151,-1.064096935124877,1.0176091578992912,0.2048612387280241,0.595701629033492,0.5993386234634526,1.2593022822642506,-0.760236517059149,SMOOTH_NONLINEAR,10,0.8,0.2,0.41,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
8,RB,2,veteran,D1,D1,D0,P0_RETAINED_D1,68,10,2.123849576466773,0.2551284389885371,5.405707938982257,2.1238495764667724,0.7629698099763202,3.5803634574589824,9,0.9,1.5838976133141127,-2.915652111121551,1.3249077564675895,2.611543288168869,False,-0.8852366076688264,-3.6655547897205,2.429124412363886,0.179287443015807,0.5386264201952375,0.4652647451225434,1.0210296783980313,-0.4765484485808903,INSUFFICIENT_EVIDENCE,0,0.8,0.0,0.7233333333333334,CONFIRMED,"Current frozen decision has positive clustered proper-score support, majority origin support, and no leave-one-origin sign reversal.",False
9,RB,3,developmental,D1,D1,D0,P0_D1_RETAINED_STRUCTURALLY_UNRESOLVED,986,9,5.547904023814499,4.515310680538699,6.473794124513312,5.547904023814499,5.30760154447572,5.738863848410126,9,1.0,5.624763809080973,4.599103724887941,5.458187088918682,5.673176164315709,False,0.3088250283349588,-0.1248756495746553,0.757597309197416,0.2073980039221908,0.6003402538895475,0.6423201518323944,1.3580387992001248,0.0931856603797601,SMOOTH_NONLINEAR,9,0.9,0.3333333333333333,0.4266666666666667,UNRESOLVED,"D1 remains strongly better than D0 on proper score, but continuous-magnitude structural concern remains unresolved by either frozen representation.",True
