index,position,horizon,career_stage,p0_representation,research_current,alternative,prior_status,n,origins,decision_under_review
0,QB,2,developmental,D1,D1,D0,P0_RETAINED_D1,293,10,P0_RETAINED
1,QB,2,established,D1,D1,D0,P0_RETAINED_D1,231,10,P0_RETAINED
2,QB,2,veteran,D1,D1,D0,P0_RETAINED_D1,187,10,P0_RETAINED
3,QB,3,developmental,D0,D1,D0,PROPER_SCORE_EARNED_D0_TO_D1,265,9,PRIOR_RESEARCH_EARNED_SWITCH
4,QB,3,established,D1,D1,D0,P0_RETAINED_D1,199,9,P0_RETAINED
5,QB,3,veteran,D1,D1,D0,P0_RETAINED_D1,173,9,P0_RETAINED
6,RB,2,developmental,D1,D1,D0,P0_RETAINED_D1,1075,10,P0_RETAINED
7,RB,2,established,D1,D1,D0,P0_RETAINED_D1,512,10,P0_RETAINED
8,RB,2,veteran,D1,D1,D0,P0_RETAINED_D1,68,10,P0_RETAINED
9,RB,3,developmental,D1,D1,D0,P0_D1_RETAINED_STRUCTURALLY_UNRESOLVED,986,9,P0_RETAINED_BUT_STRUCTURALLY_UNRESOLVED
10,RB,3,established,D0,D1,D0,PROPER_SCORE_EARNED_D0_TO_D1,454,9,PRIOR_RESEARCH_EARNED_SWITCH
11,RB,3,veteran,D0,D0,D1,P0_RETAINED_D0,61,9,P0_RETAINED
12,WR,2,developmental,D1,D1,D0,P0_RETAINED_D1,1345,10,P0_RETAINED
13,WR,2,established,D1,D1,D0,P0_RETAINED_D1,676,10,P0_RETAINED
14,WR,2,veteran,D1,D1,D0,P0_RETAINED_D1,135,10,P0_RETAINED
15,WR,3,developmental,D1,D1,D0,P0_RETAINED_D1,1226,9,P0_RETAINED
16,WR,3,established,D1,D1,D0,P0_RETAINED_D1,597,9,P0_RETAINED
17,WR,3,veteran,D0,D0,D1,P0_RETAINED_D0,120,9,P0_RETAINED
18,TE,2,developmental,D1,D1,D0,P0_RETAINED_D1,701,10,P0_RETAINED
19,TE,2,established,D1,D1,D0,P0_RETAINED_D1,427,10,P0_RETAINED
20,TE,2,veteran,D1,D1,D0,P0_RETAINED_D1,76,10,P0_RETAINED
21,TE,3,developmental,D1,D1,D0,P0_RETAINED_D1,636,9,P0_RETAINED
22,TE,3,established,D1,D1,D0,P0_RETAINED_D1,380,9,P0_RETAINED
23,TE,3,veteran,D0,D0,D1,P0_RETAINED_D0,71,9,P0_RETAINED
