index,position,horizon,career_stage,omitted_origin,n,crps_gain_current_vs_alt
0,QB,2,developmental,2014,259,10.249082408617973
1,QB,2,developmental,2015,267,10.773561855670703
2,QB,2,developmental,2016,267,10.831159091105588
3,QB,2,developmental,2017,264,9.796794057968992
4,QB,2,developmental,2018,269,10.713551764631806
5,QB,2,developmental,2019,266,11.135545152685406
6,QB,2,developmental,2020,257,10.488087404487535
7,QB,2,developmental,2021,263,10.135826420451972
8,QB,2,developmental,2022,260,10.845340618154202
9,QB,2,developmental,2023,265,10.855877869324004
10,QB,2,established,2014,214,11.562097252373077
11,QB,2,established,2015,213,11.446234578519642
12,QB,2,established,2016,209,11.5530402385678
13,QB,2,established,2017,211,12.179580871171288
14,QB,2,established,2018,207,11.79466945299696
15,QB,2,established,2019,209,12.028851086189682
16,QB,2,established,2020,206,12.87250424940077
17,QB,2,established,2021,208,11.509505976047295
18,QB,2,established,2022,203,11.97843687049128
19,QB,2,established,2023,199,11.40705723359421
20,QB,2,veteran,2014,167,11.946543732174174
21,QB,2,veteran,2015,163,12.05321425902779
22,QB,2,veteran,2016,168,11.291664153381616
23,QB,2,veteran,2017,170,10.661215562374151
24,QB,2,veteran,2018,168,11.903664155953953
25,QB,2,veteran,2019,171,11.591231354600865
26,QB,2,veteran,2020,168,11.85447377061373
27,QB,2,veteran,2021,167,13.118513789987157
28,QB,2,veteran,2022,168,12.40096302580159
29,QB,2,veteran,2023,173,11.89036744861066
30,QB,3,developmental,2014,231,10.596046080194526
31,QB,3,developmental,2015,239,11.140649577206664
32,QB,3,developmental,2016,239,10.516191704490804
33,QB,3,developmental,2017,236,11.094915398021293
34,QB,3,developmental,2018,241,10.74099926753131
35,QB,3,developmental,2019,238,11.013557267746474
36,QB,3,developmental,2020,229,10.850524784556276
37,QB,3,developmental,2021,235,11.063484477882309
38,QB,3,developmental,2022,232,11.615429688923438
39,QB,3,established,2014,182,10.08008004567777
40,QB,3,established,2015,181,9.33986985859116
41,QB,3,established,2016,177,9.155944225850522
42,QB,3,established,2017,179,9.46000751580774
43,QB,3,established,2018,175,9.720285602320192
44,QB,3,established,2019,177,10.520171273879336
45,QB,3,established,2020,174,8.775507703631181
46,QB,3,established,2021,176,9.481309977380134
47,QB,3,established,2022,171,9.41164898293082
48,QB,3,veteran,2014,153,7.177104159786402
49,QB,3,veteran,2015,149,6.846387448911995
50,QB,3,veteran,2016,154,7.0940310236687
51,QB,3,veteran,2017,156,6.298190059623374
52,QB,3,veteran,2018,154,7.366684436657913
53,QB,3,veteran,2019,157,8.124127655142315
54,QB,3,veteran,2020,154,7.689068984729066
55,QB,3,veteran,2021,153,8.823413816170518
56,QB,3,veteran,2022,154,7.513550014065033
57,RB,2,developmental,2014,971,6.723348543454122
58,RB,2,developmental,2015,960,6.942433985993018
59,RB,2,developmental,2016,965,6.797600678790092
60,RB,2,developmental,2017,967,6.8517910713649215
61,RB,2,developmental,2018,964,6.827847643227969
62,RB,2,developmental,2019,963,6.827025578101404
63,RB,2,developmental,2020,962,6.735769814260363
64,RB,2,developmental,2021,963,6.849141059363495
65,RB,2,developmental,2022,974,6.779923942710804
66,RB,2,developmental,2023,986,6.713486481896137
67,RB,2,established,2014,458,4.861952258214554
68,RB,2,established,2015,463,5.130329760774528
69,RB,2,established,2016,458,5.24793806748019
70,RB,2,established,2017,469,4.972075793081091
71,RB,2,established,2018,467,5.03675530134695
72,RB,2,established,2019,469,5.114835618451205
73,RB,2,established,2020,464,4.942060536179791
74,RB,2,established,2021,453,5.139052765621277
75,RB,2,established,2022,453,4.511993122024035
76,RB,2,established,2023,454,4.747274862959101
77,RB,2,veteran,2014,64,1.3249077564675895
78,RB,2,veteran,2015,61,1.986570772540985
79,RB,2,veteran,2016,62,2.611543288168869
80,RB,2,veteran,2017,57,2.127260032503529
81,RB,2,veteran,2018,61,2.221713124863998
82,RB,2,veteran,2019,62,2.157937348017525
83,RB,2,veteran,2020,60,2.2897881533260858
84,RB,2,veteran,2021,64,2.1699087875206797
85,RB,2,veteran,2022,60,2.194293244236408
86,RB,2,veteran,2023,61,2.187145230995156
87,RB,3,developmental,2014,882,5.46848441077037
88,RB,3,developmental,2015,871,5.673176164315709
89,RB,3,developmental,2016,876,5.628312851896448
90,RB,3,developmental,2017,878,5.472828228666926
91,RB,3,developmental,2018,875,5.533728329504923
92,RB,3,developmental,2019,874,5.5380547149474
93,RB,3,developmental,2020,873,5.587454852559782
