index,position,horizon,career_stage,n,classification,pooled_linear_bic,pooled_quadratic_bic,pooled_best_piecewise_bic,pooled_best_piecewise_knot,adequate_origins,piecewise_origin_recurrence,piecewise_origin_knot,bootstrap_best_knot,bootstrap_best_knot_share,quadratic_curvature_sign_stability,quadratic_curvature_pooled
0,QB,2,developmental,293,SMOOTH_NONLINEAR,2716.3857356520007,2686.5229286818444,2687.4029678292018,0.6,10,0.4,0.6,0.6,0.9133333333333332,1.0,424.3256600174352
1,QB,2,established,231,SMOOTH_NONLINEAR,2142.85245913189,2117.3844065315866,2115.912115867467,0.6,8,0.25,0.7,0.6,0.6766666666666666,1.0,434.00176069862425
2,QB,2,veteran,187,INSUFFICIENT_EVIDENCE,1744.3848691489056,1739.1510328543986,1741.7177571766922,0.7,3,0.0,,0.7,0.47,1.0,290.09337538549227
3,QB,3,developmental,265,SMOOTH_NONLINEAR,2494.3521791817457,2485.707851291379,2487.4185799874367,0.6,9,0.2222222222222222,0.6,0.6,0.7966666666666666,1.0,308.15526589917533
4,QB,3,established,199,SMOOTH_NONLINEAR,1830.3803421927028,1816.49313741088,1819.235150174204,0.6,7,0.1428571428571428,0.8,0.6,0.5333333333333333,0.7142857142857143,358.3264011028634
5,QB,3,veteran,173,INSUFFICIENT_EVIDENCE,1617.7385985175804,1615.1085725803491,1615.403085449661,0.7,3,0.0,,0.7,0.5233333333333333,1.0,265.9083108393344
6,RB,2,developmental,1075,SMOOTH_NONLINEAR,8759.118951301463,8663.860944739083,8664.962666855687,0.6,10,0.5,0.6,0.6,0.6666666666666666,1.0,229.6257612886297
7,RB,2,established,512,SMOOTH_NONLINEAR,4105.576996982333,4062.2530959770656,4061.7348232755103,0.8,10,0.2,0.6,0.9,0.41,0.9,212.1014267910068
8,RB,2,veteran,68,INSUFFICIENT_EVIDENCE,540.3658512968366,541.0743328306218,536.171333726209,0.8,0,0.0,,0.8,0.7233333333333334,0.0,143.91434046902114
9,RB,3,developmental,986,SMOOTH_NONLINEAR,8002.050452191847,7916.966763748848,7915.328557123577,0.9,9,0.3333333333333333,0.9,0.9,0.4266666666666667,1.0,223.66587670451997
10,RB,3,established,454,SMOOTH_NONLINEAR,3489.700336224535,3458.4022570789552,3416.3311835746654,0.9,9,0.3333333333333333,0.9,0.9,0.9,0.7777777777777778,167.2142121236653
11,RB,3,veteran,61,INSUFFICIENT_EVIDENCE,458.09977159511374,459.3917275009017,455.8676228932781,0.8,0,0.0,,0.8,0.67,0.0,105.35761666439193
12,WR,2,developmental,1345,SMOOTH_NONLINEAR,10261.825679484087,10113.87567716588,10106.024154512865,0.8,10,0.5,0.8,0.8,0.5,1.0,197.42673732230185
13,WR,2,established,676,SMOOTH_NONLINEAR,5133.900951895598,4967.0791761044,4934.793809278682,0.8,10,0.4,0.9,0.8,0.6,1.0,277.6958408806059
14,WR,2,veteran,135,INSUFFICIENT_EVIDENCE,979.9410944110122,965.2624431069752,954.3086305823218,0.8,0,0.0,,0.8,0.6533333333333333,0.0,194.12205477767645
15,WR,3,developmental,1226,SMOOTH_NONLINEAR,9318.068684201213,9186.924992522743,9167.324705789371,0.8,9,0.4444444444444444,0.8,0.8,0.4666666666666667,1.0,192.9921907568099
16,WR,3,established,597,SMOOTH_NONLINEAR,4487.681708830333,4376.706835366607,4334.754568475731,0.8,9,0.4444444444444444,0.9,0.8,0.5033333333333333,1.0,235.8762023291716
17,WR,3,veteran,120,INSUFFICIENT_EVIDENCE,799.6658001368263,798.6452277885991,796.8145002370148,0.9,0,0.0,,0.9,0.35,0.0,88.95314145110541
18,TE,2,developmental,701,SMOOTH_NONLINEAR,4859.395286199608,4804.564401267221,4799.703048577489,0.8,10,0.2,0.8,0.8,0.5266666666666666,0.9,121.9665643756164
19,TE,2,established,427,SMOOTH_NONLINEAR,3025.506540179693,2952.3460041215963,2914.812095142475,0.8,10,0.4,0.9,0.8,0.57,1.0,176.59110092935083
20,TE,2,veteran,76,INSUFFICIENT_EVIDENCE,557.7485442049829,558.2635795711418,545.2969793259658,0.9,0,0.0,,0.9,0.7333333333333333,0.0,107.63598309261168
21,TE,3,developmental,636,SMOOTH_NONLINEAR,4451.9676220270285,4411.133527479035,4403.452379495959,0.8,9,0.2222222222222222,0.7,0.8,0.5166666666666667,1.0,115.7459481180857
22,TE,3,established,380,SMOOTH_NONLINEAR,2650.782483646512,2581.2884632389955,2527.53933764032,0.8,9,0.4444444444444444,0.9,0.8,0.5533333333333333,1.0,175.62199494887213
23,TE,3,veteran,71,INSUFFICIENT_EVIDENCE,480.3178405202272,483.4819198740057,477.76259064954456,0.9,0,0.0,,0.9,0.7,0.0,45.7123426841061
