index,position,horizon,career_stage,origin,n,best_form,best_knot,best_bic,quadratic_bic,quadratic_curvature,linear_bic
0,QB,2,developmental,2014,34,piecewise,0.6,316.4608663418716,316.51353528167846,616.6124049022519,319.4612812206056
1,QB,2,developmental,2015,26,piecewise,0.6,227.0727065058411,229.15916979688407,633.2697330553541,234.7834695479485
2,QB,2,developmental,2016,26,quadratic,,226.7275384057616,226.7275384057616,361.5464054837448,226.82989181957703
3,QB,2,developmental,2017,29,linear,,277.6844825565861,279.59534037401914,362.21680240487456,277.6844825565861
4,QB,2,developmental,2018,24,linear,,224.4982344135704,225.3880102473877,356.2737816471295,224.4982344135704
5,QB,2,developmental,2019,27,piecewise,0.6,247.9044686019078,248.45848693664888,481.78749496378543,249.9244735540522
6,QB,2,developmental,2020,36,linear,,337.06022335435097,337.40826656475446,390.3371500500364,337.06022335435097
7,QB,2,developmental,2021,30,linear,,282.93007596378914,285.69886045008417,178.55871380471055,282.93007596378914
8,QB,2,developmental,2022,33,quadratic,,299.6824510140177,299.6824510140177,449.8848404096658,301.0546576467196
9,QB,2,developmental,2023,28,piecewise,0.6,248.94247690602964,250.18375092757492,608.645980194245,255.7043455011981
10,QB,2,established,2016,22,quadratic,,199.69002132607088,199.69002132607088,562.9384662480765,203.2063922193541
11,QB,2,established,2017,20,linear,,174.56914775043302,175.65568883101335,325.2629089563922,174.56914775043302
12,QB,2,established,2018,24,piecewise,0.9,229.35900258326413,234.79780798897295,100.29275213224716,231.70759226718388
13,QB,2,established,2019,22,linear,,192.528689394862,195.0801890466462,148.7140865140048,192.528689394862
14,QB,2,established,2020,25,linear,,234.41056872037177,236.2073883144691,293.29544929393484,234.41056872037177
15,QB,2,established,2021,23,piecewise,0.8,207.41064676785632,211.2229885674178,510.65882786082,211.97350432143745
16,QB,2,established,2022,28,piecewise,0.7,267.4000857993959,268.1455116720833,508.7671950198142,268.061391772564
17,QB,2,established,2023,32,piecewise,0.7,287.7630781465755,295.2436626015988,582.6922110080855,298.9625481020208
18,QB,2,veteran,2014,20,linear,,191.58224548463247,193.3714275562189,335.03145985146176,191.58224548463247
19,QB,2,veteran,2015,24,linear,,212.83831278053168,214.93232743661332,198.80840249268056,212.83831278053168
20,QB,2,veteran,2021,20,linear,,178.1491493899048,181.06844707549396,64.48206317830534,178.1491493899048
21,QB,3,developmental,2014,34,linear,,324.6568234252607,327.6448010706612,200.3453890327993,324.6568234252607
22,QB,3,developmental,2015,26,linear,,231.2871837990021,232.4930800805439,303.2193209486969,231.2871837990021
23,QB,3,developmental,2016,26,linear,,246.81313443772663,250.00364130389545,77.69650921762522,246.81313443772663
24,QB,3,developmental,2017,29,linear,,279.3533302760044,282.6038060358939,106.79972266830949,279.3533302760044
25,QB,3,developmental,2018,24,linear,,234.54468903616345,237.36763425795948,176.51174326713027,234.54468903616345
26,QB,3,developmental,2019,27,linear,,249.46402591080204,250.76784391790144,316.8242485620863,249.46402591080204
27,QB,3,developmental,2020,36,linear,,335.9073418602216,336.1811828750881,388.31954740364216,335.9073418602216
28,QB,3,developmental,2021,30,piecewise,0.6,278.25125998118733,279.1937620301157,364.1768244666426,278.9254593520131
29,QB,3,developmental,2022,33,piecewise,0.6,287.58795380893747,287.59033580049504,546.0214286116194,293.69819918930955
30,QB,3,established,2016,22,linear,,204.9336242357364,205.91099433893115,347.902629075592,204.9336242357364
31,QB,3,established,2017,20,piecewise,0.8,159.6778359260252,171.09945382030745,708.1484049840117,177.45689101804217
32,QB,3,established,2018,24,piecewise,0.9,224.6770181695042,228.79593834772848,-27.245618954808528,225.62622256225785
33,QB,3,established,2019,22,linear,,188.52371597957247,191.6124049015721,9.022240943643098,188.52371597957247
34,QB,3,established,2020,25,linear,,234.9118797468517,235.3242290270213,410.54229919274354,234.9118797468517
35,QB,3,established,2021,23,linear,,213.1986990567935,216.33079922289383,-16.157542635334504,213.1986990567935
36,QB,3,established,2022,28,quadratic,,256.08813297478,256.08813297478,558.7307029258784,258.510959402054
37,QB,3,veteran,2014,20,linear,,189.57311452611512,192.43021605213409,109.44444237371368,189.57311452611512
38,QB,3,veteran,2015,24,quadratic,,222.1348374900996,222.1348374900996,463.5113625499467,223.0515778503295
39,QB,3,veteran,2021,20,linear,,177.4897522662114,179.21465262720383,254.8185842479241,177.4897522662114
40,RB,2,developmental,2014,104,piecewise,0.9,824.7310496743461,838.0980023137134,180.42896723104568,839.8843616295218
41,RB,2,developmental,2015,115,piecewise,0.9,917.2189654639247,919.3000768362526,143.73017953251582,919.2233311473324
42,RB,2,developmental,2016,110,quadratic,,875.2800696799776,875.2800696799776,210.43196364129932,880.6749985932412
43,RB,2,developmental,2017,108,piecewise,0.6,911.6488886858166,911.7384511097991,191.20423701807505,912.4400754486902
44,RB,2,developmental,2018,111,piecewise,0.7,906.0328226216228,907.6218769365036,197.566541412151,910.89089417329
45,RB,2,developmental,2019,112,piecewise,0.6,886.354822506793,888.291915773582,294.5181761983578,905.4172639741952
46,RB,2,developmental,2020,113,piecewise,0.6,925.0657450640492,926.450527223676,231.02743760755607,932.4010392591944
47,RB,2,developmental,2021,112,piecewise,0.6,817.775742905859,820.3712995860577,203.21287906997023,832.3344560381943
48,RB,2,developmental,2022,101,piecewise,0.6,817.8359853029027,818.1063780504531,295.6778953738934,826.6262642383251
49,RB,2,developmental,2023,89,piecewise,0.7,748.434923263252,748.6494122329221,371.3115639152295,759.6472515772555
50,RB,2,established,2014,54,linear,,432.87471316634645,436.2059311449711,73.67529762611726,432.87471316634645
51,RB,2,established,2015,49,piecewise,0.6,392.9339400036805,393.4181447516868,181.9818653309915,393.3194508317328
