index,position,horizon,career_stage,classification,pooled_best_piecewise_knot,piecewise_origin_recurrence,bootstrap_best_knot,bootstrap_best_knot_share,quadratic_curvature_sign_stability
0,QB,2,developmental,SMOOTH_NONLINEAR,0.6,0.4,0.6,0.9133333333333332,1.0
1,QB,2,established,SMOOTH_NONLINEAR,0.6,0.25,0.6,0.6766666666666666,1.0
2,QB,2,veteran,INSUFFICIENT_EVIDENCE,0.7,0.0,0.7,0.47,1.0
3,QB,3,developmental,SMOOTH_NONLINEAR,0.6,0.2222222222222222,0.6,0.7966666666666666,1.0
4,QB,3,established,SMOOTH_NONLINEAR,0.6,0.1428571428571428,0.6,0.5333333333333333,0.7142857142857143
5,QB,3,veteran,INSUFFICIENT_EVIDENCE,0.7,0.0,0.7,0.5233333333333333,1.0
6,RB,2,developmental,SMOOTH_NONLINEAR,0.6,0.5,0.6,0.6666666666666666,1.0
7,RB,2,established,SMOOTH_NONLINEAR,0.8,0.2,0.9,0.41,0.9
8,RB,2,veteran,INSUFFICIENT_EVIDENCE,0.8,0.0,0.8,0.7233333333333334,0.0
9,RB,3,developmental,SMOOTH_NONLINEAR,0.9,0.3333333333333333,0.9,0.4266666666666667,1.0
10,RB,3,established,SMOOTH_NONLINEAR,0.9,0.3333333333333333,0.9,0.9,0.7777777777777778
11,RB,3,veteran,INSUFFICIENT_EVIDENCE,0.8,0.0,0.8,0.67,0.0
12,WR,2,developmental,SMOOTH_NONLINEAR,0.8,0.5,0.8,0.5,1.0
13,WR,2,established,SMOOTH_NONLINEAR,0.8,0.4,0.8,0.6,1.0
14,WR,2,veteran,INSUFFICIENT_EVIDENCE,0.8,0.0,0.8,0.6533333333333333,0.0
15,WR,3,developmental,SMOOTH_NONLINEAR,0.8,0.4444444444444444,0.8,0.4666666666666667,1.0
16,WR,3,established,SMOOTH_NONLINEAR,0.8,0.4444444444444444,0.8,0.5033333333333333,1.0
17,WR,3,veteran,INSUFFICIENT_EVIDENCE,0.9,0.0,0.9,0.35,0.0
18,TE,2,developmental,SMOOTH_NONLINEAR,0.8,0.2,0.8,0.5266666666666666,0.9
19,TE,2,established,SMOOTH_NONLINEAR,0.8,0.4,0.8,0.57,1.0
20,TE,2,veteran,INSUFFICIENT_EVIDENCE,0.9,0.0,0.9,0.7333333333333333,0.0
21,TE,3,developmental,SMOOTH_NONLINEAR,0.8,0.2222222222222222,0.8,0.5166666666666667,1.0
22,TE,3,established,SMOOTH_NONLINEAR,0.8,0.4444444444444444,0.8,0.5533333333333333,1.0
23,TE,3,veteran,INSUFFICIENT_EVIDENCE,0.9,0.0,0.9,0.7,0.0
