horizon,signal,signal_value,n,role_loss_rate,target_present_rate
1,final_nonactive,false,3192,0.195387,0.788534
1,final_nonactive,true,905,0.258065,0.561326
1,any_material_nonactive,false,2933,0.188666,0.811115
1,any_material_nonactive,true,1164,0.284314,0.554983
2,final_nonactive,false,3192,0.214850,0.654449
2,final_nonactive,true,905,0.267281,0.425414
2,any_material_nonactive,false,2933,0.205108,0.676441
2,any_material_nonactive,true,1164,0.317391,0.420962
3,final_nonactive,false,3192,0.232143,0.534148
3,final_nonactive,true,905,0.287425,0.311602
3,any_material_nonactive,false,2933,0.220019,0.556086
3,any_material_nonactive,true,1164,0.360465,0.305842
